outcome_row_id,analysis_year,school_uid,campus_uid,dept_uid,major_group_7,school_type,region_sido,split,sample_P1_STRUCTURE_READY,sample_P1_SELECTIVITY_READY,sample_P2_STRUCTURE_READY,sample_P2_SELECTIVITY_READY,sample_P3_STRUCTURE_READY,sample_P3_SELECTIVITY_READY,sample_P4_E_STRUCTURE_READY,sample_P4_P_STRUCTURE_READY,sample_P4_JOINT_STRUCTURE_READY,sample_P4_E_SELECTIVITY_READY,sample_P4_P_SELECTIVITY_READY,sample_P4_JOINT_SELECTIVITY_READY
OC2024_00001,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_c02dd4a5678d,MED,대학교,경남,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00002,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_e99f4ff43785,SOC,대학교,경남,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00003,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_fca11c7fd249,SOC,대학교,경남,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00004,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_4746d0bda0b9,ART,대학교,경남,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00005,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_90eb7f613e75,MED,대학교,경남,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00006,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_28194ff0b2d0,MED,대학교,경남,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00007,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_a9cbd869b92c,SOC,대학교,경남,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00012,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_92d24be07ff8,EDU,대학교,경남,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00013,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_bb03287ba86a,MED,대학교,경남,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00014,2024,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_14406ed18579,EDU,대학교,경남,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00016,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_25b125c90dde,MED,대학교,인천,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00018,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_5cff80db70fd,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00019,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_f60ed84933fc,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00022,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_d84d48912bd5,SOC,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00023,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_1080dcf6924a,SOC,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00025,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_f7df31fd0684,SOC,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00026,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_eefc2d1dc18f,SOC,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00027,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_a7f074abb1f9,SOC,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00028,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_a52bc7fefd8f,NAT,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00029,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_9542b351bbe6,NAT,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00031,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_68f71b94897a,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00032,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_2826da89c125,SOC,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00033,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_34c2e2c8aaca,SOC,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00034,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_cf979e5b03c6,HUM,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00035,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_d421593672aa,NAT,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00036,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_54e35e138339,MED,대학교,인천,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00038,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_312c0638e470,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00040,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_9d8201e648c8,NAT,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00041,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_e3001271f155,MED,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00042,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_17ee342156cf,ENG,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00043,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_c1b6c51aa770,ENG,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00045,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_1f32a1e0a5cb,ENG,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00046,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_8cd3e321578d,MED,대학교,인천,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00047,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_818d23ca0b57,SOC,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00048,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_ab1ac9ebb816,SOC,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00049,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_9f90e14586fa,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00050,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_6068a1c0f45b,NAT,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00051,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_69f9d258d9d4,ENG,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00052,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_c3a04041482a,ENG,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00053,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_59ac46719c6d,ENG,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00055,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_75417cdc6694,NAT,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00056,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_ab090f2ae17c,NAT,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00057,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_0383b5d80d90,ENG,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00058,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_375be4c625d6,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00061,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_7398e9f1cec0,ART,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00062,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_4b004539236c,HUM,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
