outcome_row_id,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_candidate_count,major7_review_needed,major7_evidence,major7_sample_exclusion_rule,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,row_qa_status,human_major_group_7,major_label_decision,dictionary_rule_to_add,exclude_from_major_samples,reviewer_note
OC2024_00626,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,건양대학교,,K-문화산업학과,k문화산업학과,review_unmatched,,,,,
OC2024_00903,,ambiguous,low,2,True,"hits=ART,SOC; evidence=ART:스포츠 | SOC:마케팅; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,경동대학교_제4캠퍼스,제4캠퍼스,스포츠마케팅학과 | 스포츠마케팅학과(예체능),스포츠마케팅학과스포츠마케팅학과예체능,manual_match_pending,,,,,
OC2024_01403,,ambiguous,low,2,True,"hits=ENG,SOC; evidence=ENG:it | SOC:경영; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,경희대학교,,Hospitality경영학과 | Hospitality경영학부,hospitality경영학과hospitality경영학부,manual_match_pending,,,,,
OC2024_01420,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,경희대학교,,글로벌커뮤니케이션학부,글로벌커뮤니케이션학부,manual_match_pending,,,,,
OC2024_01451,,ambiguous,low,2,True,"hits=ENG,NAT; evidence=ENG:신소재/공학 | NAT:환경; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,경희대학교,,식물・환경신소재공학과,식물환경신소재공학과,manual_match_pending,,,,,
OC2024_01502,,ambiguous,low,2,True,"hits=NAT,ART; evidence=NAT:환경 | ART:디자인; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,경희대학교,,환경조경디자인학과,환경조경디자인학과,manual_match_pending,,,,,
OC2024_01671,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,공공사회·통일외교학부,공공사회통일외교학부,review_unmatched,,,,,
OC2024_01676,,ambiguous,low,2,True,"hits=ART,SOC; evidence=ART:스포츠 | SOC:국제; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,국제스포츠학부,국제스포츠학부,review_unmatched,,,,,
OC2024_01679,,ambiguous,low,2,True,"hits=ENG,NAT; evidence=ENG:데이터 | NAT:과학; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,데이터계산과학전공,데이터계산과학전공,review_unmatched,,,,,
OC2024_01681,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,독일학전공,독일학전공,review_unmatched,,,,,
OC2024_01682,,ambiguous,low,2,True,"hits=ENG,NAT; evidence=ENG:반도체 | NAT:물리; ambiguous_token=False",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,디스플레이・반도체물리학과,디스플레이반도체물리학과,review_unmatched,,,,,
OC2024_01683,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,디스플레이융합전공,디스플레이융합전공,review_unmatched,,,,,
OC2024_01685,,ambiguous,low,1,True,hits=ENG; evidence=ENG:ict; ambiguous_token=True,exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,문화ICT융합전공,문화ict융합전공,review_unmatched,,,,,
OC2024_01686,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,문화유산융합학부,문화유산융합학부,review_unmatched,,,,,
OC2024_01692,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,북한학과,북한학과,review_unmatched,,,,,
OC2024_01699,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,스마트도시학부,스마트도시학부,review_unmatched,,,,,
OC2024_01705,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,영미학전공,영미학전공,review_unmatched,,,,,
OC2024_01711,,ambiguous,low,1,True,hits=ENG; evidence=ENG:기계/전자/공학; ambiguous_token=True,exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,전자·기계융합공학과,전자기계융합공학과,review_unmatched,,,,,
OC2024_01718,,ambiguous,low,1,True,hits=ENG; evidence=ENG:컴퓨터/소프트웨어; ambiguous_token=True,exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,컴퓨터융합소프트웨어학과,컴퓨터융합소프트웨어학과,review_unmatched,,,,,
OC2024_01720,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,통일외교안보전공,통일외교안보전공,review_unmatched,,,,,
OC2024_01721,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,고려대학교(세종)_분교,분교|세종,표준・지식학과,표준지식학과,review_unmatched,,,,,
OC2024_01818,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,광운대학교,,지능정보전공,지능정보전공,review_unmatched,,,,,
OC2024_01820,,unknown,unknown,0,True,"no inherited, dictionary, or strict keyword evidence",exclude from samples requiring major/context/GOMS until manual approved,광운대학교,,지능컴퓨팅시스템전공,지능컴퓨팅시스템전공,review_unmatched,,,,,
