outcome_row_id,headcount_row_id,match_stage,match_method,match_status,match_score,candidate_count,review_needed,unmatched_reason,match_evidence,candidate_headcount_row_ids,candidate_preview,campus_conflict_flag,degree_course_conflict_flag,major_conflict_flag,forbidden_modifier_conflict_flag,headcount_match_flag,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,major_group_7,graduates_n,enrolled_students_n,a_rate_pct,employment_rate_pct,health_employment_rate_pct,progression_rate_pct,graduate_school_progression_rate_pct,row_qa_status,human_match_decision,approved_headcount_row_id,approved_match_method,campus_policy,alias_rule_to_add,reviewer_note
OC2024_00008,,L7,manual_pending,manual_pending,1.0,2,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_07149|HC2_2024_07152,사회복지상담학과 | 사회복지상담학과(3년과정),False,False,False,False,False,가야대학교(김해),김해,사회복지상담학과 | 사회복지상담학과(3년과정),사회복지상담학과사회복지상담학과3년과정,SOC,,,57.85181,56.25,52.083332,2.0,2.0,manual_match_pending,,,,,,
OC2024_00010,,L7,manual_pending,manual_pending,1.0,1,True,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,HC2_2024_07157,안경광학과,False,False,False,False,False,가야대학교(김해),김해,안경광학과,안경광학과,MED,,,67.22408,72.72727,59.090908,0.0,0.0,manual_match_pending,,,,,,
OC2024_00015,,L7,manual_pending,manual_pending,1.0,2,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08946|HC2_2024_08947,AI?소프트웨어학부(인공지능전공) | AI?소프트웨어학부(소프트웨어전공),False,False,False,False,False,가천대학교,,AI・소프트웨어학부(소프트웨어전공) | AI・소프트웨어학부(인공지능전공),ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능전공,ENG,,,56.090355,67.59259,63.88889,12.195122,12.195122,manual_match_pending,,,,,,
OC2024_00020,,L7,manual_pending,manual_pending,1.0,1,True,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,HC2_2024_08948,게임?영상학과,False,False,False,False,False,가천대학교,,게임・영상학과,게임영상학과,ART,,,35.16828,58.82353,58.82353,4.5454545,4.5454545,manual_match_pending,,,,,,
OC2024_00021,,L7,manual_pending,manual_pending,1.0,3,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08887|HC2_2024_08893|HC2_2024_08894,경영학부 | 경영학부(글로벌경영학) | 경영학부(경영학),False,False,False,False,False,가천대학교,,경영학부 | 경영학부(경영학) | 경영학부(글로벌경영학) | 경영학부,경영학부경영학부경영학경영학부글로벌경영학경영학부,SOC,,,45.66866,64.583336,54.464287,0.56390977,0.18796992,manual_match_pending,,,,,,
OC2024_00030,,L7,manual_pending,manual_pending,1.0,3,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08921|HC2_2024_08950|HC2_2024_08955,기계?스마트?산업공학부(기계공학전공) | 기계?스마트?산업공학부(산업공학전공) | 기계?스마트?산업공학부(스마트팩토리전공),False,False,False,False,False,가천대학교,,기계・스마트・산업공학부(기계공학전공) | 기계・스마트・산업공학부(산업공학전공) | 기계・스마트・산업공학부(스마트팩토리전공),기계스마트산업공학부기계공학전공기계스마트산업공학부산업공학전공기계스마트산업공학부스마트팩토리전공,ENG,,,54.775883,,,,,manual_match_pending,,,,,,
OC2024_00037,,L7,manual_pending,manual_pending,1.0,1,True,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,HC2_2024_08905,미디어커뮤니케이션학과,False,False,False,False,False,가천대학교,,미디어커뮤니케이션학과,미디어커뮤니케이션학과,ART,,,55.045036,64.70588,53.92157,0.7633588,0.7633588,manual_match_pending,,,,,,
OC2024_00039,,L7,manual_pending,manual_pending,1.0,3,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08976|HC2_2024_08977|HC2_2024_08980,미술·디자인학부(디자인) | 미술·디자인학부(패션디자인) | 미술·디자인학부(회화·조소),False,False,False,False,False,가천대학교,,미술·디자인학부(디자인) | 미술·디자인학부(패션디자인) | 미술·디자인학부(회화·조소),미술디자인학부디자인미술디자인학부패션디자인미술디자인학부회화조소,ART,,,60.09504,62.146893,43.502827,4.6728973,4.2056074,manual_match_pending,,,,,,
OC2024_00044,,L7,manual_pending,manual_pending,1.0,2,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08935|HC2_2024_08936,반도체공학부(반도체설계전공) | 반도체공학부(반도체?디스플레이전공),False,False,False,False,False,가천대학교,,반도체공학부(반도체・디스플레이전공) | 반도체공학부(반도체설계전공),반도체공학부반도체디스플레이전공반도체공학부반도체설계전공,ENG,,,49.65994,,,,,manual_match_pending,,,,,,
OC2024_00054,,L7,manual_pending,manual_pending,1.0,1,True,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,HC2_2024_08961,식품생명공학과,False,False,False,False,False,가천대학교,,식품생명공학과,식품생명공학과,ENG,,,53.083344,,,,,manual_match_pending,,,,,,
