panel_artifact,path,exists,sha256,status,human_panel_decision,source_to_build_or_supply,keep_blocked_or_rebuild,reviewer_note
mart_department_panel_2023_2025,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_panel_2023_2025.parquet,False,,BLOCKED_PANEL_DATA,,,,
mart_A_rate_transition_2023_2025,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_A_rate_transition_2023_2025.parquet,False,,BLOCKED_PANEL_DATA,,,,
