outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,major_group_7,graduates_n,enrolled_students_n,a_rate_pct,cd_rate_pct,f_rate_pct,employment_rate_pct,health_employment_rate_pct,progression_rate_pct,graduate_school_progression_rate_pct,human_outlier_decision,denominator_policy,winsorize_or_weight_policy,reviewer_note
OC2024_00009,가야대학교(김해),김해,스포츠재활복지학과,MED,0,125,28.596071,26.954618,5.378185,100.0,75.0,0.0,0.0,,,,
OC2024_00011,가야대학교(김해),김해,외식조리영양학부,NAT,9,8,61.11111,4.292929,0.0,88.888885,88.888885,0.0,0.0,,,,
OC2024_00017,가천대학교,,건축학부,ENG,0,167,8.695652,46.58385,17.391304,100.0,100.0,0.0,0.0,,,,
OC2024_00024,가천대학교,,경찰・안보학과,SOC,61,0,37.5,37.5,0.0,68.85246,65.57377,0.0,0.0,,,,
OC2024_00041,가천대학교,,바이오의료기기학과,MED,0,109,47.5238,22.930645,0.0,,,,,,,,
OC2024_00074,가천대학교,,의예과,MED,0,93,100.0,0.0,0.0,,,,,,,,
OC2024_00108,가톨릭관동대학교,,광고홍보학전공,SOC,0,29,70.521545,1.0204082,0.0,,,,,,,,
OC2024_00110,가톨릭관동대학교,,군사학전공,SOC,0,4,100.0,0.0,0.0,,,,,,,,
OC2024_00118,가톨릭관동대학교,,복지상담학과,SOC,0,25,76.960785,3.5822022,0.0,,,,,,,,
OC2024_00119,가톨릭관동대학교,,뷰티디자인학과,ART,0,30,74.95238,4.095238,0.0,91.666664,70.833336,0.0,0.0,,,,
OC2024_00136,가톨릭관동대학교,,언어재활상담학과,MED,22,17,88.09524,1.5873016,0.0,80.0,75.0,9.090909,9.090909,,,,
OC2024_00138,가톨릭관동대학교,,연기예술전공,ART,0,10,87.14286,0.0,0.0,,,,,,,,
OC2024_00140,가톨릭관동대학교,,영어영문학과,HUM,0,5,0.0,100.0,0.0,,,,,,,,
OC2024_00155,가톨릭관동대학교,,창업지식재산학과,SOC,4,23,54.88722,3.5714285,5.263158,75.0,75.0,0.0,0.0,,,,
OC2024_00170,가톨릭관동대학교,,해양치유레저학과,ART,0,15,71.79487,5.5555553,0.0,,,,,,,,
OC2024_00178,가톨릭꽃동네대학교,,사회복지・상담심리학부 사회복지학과,SOC,15,15,51.06679,10.899815,0.0,57.142857,57.142857,0.0,0.0,,,,
OC2024_00188,가톨릭대학교,,글로벌미래경영학과,SOC,0,93,40.774086,8.351792,0.0,,,,,,,,
OC2024_00212,가톨릭대학교,,종교학과,HUM,5,6,0.0,0.0,0.0,50.0,25.0,20.0,20.0,,,,
OC2024_00236,강남대학교,,복지융합인재학부 미술문화복지전공,ART,22,11,71.42857,21.428572,0.0,76.190475,57.142857,4.5454545,4.5454545,,,,
OC2024_00245,강남대학교,,예체능학부 스포츠복지전공,ART,0,121,50.76009,21.579592,0.0,,,,,,,,
OC2024_00261,강서대학교,,빅데이터경영학과,SOC,7,10,25.0,16.666666,0.0,71.42857,57.142857,0.0,0.0,,,,
