year,major_group_7,graduate_total_n,employed_n,unemployed_n,inactive_n,identity_gap
2007,인문,49494.0,36965.0,3286.0,9242.0,1.0
2007,사회,133728.0,105097.0,9447.0,19183.0,1.0
2007,교육,32742.0,24957.0,1512.0,6272.0,1.0
2007,공학,128837.0,103176.0,8548.0,17111.0,2.0
2007,자연,51218.0,35996.0,3871.0,11350.0,1.0
2007,의약,36690.0,32675.0,585.0,3429.0,1.0
2007,예체능,65988.0,51509.0,5425.0,9053.0,1.0
2008,인문,48492.0,37184.0,2738.0,8569.0,1.0
2008,사회,139241.0,109037.0,9254.0,20948.0,2.0
2008,교육,34228.0,26730.0,1322.0,6175.0,1.0
2008,의약,37259.0,33121.0,1257.0,2879.0,2.0
2008,예체능,67230.0,51989.0,4982.0,10257.0,2.0
2009,인문,45628.0,31265.0,4288.0,10073.0,2.0
2009,사회,139706.0,107044.0,10507.0,22153.0,2.0
2009,교육,32602.0,24809.0,1592.0,6200.0,1.0
2009,공학,110651.0,85752.0,7701.0,17196.0,2.0
2009,자연,49216.0,33137.0,3867.0,12210.0,2.0
2009,의약,37545.0,32223.0,1299.0,4022.0,1.0
2009,예체능,64845.0,46060.0,5709.0,13074.0,2.0
2010,인문,44013.0,34182.0,2951.0,6879.0,1.0
2010,사회,138100.0,109932.0,8591.0,19576.0,1.0
2010,교육,31907.0,24855.0,923.0,6127.0,2.0
2010,공학,106688.0,87012.0,5699.0,13975.0,2.0
2010,자연,48162.0,36785.0,2361.0,9014.0,2.0
2010,의약,38564.0,33721.0,1251.0,3590.0,2.0
2010,예체능,63124.0,50027.0,3906.0,9189.0,2.0
2011,인문,44224.0,33605.0,3093.0,7524.0,2.0
2011,사회,140134.0,110845.0,9220.0,20068.0,1.0
2011,교육,31382.0,24330.0,1209.0,5842.0,1.0
2011,공학,111286.0,90737.0,5868.0,14680.0,1.0
2011,자연,49153.0,37576.0,2560.0,9016.0,1.0
2011,의약,39948.0,34099.0,1514.0,4334.0,1.0
2011,예체능,63349.0,49773.0,4342.0,9233.0,1.0
2012,인문,45996.0,31789.0,3494.0,10711.0,2.0
2012,사회,148572.0,112571.0,10921.0,25078.0,2.0
2012,교육,30098.0,22547.0,984.0,6566.0,1.0
2012,공학,118458.0,93154.0,7494.0,17809.0,1.0
2012,자연,50343.0,34922.0,3389.0,12031.0,1.0
2012,의약,43140.0,35982.0,1399.0,5758.0,1.0
2012,예체능,66279.0,50690.0,5026.0,10562.0,1.0
2013,인문,44586.0,29199.0,4603.0,10782.0,2.0
2013,사회,143221.0,104897.0,11824.0,26498.0,2.0
2013,교육,29851.0,22776.0,946.0,6127.0,2.0
2013,공학,115915.0,88373.0,8189.0,19351.0,2.0
2013,자연,49698.0,33561.0,3062.0,13074.0,1.0
2013,의약,43220.0,35908.0,2225.0,5086.0,1.0
2013,예체능,65274.0,47616.0,5705.0,11952.0,1.0
2014,인문,44034.0,29941.0,3899.0,10193.0,1.0
2014,사회,141297.0,104755.0,12456.0,24085.0,1.0
2014,교육,29609.0,23160.0,992.0,5455.0,2.0
2014,공학,115589.0,88600.0,7879.0,19109.0,1.0
2014,자연,51046.0,34585.0,3684.0,12776.0,1.0
2014,의약,46396.0,39864.0,2010.0,4520.0,2.0
2014,예체능,66350.0,49373.0,4731.0,12245.0,1.0
2015,인문,47533.0,33053.0,3763.0,10716.0,1.0
2015,사회,146456.0,108621.0,11269.0,26565.0,1.0
2015,교육,30178.0,23281.0,731.0,6164.0,2.0
2015,공학,121282.0,91325.0,8427.0,21529.0,1.0
2015,자연,53670.0,35629.0,3965.0,14075.0,1.0
2015,의약,48104.0,40777.0,1313.0,6013.0,1.0
2015,예체능,68094.0,48258.0,5831.0,14003.0,2.0
2016,인문,48402.0,33728.0,4286.0,10386.0,2.0
2016,사회,145425.0,106306.0,12363.0,26754.0,2.0
2016,교육,30187.0,22066.0,1288.0,6832.0,1.0
2016,자연,54455.0,37094.0,4156.0,13203.0,2.0
2016,의약,51284.0,43588.0,2318.0,5377.0,1.0
2016,예체능,66481.0,50588.0,4241.0,11651.0,1.0
2017,사회,140520.0,101154.0,13960.0,25405.0,1.0
2017,교육,31004.0,22251.0,2325.0,6427.0,1.0
2017,공학,124169.0,93080.0,10249.0,20839.0,1.0
2017,의약,52552.0,44539.0,2186.0,5825.0,2.0
2017,예체능,63912.0,47687.0,5191.0,11033.0,1.0
2018,인문,43854.0,29824.0,4351.0,9678.0,1.0
2018,사회,132245.0,94612.0,11345.0,26287.0,1.0
2018,교육,30378.0,21724.0,1634.0,7018.0,2.0
2018,공학,121572.0,93068.0,9731.0,18772.0,1.0
2018,자연,50549.0,35751.0,4556.0,10240.0,2.0
2018,의약,53947.0,45877.0,2507.0,5561.0,2.0
2019,인문,42323.0,24688.0,5202.0,12431.0,2.0
2019,사회,127377.0,82771.0,16105.0,28500.0,1.0
2019,교육,30044.0,19294.0,2010.0,8739.0,1.0
2019,공학,122403.0,82840.0,13905.0,25657.0,1.0
2019,의약,54858.0,44530.0,3009.0,7318.0,1.0
2019,예체능,59795.0,39313.0,6452.0,14029.0,1.0
