outcome_row_id,headcount_row_id,match_method,match_score,candidate_count,review_needed,match_evidence,candidate_preview,headcount_match_flag,school_name_raw,school_name_std,campus_name_raw,campus_name_std,campus_seq,campus_branch,dept_name_raw,dept_name_std,dept_field_raw,hc_headcount_row_id,hc_school_name_raw,hc_school_name_std,hc_campus_name_raw,hc_campus_name_std,hc_campus_seq,hc_campus_branch,hc_dept_name_raw,hc_dept_name_std,hc_major_group_raw,hc_major_group_7,school_std_match,campus_scope_ok,dept_alt_contains_hc,exact_normalized_validation,sample_group
OC2024_00426,HC2024_00405,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,건설융합학부 건축공학전공,True,강원대학교_제2캠퍼스,강원대학교,제2캠퍼스,제2캠퍼스,제2캠퍼스,,건설융합학부 건축공학전공,건설융합학부건축공학전공,건설융합건축공학,HC2024_00405,강원대학교,강원대학교,본교(제2캠퍼스),본교_제2캠퍼스,제2캠퍼스,본교,건설융합학부 건축공학전공,건설융합학부건축공학전공,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_09469,HC2024_12302,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,역사교육과,True,한남대학교,한남대학교,,unknown,,,역사교육과,역사교육과,역사교육과,HC2024_12302,한남대학교,한남대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,역사교육과,역사교육과,교육계열,EDU,True,True,True,True,exact_normalized
OC2024_09621,HC2024_12639,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,신소재화학공학과,True,한서대학교,한서대학교,,unknown,,,신소재화학공학과,신소재화학공학과,신소재화학공,HC2024_12639,한서대학교,한서대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,신소재화학공학과,신소재화학공학과,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_04646,HC2024_08580,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,게임공학과,True,배재대학교,배재대학교,,unknown,,,게임공학과,게임공학과,게임공,HC2024_08580,배재대학교,배재대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,게임공학과,게임공학과,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_01880,HC2024_13644,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,산업디자인학과,True,광주대학교,광주대학교,,unknown,,,산업디자인학과,산업디자인학과,산업디자인,HC2024_13644,광주대학교,광주대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,산업디자인학과,산업디자인학과,예체능계열,ART,True,True,True,True,exact_normalized
OC2024_00224,HC2024_04867,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,신학과,True,가톨릭대학교_제3캠퍼스,가톨릭대학교,제3캠퍼스,제3캠퍼스,제3캠퍼스,,신학과,신학과,신,HC2024_04867,가톨릭대학교,가톨릭대학교,본교(제3캠퍼스),본교_제3캠퍼스,제3캠퍼스,본교,신학과,신학과,인문계열,HUM,True,True,True,True,exact_normalized
OC2024_01007,HC2024_00706,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,역사교육과,True,경북대학교,경북대학교,,unknown,,,역사교육과,역사교육과,역사교육과,HC2024_00706,경북대학교,경북대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,역사교육과,역사교육과,교육계열,EDU,True,True,True,True,exact_normalized
OC2024_06702,HC2024_10278,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,계량위험관리전공,True,연세대학교,연세대학교,,unknown,,,계량위험관리전공,계량위험관리전공,계량위험관리,HC2024_10278,연세대학교,연세대학교,본교(제2캠퍼스),본교_제2캠퍼스,제2캠퍼스,본교,계량위험관리전공,계량위험관리전공,사회계열,SOC,True,True,True,True,exact_normalized
OC2024_07521,HC2024_10851,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,사학과,True,이화여자대학교,이화여자대학교,,unknown,,,사학과,사학과,사,HC2024_10851,이화여자대학교,이화여자대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,사학과,사학과,인문계열,HUM,True,True,True,True,exact_normalized
OC2024_09513,HC2024_12471,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,IT소프트웨어학과,True,한라대학교,한라대학교,,unknown,,,IT소프트웨어학과,it소프트웨어학과,IT소프트웨어,HC2024_12471,한라대학교,한라대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,IT소프트웨어학과,it소프트웨어학과,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_00295,HC2024_00321,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,농업자원경제학과,True,강원대학교,강원대학교,,unknown,,,농업자원경제학과,농업자원경제학과,농업자원경제,HC2024_00321,강원대학교,강원대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,농업자원경제학과,농업자원경제학과,자연계열,NAT,True,True,True,True,exact_normalized
OC2024_08413,HC2024_11527,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,미디어커뮤니케이션학전공,True,중부대학교,중부대학교,,unknown,,,미디어커뮤니케이션학전공,미디어커뮤니케이션학전공,미디어커뮤니케이션학,HC2024_11527,중부대학교,중부대학교,본교(제2캠퍼스),본교_제2캠퍼스,제2캠퍼스,본교,미디어커뮤니케이션학전공,미디어커뮤니케이션학전공,사회계열,SOC,True,True,True,True,exact_normalized
