term,rows,auto_rows,review_rows,method_counts,major_counts,auto_ambiguous_token_rows,auto_contradiction_rows,examples
자유전공,15,10,5,"{'exact_dictionary': 7, 'ambiguous': 5, 'inherited_headcount': 3}","{'HUM': 10, '<NA>': 5}",10,7,"강원대학교 | 자유 | 자유전공학부(학생설계전공 인문사회계열) | 자유전공학부(학생설계전공 자연과학계열) | 자유전공학부(학생설계전공 인문사회계열) | HUM | exact_dictionary | unique dictionary key=자유 || 경남대학교 | 자유 | 자유전공학부 | HUM | inherited_headcount | matched headcount 대계열=인문 || 국립순천대학교 | 자유 | 자유전공학부(인문사회・자연) | HUM | exact_dictionary | unique dictionary key=자유 || 단국대학교 | 국제자유영상연기&제작 | 국제자유전공학부 영상연기&제작전공 |  | ambiguous | hits=ENG,ART,SOC evidence=ENG:공학 | ART:영상 | SOC:국제 ambiguous_token=True || 대구대학교 | 자유 | 자유전공학부 | HUM | exact_dictionary | unique dictionary key=자유"
융합,418,224,194,"{'inherited_headcount': 164, 'ambiguous': 156, 'exact_dictionary': 60, 'unknown': 38}","{'<NA>': 194, 'ENG': 129, 'NAT': 27, 'ART': 24, 'SOC': 23, 'HUM': 17, 'MED': 4}",224,18,가천대학교 | 스마트시티융합 | 스마트시티융합학과 | ENG | inherited_headcount | matched headcount 대계열=공학 || 가톨릭관동대학교 | 바이오융합공 | 바이오융합공학과 | NAT | exact_dictionary | unique dictionary key=바이오융합공 || 강남대학교 | ICT융합공 | ICT융합공학부 | ENG | exact_dictionary | unique dictionary key=ict융합공 || 강남대학교 | 복지융합인재미술문화복지 | 복지융합인재학부 미술문화복지전공 |  | ambiguous | hits=ART evidence=ART:미술 ambiguous_token=True || 강남대학교 | 복지융합인재스포츠복지 | 복지융합인재학부 스포츠복지전공 |  | ambiguous | hits=ART evidence=ART:스포츠 ambiguous_token=True
데이터사이언스,34,27,7,"{'exact_dictionary': 11, 'inherited_headcount': 10, 'ambiguous': 7, 'keyword_rule': 6}","{'ENG': 25, '<NA>': 7, 'SOC': 1, 'NAT': 1}",0,1,가톨릭대학교 | 데이터사이언스 | 데이터사이언스학과 | ENG | inherited_headcount | matched headcount 대계열=공학 || 강남대학교 | 산업데이터사이언스 | 산업데이터사이언스학부 | ENG | keyword_rule | ENG:데이터 || 고려대학교(세종)_분교 | 빅데이터사이언스 | 빅데이터사이언스학부 | ENG | keyword_rule | ENG:데이터 || 광운대학교 | 데이터사이언스 | 데이터사이언스전공 | ENG | exact_dictionary | unique dictionary key=데이터사이언스 || 국립강릉원주대학교(폐교) | 데이터사이언스 | 데이터사이언스학과 | ENG | inherited_headcount | matched headcount 대계열=공학
바이오,133,107,26,"{'inherited_headcount': 70, 'exact_dictionary': 19, 'unknown': 19, 'keyword_rule': 18, 'ambiguous': 7}","{'NAT': 70, 'ENG': 32, '<NA>': 26, 'MED': 5}",11,29,가천대학교 | 바이오나노 | 바이오나노학과 | NAT | inherited_headcount | matched headcount 대계열=자연 || 가천대학교 | 바이오의료기기 | 바이오의료기기학과 | MED | inherited_headcount | matched headcount 대계열=의약 || 가톨릭관동대학교 | 바이오메디컬 | 바이오메디컬전공 | NAT | exact_dictionary | unique dictionary key=바이오메디컬 || 가톨릭관동대학교 | 바이오융합공 | 바이오융합공학과 | NAT | exact_dictionary | unique dictionary key=바이오융합공 || 가톨릭대학교 | 바이오메디컬소프트웨어 | 바이오메디컬소프트웨어학과 | ENG | inherited_headcount | matched headcount 대계열=공학
산업디자인,52,48,4,"{'exact_dictionary': 26, 'inherited_headcount': 20, 'ambiguous': 4, 'keyword_rule': 2}","{'ART': 48, '<NA>': 4}",1,0,건국대학교 | 산업디자인 | 산업디자인학과 | ART | exact_dictionary | unique dictionary key=산업디자인 || 건국대학교(글로컬)_분교 | 산업디자인 | 산업디자인전공 | 산업디자인학과 | ART | exact_dictionary | unique dictionary key=산업디자인 || 경성대학교 | 산업디자인학 | 산업디자인학전공 | ART | inherited_headcount | matched headcount 대계열=예체능 || 경희대학교 | 산업디자인 | 산업디자인학과 | ART | exact_dictionary | unique dictionary key=산업디자인 || 계명대학교 | 산업디자인과 | 산업디자인과 | ART | inherited_headcount | matched headcount 대계열=예체능
교육공학,4,4,0,"{'inherited_headcount': 2, 'exact_dictionary': 2}",{'EDU': 4},0,0,건국대학교 | 교육공 | 교육공학과 | EDU | inherited_headcount | matched headcount 대계열=교육 || 국립경국대학교 | 교육공 | 교육공학과 | EDU | exact_dictionary | unique dictionary key=교육공 || 이화여자대학교 | 교육공 | 교육공학과 | EDU | inherited_headcount | matched headcount 대계열=교육 || 한양대학교 | 교육공 | 교육공학과 | EDU | exact_dictionary | unique dictionary key=교육공
의공학,13,12,1,"{'exact_dictionary': 5, 'inherited_headcount': 4, 'keyword_rule': 3, 'ambiguous': 1}","{'MED': 7, 'ENG': 3, 'NAT': 2, '<NA>': 1}",0,9,가천대학교 | 의공 | 의공학과 | MED | inherited_headcount | matched headcount 대계열=의약 || 건양대학교_제2캠퍼스 | 의공 | 의공학부 | 의공학과 | MED | exact_dictionary | unique dictionary key=의공 || 경희대학교 | 생체의공 | 생체의공학과 | NAT | exact_dictionary | unique dictionary key=생체의공 || 고려대학교 | 바이오의공 | 바이오의공학부 | MED | inherited_headcount | matched headcount 대계열=의약 || 고려대학교 | 생체의공 | 생체의공학과 | NAT | inherited_headcount | matched headcount 대계열=자연
문화콘텐츠,47,44,3,"{'inherited_headcount': 19, 'keyword_rule': 16, 'exact_dictionary': 9, 'ambiguous': 3}","{'HUM': 43, '<NA>': 3, 'ENG': 1}",0,1,"강남대학교 | 한영문화콘텐츠 | 한영문화콘텐츠학과 | HUM | keyword_rule | HUM:영문/문화콘텐츠 || 건국대학교 | 문화콘텐츠 | 문화콘텐츠학과 | HUM | inherited_headcount | matched headcount 대계열=인문 || 경기대학교_제2캠퍼스 | 관광문화콘텐츠 | 관광문화콘텐츠학과 |  | ambiguous | hits=SOC,HUM evidence=SOC:관광 | HUM:문화콘텐츠 ambiguous_token=False || 경남대학교 | 문화콘텐츠 | 문화콘텐츠학과 | HUM | inherited_headcount | matched headcount 대계열=인문 || 경성대학교 | 문화콘텐츠학 | 문화콘텐츠학전공 | HUM | inherited_headcount | matched headcount 대계열=인문"
스포츠과학,38,38,0,"{'exact_dictionary': 23, 'inherited_headcount': 15}",{'ART': 38},0,0,강원대학교 | 스포츠과 | 스포츠과학과 | ART | inherited_headcount | matched headcount 대계열=예체능 || 건국대학교(글로컬)_분교 | 스포츠과 | 스포츠과학부(골프지도전공) | 스포츠과학부(생활체육학전공) | ART | exact_dictionary | unique dictionary key=스포츠과 || 경기대학교 | 스포츠과 | 스포츠과학부 | ART | exact_dictionary | unique dictionary key=스포츠과 || 경남대학교 | 스포츠과 | 스포츠과학과 | ART | inherited_headcount | matched headcount 대계열=예체능 || 고려대학교(세종)_분교 | 스포츠과학 | 스포츠과학전공 | ART | exact_dictionary | unique dictionary key=스포츠과학
심리,107,101,6,"{'inherited_headcount': 58, 'exact_dictionary': 28, 'keyword_rule': 15, 'ambiguous': 6}","{'HUM': 67, 'SOC': 31, '<NA>': 6, 'MED': 2, 'ENG': 1}",1,67,가천대학교 | 심리 | 심리학과 | HUM | inherited_headcount | matched headcount 대계열=인문 || 가톨릭꽃동네대학교 | 사회복지·상담심리 | 사회복지·상담심리학부 | SOC | inherited_headcount | matched headcount 대계열=사회 || 가톨릭꽃동네대학교 | 사회복지・상담심리사회복지 | 사회복지・상담심리학부 사회복지학과 | SOC | inherited_headcount | matched headcount 대계열=사회 || 가톨릭꽃동네대학교 | 사회복지・상담심리상담심리 | 사회복지・상담심리학부 상담심리학과 | HUM | inherited_headcount | matched headcount 대계열=인문 || 가톨릭꽃동네대학교 | 상담심리 | 상담심리학과 | HUM | inherited_headcount | matched headcount 대계열=인문
