sample_group,outcome_row_id,school_name_raw,campus_name_raw,dept_field_raw,dept_name_raw,match_method,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_evidence,audit_keyword_hits,audit_ambiguous_token,audit_keyword_evidence,audit_auto_major_contradiction,audit_auto_ambiguous_token
inherited_headcount,OC2024_09247,한국예술종합학교,,성악과,성악과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,,False,,False,False
inherited_headcount,OC2024_07045,예원예술대학교_제2캠퍼스,제2캠퍼스,만화게임영상,만화게임영상전공,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ART,False,ART:영상/만화,False,False
inherited_headcount,OC2024_04603,목원대학교,,애니메이션,애니메이션학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ART,False,ART:애니메이션,False,False
inherited_headcount,OC2024_02877,극동대학교,,연극연기,연극연기학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ART,False,ART:연극,False,False
inherited_headcount,OC2024_07654,인천가톨릭대학교_제2캠퍼스,제2캠퍼스,환경디자인,환경디자인학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,"NAT,ART",False,NAT:환경 | ART:디자인,False,False
inherited_headcount,OC2024_07828,전남대학교,,디자인,디자인학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ART,False,ART:디자인,False,False
inherited_headcount,OC2024_00801,경남대학교,,경호보안,경호보안학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ENG,False,ENG:보안,True,False
inherited_headcount,OC2024_07456,을지대학교_제2캠퍼스,제2캠퍼스,미용화장품과,미용화장품과학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,NAT,False,NAT:과학,True,False
inherited_headcount,OC2024_04571,목원대학교,,만화・애니메이션과,만화・애니메이션과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ART,False,ART:애니메이션/만화,False,False
inherited_headcount,OC2024_01258,경성대학교,,스포츠건강,스포츠건강학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=예체능,ART,False,ART:스포츠,False,False
inherited_headcount,OC2024_01356,경인교육대학교_제2캠퍼스,제2캠퍼스,초등윤리교육과,초등윤리교육과(심화과정),exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육,False,False
inherited_headcount,OC2024_01163,경상국립대학교,,일어교육과,일어교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육,False,False
inherited_headcount,OC2024_04460,루터대학교,,언어치료,언어치료학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,HUM,False,HUM:언어,True,False
inherited_headcount,OC2024_04751,백석대학교,,특수교육과,특수교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육/특수교육,False,False
inherited_headcount,OC2024_09375,한국외국어대학교,,한국어교육과,한국어교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육/국어교육,False,False
inherited_headcount,OC2024_07761,인하대학교,,사회교육과,사회교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육/사회교육,False,False
inherited_headcount,OC2024_02989,남부대학교,,유아특수교육과,유아특수교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육/특수교육,False,False
inherited_headcount,OC2024_08809,충남대학교,,기계공학교육과,기계공학교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,"ENG,EDU",False,ENG:기계/공학 | EDU:교육,False,False
inherited_headcount,OC2024_08996,충북대학교,,화학교육과,화학교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,"NAT,EDU",False,NAT:화학 | EDU:교육,False,False
inherited_headcount,OC2024_02333,국립목포대학교,,윤리교육과,윤리교육과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=교육,EDU,False,EDU:교육,False,False
inherited_headcount,OC2024_04797,부산대학교,,광메카트로닉스공,광메카트로닉스공학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,False,ENG:공학,False,False
inherited_headcount,OC2024_08542,중원대학교,,소방안전,소방안전학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,SOC,False,SOC:소방,True,False
inherited_headcount,OC2024_07861,전남대학교,,에너지자원공,에너지자원공학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,False,ENG:에너지/공학,False,False
inherited_headcount,OC2024_01028,경북대학교,,응용화학공화학공학,응용화학공학부 화학공학전공,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,"ENG,NAT",False,ENG:화학공학/공학 | NAT:화학,False,False
inherited_headcount,OC2024_07816,전남대학교,,고분자융합소재공,고분자융합소재공학부,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,True,ENG:공학,False,True
inherited_headcount,OC2024_00616,건국대학교(글로컬)_분교,분교|글로컬,의용전자공학트랙,의용전자공학전공 트랙,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,False,ENG:전자/공학,False,False
inherited_headcount,OC2024_07180,우송대학교,,철도건설시스템건축공학,철도건설시스템학부 건축공학전공,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,False,ENG:건축공학/공학/철도,False,False
inherited_headcount,OC2024_04544,목원대학교,,게임콘텐츠,게임콘텐츠학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,,False,,False,False
inherited_headcount,OC2024_05240,서경대학교,,나노융합공,나노융합공학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,True,ENG:공학,False,True
inherited_headcount,OC2024_01002,경북대학교,,에너지공,에너지공학부,exact_normalized,,inherited_headcount,high,matched headcount 대계열=공학,ENG,False,ENG:에너지/공학,False,False
inherited_headcount,OC2024_01928,광주여자대학교,,어린이영어교육,어린이영어교육학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,EDU,False,EDU:교육/영어교육,True,False
