year,major_group_7,employment_rate_pct_actual,unemployment_rate_pct_actual,inactivity_rate_pct_actual,industry_top1_pct_actual,industry_top3_pct_actual,industry_hhi_actual,industry_entropy_actual,firm_size_hhi_actual,public_nonprofit_pct_actual,unstable_pct_actual,occupation_hhi_actual,hourly_income_proxy_actual,employment_rate_pct_recalc,unemployment_rate_pct_recalc,inactivity_rate_pct_recalc,industry_top1_pct_recalc,industry_top3_pct_recalc,industry_hhi_recalc,industry_entropy_recalc,firm_size_hhi_recalc,public_nonprofit_pct_recalc,unstable_pct_recalc,occupation_hhi_recalc,hourly_income_proxy_recalc
2007,인문,74.68582,6.639189,18.67297,22.8,45.4,0.11261291,2.4279559,0.25513193,24.5,19.4,0.37202683,0.9593102,74.68582050349536,6.639188588515779,18.672970461065987,22.8,45.4,0.11261291074768784,2.4279557501101725,0.2551319411125982,24.5,19.4,0.37202682491436295,0.9593101875666189
2007,사회,78.590126,7.0643396,14.3447895,13.7,38.7,0.09220976,2.538311,0.25715816,27.2,12.5,0.3742318,1.0164118,78.59012323522374,7.064339554917444,14.344789423307011,13.7,38.7,0.09220975593764853,2.5383110062346748,0.2571581525719047,27.2,12.5,0.37423178113859085,1.0164117405927586
2007,교육,76.2232,4.617922,19.155825,61.5,85.9,0.43788546,1.283513,0.31405744,57.9,14.8,0.7381267,0.90241504,76.22319956019791,4.617921935129192,19.15582432349887,61.5,85.9,0.43788546973212994,1.2835129929528375,0.3140574345575071,57.900000000000006,14.799999999999999,0.7381267217630855,0.9024150121958506
2007,공학,80.08259,6.63474,13.281122,31.1,56.1,0.1550391,2.2468705,0.25537637,14.7,7.9,0.30939704,1.0049709,80.08258497170844,6.634740020335774,13.281122658863525,31.1,56.10000000000001,0.15503910047938854,2.2468705705197825,0.255376379384359,14.7,7.9,0.3093970348060757,1.004970950058475
2007,자연,70.279976,7.55789,22.160177,19.5,49.1,0.11545095,2.4180758,0.25805026,23.6,15.4,0.27167702,0.94089115,70.27997969463861,7.557889804365653,22.160178062399936,19.5,49.099999999999994,0.11545095136491292,2.418075917044063,0.25805027338268743,23.599999999999998,15.4,0.27167702155459295,0.9408911491394137
2007,의약,89.05696,1.5944399,9.345871,78.9,89.3,0.63945025,0.95807713,0.27891493,36.2,9.4,0.75318533,0.9594133,89.05696375034069,1.5944399018806215,9.345870809484873,78.9,89.30000000000001,0.6394502796566078,0.9580771574964204,0.27891493832208547,36.2,9.4,0.7531853278904693,0.9594133011854532
2007,예체능,78.05813,8.221191,13.719161,21.7,44.6,0.111747935,2.4087508,0.31792167,16.6,19.7,0.33229318,0.82211095,78.05813178153603,8.22119173183003,13.71916105958659,21.7,44.599999999999994,0.11174793302669096,2.408750690292319,0.31792166871728533,16.6,19.7,0.33229318625120896,0.8221109486932272
2008,인문,76.68069,5.646292,17.670956,22.5,44.1,0.10727757,2.4638865,0.2568814,27.3,18.5,0.37423694,0.96747094,76.68068959828426,5.646292171904644,17.67095603398499,22.5,44.099999999999994,0.10727757544224768,2.4638865168816344,0.25688139188404335,27.3,18.5,0.374236951941846,0.9674709613880601
2008,사회,78.30811,6.646031,15.044419,14.0,38.3,0.092068784,2.536311,0.26442155,27.5,12.9,0.3925189,0.9677079,78.30811327123477,6.646030982253791,15.044419387967626,14.0,38.3,0.09206878047737406,2.536310853115467,0.264421539296139,27.5,12.9,0.3925189214831292,0.9677079013939017
2008,교육,78.093956,3.862335,18.040785,63.8,87.1,0.46187645,1.2295476,0.32243764,52.1,12.5,0.7317146,0.9342915,78.09395816290757,3.862334930466285,18.04078532195863,63.8,87.1,0.461876463319459,1.229547624528209,0.3224376439724868,52.1,12.5,0.7317146039281999,0.9342915000013167
2008,공학,80.482086,7.0099854,12.507932,31.6,54.4,0.15436395,2.2504854,0.25229028,13.8,9.4,0.30069798,0.9445819,80.4820826236516,7.009985639381491,12.507931736966905,31.6,54.400000000000006,0.15436394380853274,2.250485359239795,0.2522902856405542,13.8,9.4,0.3006979709054401,0.944581914115919
