status_key,status
P6_INPUT_STATUS,READY
P6_P3_RESIDUAL_HANDOFF_STATUS,READY
P6_P4_CONFIRMATORY_STATUS,READY_WITH_WARNINGS
P6_P5_RESIDUAL_RERUN_STATUS,READY
P6_RESIDUAL_TOPOLOGY_STATUS,READY_WITH_WARNINGS
P6_Q_BRANCH_STATUS,BLOCKED_FEATURE_CONTRACT
P6_OVERALL_STATUS,READY_WITH_WARNINGS
