outcome_row_id,candidate_headcount_row_ids,candidate_preview,match_method,unmatched_reason,match_evidence,candidate_count,reviewer,review_timestamp,selection,selection_rationale,confidence
OC2024_00133,HC2_2024_10669|HC2_2024_10670,실용음악전공 | 실용음악학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00134,HC2_2024_10611,안경광학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00141,HC2_2024_10631|HC2_2024_10632,의학과 | 의학과(의예과),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00150,HC2_2024_10629,조리외식경영학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00151,HC2_2024_10628,조리외식경영학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00152,HC2_2024_10567,중독재활학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00157,HC2_2024_10566,치매전문재활학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00160,HC2_2024_10574|HC2_2024_10651,콘텐츠제작전공 | 콘텐츠제작학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00162,HC2_2024_10639,통합치유학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00164,HC2_2024_10606|HC2_2024_10620,항공교통물류전공 | 항공교통물류학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00165,HC2_2024_10603|HC2_2024_10608,항공운항학과 | 항공운항전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00166,HC2_2024_10553,항공운항서비스학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00176,HC2_2024_24839|HC2_2024_24840,사회복지학과 | 사회복지학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00179,HC2_2024_24837,사회복지?상담심리학부 상담심리학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00180,HC2_2024_24836,상담심리학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00181,HC2_2024_07205,IT파이낸스학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00184,HC2_2024_07242,공간디자인?소비자학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00191,HC2_2024_07223,미디어기술콘텐츠학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00197,HC2_2024_07232,생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00201,HC2_2024_07183,심리학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00210,HC2_2024_07174|HC2_2024_07175,일어일본문화전공 | 일어일본문화학과,manual_pending,multiple_candidates,"school+campus+suffix-reduced exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00217,HC2_2024_07179,프랑스어문화학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00234,HC2_2024_07352,글로벌문화학부,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00239,HC2_2024_07379,부동산건설학부,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00257,HC2_2024_11270|HC2_2024_11271|HC2_2024_11272|HC2_2024_11273|HC2_2024_11274|HC2_2024_11275|HC2_2024_11276|HC2_2024_11277|HC2_2024_11278|HC2_2024_11279,외국어학부(중국어전공) | 외국어학부(영어전공) | G2국제어학과 | 상담심리학과 | 아동복지상담심리학부(상담심리학전공),unmatched,department_formatting_or_source_coverage_mismatch,no strict/suffix/token/fuzzy unique candidate under same school and allowed campus scope,29,,,,,
OC2024_00260,HC2_2024_11278|HC2_2024_11280,경영학과 | 경영학부(경영학전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00262,HC2_2024_11285|HC2_2024_11286,사회복지학과 | 사회복지학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00263,HC2_2024_11273,상담심리학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00264,HC2_2024_11291|HC2_2024_11292,식품영양학과 | 식품영양학부(식품영양학전공),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00270,HC2_2024_00412|HC2_2024_00523,간호학과 | 간호학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00271,HC2_2024_00259|HC2_2024_00451,건축학과(5) | 건축학과(5),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00273,HC2_2024_00256|HC2_2024_00447,건축공학전공 | 건축공학전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00274,HC2_2024_00260|HC2_2024_00453,건축학전공(5년제) | 건축학전공(5년제),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00286,HC2_2024_00233,글로벌미디어커뮤니케이션전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00287,HC2_2024_00215|HC2_2024_00216,글로벌비즈니스전공 | 글로벌비즈니스학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00290,HC2_2024_00273|HC2_2024_00274,기계의용?메카트로닉스공학부 | 기계의용?메카트로닉스공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00295,HC2_2024_00366,농업자원경제학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00306,HC2_2024_00309,목재과학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00311,HC2_2024_00232,미디어커뮤니케이션학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00342,HC2_2024_00388,생태조경디자인학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00346,HC2_2024_00364,수의학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00347,HC2_2024_00363,수의예과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00355,HC2_2024_00361,식물의학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00357,HC2_2024_00391,식품생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00358,HC2_2024_00392,식품생명공학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00360,HC2_2024_00198,심리학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00362,HC2_2024_00280|HC2_2024_00516,에너지자원공학전공 | 에너지?자원공학전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00372,HC2_2024_00349,의생명공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00373,HC2_2024_00348,의생명공학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00378,HC2_2024_00372,자원공학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00380,HC2_2024_00208|HC2_2024_00409,자유전공학부(학생설계전공 인문사회계열) | 자유전공학부(학생설계전공 자연과학계열),manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00385,HC2_2024_00278|HC2_2024_00474,전자공학전공 | 전자공학전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00391,HC2_2024_00308,종이소재과학전공,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00404,HC2_2024_00290|HC2_2024_00491,컴퓨터공학과 | 컴퓨터공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00407,HC2_2024_00263|HC2_2024_00458,토목공학과 | 토목공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
