column,non_null_n,zero_n,nonzero_n,zero_rate,mean_lambda,poisson_expected_nonzero_n,nonzero_gap_observed_minus_poisson,note
정원외_입학정원_학부,15727,15642,85,0.9945952819991098,0.10720417117059833,1598.7716123036278,-1513.7716123036278,0을 결측으로 바꾸지 말고 희소 카운트 변수로 해석
유예생_전체_남,15727,14760,967,0.9385133846251669,0.18802060151332103,2695.6449677513374,-1728.6449677513374,0을 결측으로 바꾸지 말고 희소 카운트 변수로 해석
정원외_입학자_박사_여,15727,14520,1207,0.9232530043873594,0.23971513956889426,3352.1790342037725,-2145.1790342037725,0을 결측으로 바꾸지 말고 희소 카운트 변수로 해석
정원외_입학자_박사_남,15727,14484,1243,0.9209639473516882,0.2415591021809627,3374.9767158996774,-2131.9767158996774,0을 결측으로 바꾸지 말고 희소 카운트 변수로 해석
유예생_전체_여,15727,14455,1272,0.9191199847396198,0.3564570483881223,4715.700948311036,-3443.700948311036,0을 결측으로 바꾸지 말고 희소 카운트 변수로 해석
정원외_입학자_석사_남,15727,14306,1421,0.9096458320086476,0.3915559229350798,5095.4812342282785,-3674.4812342282785,0을 결측으로 바꾸지 말고 희소 카운트 변수로 해석
