excel_row,excel_col,value
14,71,재적생_전체_남
14,72,재적생_전체_여
14,73,재학생_전체_계
14,74,재학생_전체_남
14,75,재학생_전체_여
14,76,휴학생_전체_계
14,77,휴학생_전체_남
14,78,휴학생_전체_여
14,79,유예생_전체_계
14,80,유예생_전체_남
14,81,유예생_전체_여
14,82,재적생_석사_계
14,83,재적생_석사_남
14,84,재적생_석사_여
14,85,재학생_석사_계
14,86,재학생_석사_남
14,87,재학생_석사_여
14,88,휴학생_석사_계
14,89,휴학생_석사_남
14,90,휴학생_석사_여
14,91,재적생_박사_계
14,92,재적생_박사_남
14,93,재적생_박사_여
14,94,재학생_박사_계
14,95,재학생_박사_남
14,96,재학생_박사_여
14,97,휴학생_박사_계
14,98,휴학생_박사_남
14,99,휴학생_박사_여
14,100,외국인유학생_총계_계
14,101,외국인유학생_총계_남
14,102,외국인유학생_총계_여
14,103,외국인유학생_학사_계
14,104,외국인유학생_학사_남
14,105,외국인유학생_학사_여
14,106,외국인유학생_석사_계
14,107,외국인유학생_석사_남
14,108,외국인유학생_석사_여
14,109,외국인유학생_박사_계
14,110,외국인유학생_박사_남
14,111,외국인유학생_박사_여
14,112,졸업자_전체
14,113,졸업자_남
14,114,졸업자_전체_여
14,115,졸업자_석사_계
14,116,졸업자_석사_남
14,117,졸업자_석사_여
14,118,졸업자_박사_계
14,119,졸업자_박사_남
14,120,졸업자_박사_여
14,121,전임교원_계
14,122,전임교원_남
14,123,전임교원_여
14,124,비전임교원_계
14,125,비전임교원_남
14,126,비전임교원_여
14,127,시간강사_계
14,128,시간강사_남
14,129,시간강사_여
15,1,2024
15,2,대학교
15,4,국립강릉원주대학교
15,5,학교명변경
15,6,본교(제1캠퍼스)
15,7,강원
15,8,강원 강릉시
15,9,국립
15,10,주간
15,11,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)"
15,12,25457
15,13,033-640-7001
15,14,033-643-7110
15,15,www.gwnu.ac.kr
15,16,대학과정
15,17,인문계열
15,18,언어ㆍ문학
15,19,국어ㆍ국문학
15,20,U01010200008
15,21,국어국문학과
15,22,1
15,23,0
15,24,0
15,25,29
15,26,29
15,27,0
15,28,29
15,29,29
15,30,0
15,31,111
15,32,47
15,33,64
15,34,0
15,35,0
15,36,0
15,37,0
15,38,0
15,39,0
15,40,31
15,41,13
15,42,18
15,43,0
15,44,0
15,45,0
15,46,0
15,47,0
15,48,0
15,49,29
15,50,13
15,51,16
15,52,29
15,53,13
15,54,16
15,55,0
15,56,0
15,57,0
15,58,0
15,59,0
15,60,0
15,61,2
15,62,0
15,63,2
15,64,0
15,65,0
15,66,0
15,67,0
15,68,0
15,69,0
15,70,152
15,71,62
15,72,90
15,73,113
15,74,36
15,75,77
15,76,39
15,77,26
15,78,13
15,79,0
15,80,0
15,81,0
15,82,0
15,83,0
15,84,0
15,85,0
15,86,0
15,87,0
15,88,0
15,89,0
15,90,0
15,91,0
15,92,0
15,93,0
15,94,0
15,95,0
15,96,0
15,97,0
15,98,0
15,99,0
15,100,7
15,101,1
15,102,6
15,103,7
15,104,1
15,105,6
15,106,0
15,107,0
15,108,0
15,109,0
15,110,0
15,111,0
15,112,25
15,113,11
15,114,14
15,115,0
15,116,0
15,117,0
15,118,0
15,119,0
15,120,0
15,121,5
15,122,2
15,123,3
15,124,15
15,125,10
15,126,5
15,127,0
15,128,0
15,129,0
