학위과정,학제,rows,graduate_type_null,no_department_placeholder,nonzero_placeholder
대학과정,대학교,14823,14823,181,180
대학과정,사이버대학(대학),497,497,17,17
대학과정,산업대학,168,168,3,3
대학과정,교육대학,153,153,3,3
대학과정,각종대학(대학),36,36,3,3
대학과정,방송통신대학교,36,36,0,0
대학과정,원격대학(대학),12,12,1,1
대학과정,기술대학,5,5,0,0
대학과정,사내대학(대학),4,4,0,0
대학원과정,일반대학원,6980,0,20,20
대학원과정,특수대학원,4827,0,52,52
대학원과정,전문대학원,867,0,27,27
전문대학과정,전문대학,6545,6545,119,119
전문대학과정,기능대학,347,347,30,30
전문대학과정,전공대학,69,69,2,2
전문대학과정,사이버대학(전문),39,39,2,2
전문대학과정,원격대학(전문),19,19,1,1
전문대학과정,사내대학(전문),4,4,1,1
