시도,학교명,rows,dept_codes,degree_courses,total_capacity,total_applicants,total_admitted,total_enrolled,total_foreign_students,total_graduates,full_time_faculty
서울,서일대학교,60,60,1,2580,21561,2707,8566,8,2003,170
세종,한국영상대학교,60,60,1,1729,4097,1243,4090,29,973,82
충북,한국교원대학교대학원,60,60,1,0,1121,403,1171,27,403,1
경기,수원여자대학교,59,59,1,1618,9634,1516,4024,5,1307,113
경남,국립창원대학교 대학원,59,59,1,0,532,438,933,141,246,1
경기,서정대학교,58,58,1,1626,9119,3553,10849,3804,2790,212
경기,중앙대학교,58,58,1,1168,12452,1230,6923,720,1126,122
서울,상명대학교,58,58,1,1302,13507,1482,8417,234,1387,235
서울,서울시립대학교,58,58,1,1747,23951,1898,11866,236,1826,405
서울,성균관대학교 일반대학원,58,58,1,0,3221,1202,2446,911,887,19
인천,인하공업전문대학,58,58,1,2918,21607,3473,10815,79,2717,175
경기,아주대학교대학원,57,57,1,0,1193,747,1578,110,452,4
경북,경운대학교,57,57,1,1184,4890,1261,5965,192,931,169
서울,명지대학교 인문캠퍼스,57,57,1,1263,17887,1603,10041,1112,1885,216
서울,배화여자대학교,57,57,1,1424,8707,1383,3086,3,1127,76
서울,성균관대학교,57,57,1,1783,35826,2364,14306,2108,2278,292
서울,국민대학교대학원,56,56,1,0,1685,742,1570,574,462,18
인천,인천대학교대학원,56,56,1,0,641,405,762,115,283,0
충남,신성대학교,56,56,1,1161,5552,1196,3359,177,1032,98
경북,국립안동대학교대학원,55,55,1,0,247,194,559,70,130,0
부산,국립한국해양대학교대학원,55,55,1,0,371,299,614,82,184,0
부산,부산보건대학교,55,55,1,933,8968,887,2980,13,813,85
서울,숙명여자대학교 일반대학원,55,55,1,0,913,478,1162,163,378,2
경기,한국공학대학교,54,54,1,1380,12494,1804,9979,146,1556,248
경남,동원과학기술대학교,54,54,1,820,3624,986,2801,64,882,54
경북,대구대학교대학원,54,54,1,0,482,369,803,224,261,0
서울,경희사이버대학교,54,54,1,3000,3301,2485,12093,219,3072,52
전남,나주대학교,54,54,1,805,864,756,1429,17,502,39
전북,한국농수산대학교,54,54,1,684,1890,596,1898,0,604,53
경기,명지대학교 자연캠퍼스,53,53,1,1264,15187,1338,8337,204,1459,256
경남,마산대학교,53,53,1,2059,12523,1952,6273,90,1750,147
경남,인제대학교 일반대학원,53,53,1,0,341,243,516,143,167,2
전북,전주기전대학,53,53,1,913,1765,900,1872,182,557,53
경기,평택대학교,52,52,1,805,6556,852,4064,64,809,108
대전,우송대학교,52,52,1,2004,15623,2274,12856,1877,2110,300
충남,청운대학교,52,52,1,685,3901,799,3691,64,825,97
광주,조선이공대학교,51,51,1,1503,5438,1431,4379,17,1307,91
부산,경성대학교 일반대학원,51,51,1,0,745,338,599,327,216,1
세종,홍익대학교 세종캠퍼스,51,51,1,1330,10188,1405,7767,92,1286,178
충남,건양대학교,51,51,1,702,3384,668,3438,24,708,111
충남,남서울대학교,51,51,1,2187,16486,2459,11997,618,2118,296
경기,아주대학교,50,50,1,1936,36237,2313,13395,600,2238,700
경남,경남과학기술대학교,50,50,1,0,0,0,2941,0,1043,0
경북,국립금오공과대학교,50,50,1,1245,6114,1336,7405,33,1251,245
경북,김천대학교,50,50,1,634,3241,623,2688,107,670,100
광주,동강대학교,50,50,1,1021,3125,1083,2791,11,838,65
대전,국립한밭대학교,50,50,1,1916,15833,2085,11106,82,1819,293
대전,한국과학기술원 일반대학원,50,50,1,0,5515,2439,7433,565,1826,90
서울,광운대학교대학원,50,50,1,0,610,396,752,95,259,6
전남,전남과학대학교,50,50,1,1276,2911,1400,3374,2,1239,101
전남,청암대학교,50,50,1,885,2809,825,2759,35,775,66
경기,강남대학교,49,49,1,1491,10632,1590,8516,13,1679,215
경기,경희대학교 대학원,49,49,1,0,971,623,1317,245,447,34
서울,서울사이버대학교,49,49,1,3270,8043,4550,18499,43,4248,74
전북,국립군산대학교대학원,49,49,1,0,462,399,840,404,198,0
충남,순천향대학교대학원,49,49,1,0,323,282,639,140,214,3
경기,성균관대학교,48,48,1,1664,47991,2014,10888,318,1846,980
경북,경북대학교,48,48,1,715,4410,774,3753,22,598,101
경북,동양대학교,48,48,1,536,1619,582,2885,242,471,99
광주,광주여자대학교,48,48,1,897,4166,842,3480,357,872,120
강원,한라대학교,47,47,1,897,3920,832,4080,207,711,114
경기,용인대학교,47,47,1,1262,10958,1339,7318,30,1422,182
경기,중부대학교,47,47,1,865,7390,1091,5600,336,838,125
서울,서울디지털대학교,47,47,1,3000,4904,2863,12491,66,3103,52
서울,한양사이버대학교,47,47,1,3440,6550,4428,18037,88,4233,78
전남,순천제일대학교,47,47,1,1111,3155,1340,3165,64,951,73
전북,원광보건대학교,47,47,1,1547,7902,1470,5323,8,1326,120
경기,경기대학교 일반대학원,46,46,1,0,423,242,709,214,266,5
경기,서영대학교,46,46,1,897,4540,979,3003,1,854,51
경북,위덕대학교,46,46,1,556,1648,554,2664,63,511,93
서울,홍익대학교 대학원,46,46,1,0,2065,980,2233,503,667,7
경북,경북전문대학교,45,45,1,1191,4290,1187,3128,4,1015,76
부산,고신대학교,45,45,1,784,4135,762,3591,44,779,249
서울,서울시립대학교대학원,45,45,1,0,1158,637,1347,101,387,3
전남,전남대학교,45,45,1,802,3926,888,4187,127,562,136
경기,동아방송예술대학교,44,44,1,987,15309,1157,4159,29,1012,81
대구,수성대학교,44,44,1,1299,6622,1523,4209,2,1172,87
서울,서울과학기술대학교 일반대학원,44,44,1,0,1157,593,1215,203,322,0
서울,한국외국어대학교 일반대학원,44,44,1,0,825,351,926,388,257,5
충북,대원대학교,44,44,1,817,2360,523,1944,6,672,58
강원,경동대학교,44,41,1,843,5028,1046,5407,870,1101,128
서울,세종사이버대학교,43,43,1,2180,5441,2808,12007,74,2733,42
전북,전주비전대학교,43,43,1,1258,6666,1238,3965,256,1266,87
서울,정화예술대학교,43,31,1,1750,7859,1755,4366,6,1242,73
경기,계원예술대학교,42,42,1,1192,5397,1244,3715,2,1092,72
경기,한양대학교 대학원,42,42,1,0,1462,796,1823,666,441,0
서울,성공회대학교,42,42,1,502,3127,544,2901,15,410,79
제주,제주국제대학교,42,42,1,370,226,115,402,117,155,46
충남,혜전대학교,42,42,1,942,6533,1069,3300,676,886,80
경기,성결대학교,41,41,1,1228,11329,1295,6975,31,1131,175
경기,협성대학교,41,41,1,1004,8138,1072,5192,2,909,135
광주,서영대학교,41,41,1,1078,7256,1201,3878,1,940,72
대전,대전대학교 일반대학원,41,41,1,0,318,197,428,29,150,5
대전,한남대학교대학원,41,41,1,0,277,198,453,138,128,0
서울,삼육대학교,41,41,1,1157,18661,1243,6856,144,1300,208
서울,서강대학교대학원,41,41,1,0,2295,878,1679,141,450,1
인천,경인교육대학교 교육전문대학원,41,41,1,0,693,514,1571,3,454,0
충북,청주대학교일반대학원,41,41,1,0,510,387,767,509,244,0
충북,충북보건과학대학교,41,41,1,1014,4683,1053,2785,60,871,79
경기,을지대학교,41,37,1,989,9816,1047,5224,10,1272,132
전남,동신대학교대학원,40,40,1,0,494,416,809,398,168,2
제주,제주관광대학교,40,40,1,870,1714,789,1953,44,504,57
서울,상명대학교 대학원,39,39,1,0,512,312,733,163,278,8
전남,세한대학교,39,39,1,428,1927,464,2455,68,421,83
전북,우석대학교 일반대학원,39,39,1,0,360,246,571,331,371,2
경기,동남보건대학교,38,38,1,1877,17512,1805,5699,19,1555,121
대구,대구교육대학교교육대학원,38,38,1,0,360,237,865,0,312,0
