시도,학교명,rows,dept_codes,degree_courses,total_capacity,total_applicants,total_admitted,total_enrolled,total_foreign_students,total_graduates,full_time_faculty
대구,영진사이버대학교,18,18,1,1560,1860,1430,3819,13,1897,22
대전,건양대학교 일반대학원,18,18,1,0,197,158,385,21,131,0
부산,한국폴리텍Ⅶ대학 부산캠퍼스,18,18,1,330,665,352,929,0,318,42
서울,사이버한국외국어대학교,18,18,1,1750,2794,1899,7610,321,1836,31
서울,서경대학교 일반대학원,18,18,1,0,376,243,480,212,116,7
서울,한국외국어대학교 교육대학원,18,18,1,0,497,117,402,3,158,18
인천,안양대학교,18,18,1,149,875,152,489,0,53,25
충북,극동대학교 글로벌대학원,18,18,1,0,38,20,125,39,37,0
강원,국립강릉원주대학교교육대학원,17,17,1,0,98,66,188,0,57,0
경기,아신대학교,17,17,1,65,94,54,345,3,127,29
경기,한국관광대학교,17,17,1,972,4590,557,1754,7,559,50
경기,한국폴리텍 I 대학 성남캠퍼스,17,17,1,345,752,308,821,1,290,50
경기,한국항공대학교대학원,17,17,1,0,277,211,425,53,152,28
경기,한양대학교 융합산업대학원,17,17,1,0,211,172,310,17,126,2
경남,경남도립거창대학,17,17,1,384,1184,396,1137,8,300,30
대구,경북대학교 산업대학원,17,17,1,0,107,72,236,0,83,0
대구,계명대학교 교육대학원,17,17,1,0,375,141,414,0,170,7
부산,동서대학교일반대학원,17,17,1,0,224,169,312,184,106,9
서울,덕성여자대학교 대학원,17,17,1,0,167,83,221,58,42,0
서울,백석대학교 기독교전문대학원,17,17,1,0,243,176,602,133,96,34
서울,서울기독대학교,17,17,1,136,763,360,728,235,77,29
서울,추계예술대학교,17,17,1,250,2667,267,1364,25,271,49
전남,국립목포대학교 교육대학원,17,17,1,0,129,54,158,0,86,0
전북,전북과학대학교,17,17,1,608,1991,707,1727,44,595,54
충남,한국기술교육대학교 IT융합과학경영산업대학원,17,17,1,0,143,113,247,0,119,4
경기,중부대학교 휴먼텍대학원,16,16,1,0,152,113,190,49,56,0
경기,한국공학대학교 산업기술경영대학원,16,16,1,0,90,73,147,12,72,1
경기,한세대학교 대학원,16,16,1,0,231,120,325,133,93,7
경기,한신대학교대학원,16,16,1,0,98,70,169,2,42,0
경남,진주보건대학교,16,16,1,749,3364,724,2723,0,711,72
경북,한동대학교,16,16,1,729,3465,809,5307,143,810,133
대전,한국침례신학대학교,16,16,1,182,270,186,935,3,238,53
부산,동명대학교 일반대학원,16,16,1,0,269,186,472,346,132,0
부산,부산외국어대학교대학원,16,16,1,0,300,183,374,281,67,0
서울,국민대학교디자인대학원,16,16,1,0,101,56,137,3,51,0
서울,숙명여자대학교 교육대학원,16,16,1,0,634,196,536,0,175,11
서울,한국열린사이버대학교,16,16,1,1000,2963,1899,6434,16,1525,25
전남,광양보건대학교,16,16,1,373,305,66,131,0,58,19
제주,제주대학교산업대학원,16,16,1,0,31,23,85,1,18,0
충남,금강대학교,16,16,1,110,65,20,156,0,82,12
경기,단국대학교 교육대학원,15,15,1,0,245,91,280,0,126,17
경기,한국공학대학교 일반대학원,15,15,1,0,93,77,170,5,84,0
경기,한국학대학원,15,15,1,0,314,86,233,91,61,52
경북,경북대학교 과학기술대학원,15,15,1,0,17,13,71,0,27,0
경북,국립안동대학교교육대학원,15,15,1,0,92,49,175,0,68,0
경북,대구한의대학교 보건복지대학원,15,15,1,0,92,55,119,14,29,1
경북,문경대학교,15,15,1,268,1066,214,912,1,217,30
경북,포항공과대학교,15,15,1,320,3179,368,1805,0,268,237
대전,한남대학교 사회문화·행정복지대학원,15,15,1,0,152,123,274,148,97,2
부산,대동대학교,15,15,1,410,4648,479,1690,1,365,45
부산,부산교육대학교,15,15,1,356,2080,389,1476,0,346,82
서울,건국대학교농축대학원,15,15,1,0,77,63,185,0,33,0
서울,삼육보건대학교,15,15,1,460,7269,552,1598,2,416,42
서울,서울시립대학교 도시과학대학원,15,15,1,0,358,221,693,0,214,2
서울,한국외국어대학교 국제지역대학원,15,15,1,0,151,88,288,132,89,21
서울,한국외국어대학교 통번역대학원,15,15,1,0,654,169,439,37,94,22
인천,경인교육대학교,15,15,1,598,3181,653,1262,0,0,134
전남,동신대학교사회개발대학원,15,15,1,0,202,161,289,110,68,0
전북,전주대학교 교육대학원,15,15,1,0,100,61,146,1,49,0
충남,청운대학교 대학원,15,15,1,0,70,44,118,28,36,0
강원,강원대학교산업대학원,14,14,1,0,24,16,80,0,13,0
강원,국립강릉원주대학교경영정책과학대학원,14,14,1,0,20,15,43,2,7,0
강원,국립강릉원주대학교산업대학원,14,14,1,0,20,14,39,0,28,0
강원,춘천교육대학교,14,14,1,321,1961,332,1285,0,305,77
경기,강남대학교대학원,14,14,1,0,73,55,158,17,54,0
경기,경인교육대학교,14,14,1,0,0,0,1246,0,615,0
경기,한국외국어대학교 일반대학원,14,14,1,0,55,29,79,7,53,0
경기,한국폴리텍특성화대학 반도체융합캠퍼스,14,14,1,302,403,178,567,3,228,28
경남,국립창원대학교 산업대학원,14,14,1,0,107,82,206,1,58,0
광주,광주교육대학교,14,14,1,326,1308,343,1319,0,314,73
대구,대구교육대학교,14,14,1,383,1900,415,1589,0,377,92
서울,서울교육대학교,14,14,1,355,1767,372,1413,0,353,98
서울,총신대학교,14,14,1,307,1449,344,1714,7,348,112
서울,한국체육대학교,14,14,1,535,3179,569,2959,8,596,122
서울,한국체육대학교 사회체육대학원,14,14,1,0,236,131,468,2,93,0
서울,홍익대학교 산업미술대학원,14,14,1,0,300,170,543,2,110,21
인천,가천대학교,14,14,1,565,13759,654,2996,10,578,341
전남,국립순천대학교교육대학원,14,14,1,0,112,54,198,1,86,0
전북,국립군산대학교교육대학원,14,14,1,0,68,41,133,2,38,11
전북,백제예술대학교,14,14,1,413,1191,390,1016,0,392,24
전북,전북대학교 경영대학원,14,14,1,0,47,43,142,0,37,0
전북,전주교육대학교,14,14,1,285,1247,303,1118,0,273,57
전북,한일장신대학교,14,14,1,219,427,196,911,1,183,40
충남,나사렛대학교 일반대학원,14,14,1,0,45,34,199,9,33,0
충남,순천향대학교 미래융합대학원,14,14,1,0,28,21,67,18,27,1
충북,극동대학교일반대학원,14,14,1,0,71,48,113,7,18,0
강원,한라대학교정보산업대학원,13,13,1,0,14,12,34,4,8,0
경기,경희대학교 동서의학대학원,13,13,1,0,145,89,150,3,67,12
경기,경희대학교 테크노경영대학원,13,13,1,0,1119,630,965,655,517,5
경기,용인대학교일반대학원,13,13,1,0,80,57,163,20,70,0
경기,한국공학대학교 융합기술에너지대학원,13,13,1,0,50,43,73,7,36,9
경남,경남대학교교육대학원,13,13,1,0,621,144,373,0,128,10
경남,진주교육대학교,13,13,1,319,1833,333,1284,0,298,70
경북,국립금오공과대학교산업대학원,13,13,1,0,71,51,171,0,46,0
광주,남부대학교 일반대학원,13,13,1,0,109,88,161,16,49,1
광주,전남대학교산업대학원,13,13,1,0,100,67,190,0,53,0
부산,국립부경대학교 글로벌정책대학원,13,13,1,0,48,23,87,20,32,0
부산,화신사이버대학교,13,13,1,568,1223,762,2027,9,483,11
서울,건국대학교산업대학원,13,13,1,0,167,88,351,1,66,1
서울,서울과학기술대학교 융합과학대학원,13,13,1,0,146,81,176,5,48,7
서울,서울대학교 일반대학원,13,13,1,0,822,580,1473,67,387,136
서울,숭실대학교 경영대학원,13,13,1,0,371,363,611,429,288,3
서울,한국폴리텍대학 서울강서캠퍼스,13,13,1,255,551,224,613,0,207,33
서울,한양대학교교육대학원,13,13,1,0,754,86,244,0,101,4
울산,울산대학교 교육대학원,13,13,1,0,121,82,248,0,98,7
충남,공주교육대학교,13,13,1,354,1892,376,1422,0,322,81
충남,선문대학교 미래융합대학원,13,13,1,0,286,186,282,192,41,1
충남,한국기술교육대학교 대학원,13,13,1,0,203,133,242,42,75,0
충남,한국폴리텍 IV 대학 아산캠퍼스,13,13,1,220,319,142,565,2,195,29
충북,서원대학교산업대학원,13,13,1,0,66,46,103,15,26,0
충북,청주교육대학교,13,13,1,286,1702,308,1159,0,281,71
강원,상지대학교 사회융합대학원,12,12,1,0,54,47,78,0,28,0
강원,연세대학교 정경대학원,12,12,1,0,394,194,414,217,145,0
경기,경기대학교 교육대학원,12,12,1,0,476,250,531,0,243,7
경기,경기대학교 행정복지상담대학원,12,12,1,0,102,78,171,0,34,0
경기,경희대학교 교육대학원,12,12,1,0,150,89,257,1,76,3
경기,대진대학교 교육대학원,12,12,1,0,98,47,114,0,50,9
경기,예원예술대학교 문화예술대학원,12,12,1,0,340,200,239,175,117,1
경기,중앙대학교 대학원,12,12,1,0,326,186,354,84,91,26
경기,칼빈대학교,12,12,1,90,881,570,1523,1104,143,68
경북,경운대학교 일반대학원,12,12,1,0,72,54,106,28,26,0
경북,영남대학교 교육대학원,12,12,1,0,192,109,347,0,110,0
경북,영남사이버대학교,12,12,1,600,491,372,1129,4,258,10
광주,광신대학교대학원,12,12,1,0,88,77,183,2,48,0
광주,광주과학기술원 일반대학원,12,12,1,0,2234,413,1366,132,316,36
대구,한국폴리텍대학 대구캠퍼스,12,12,1,260,472,255,609,0,225,43
대전,충남대학교산업대학원,12,12,1,0,142,114,241,0,87,0
부산,부산외국어대학교 산업·경영대학원,12,12,1,0,74,49,181,34,41,1
서울,고려대학교 정책대학원,12,12,1,0,153,100,295,1,90,0
서울,국민대학교교육대학원,12,12,1,0,603,164,482,0,175,15
서울,국민대학교테크노디자인전문대학원,12,12,1,0,238,119,314,113,115,23
서울,명지대학교 교육대학원,12,12,1,0,135,36,126,15,62,7
서울,상명대학교 교육대학원,12,12,1,0,120,30,103,1,49,4
서울,숭실대학교 중소기업대학원,12,12,1,0,63,63,97,16,53,1
서울,한국과학기술원 일반대학원,12,12,1,0,926,514,1124,41,470,48
전남,국립목포대학교산업기술대학원,12,12,1,0,0,0,0,0,32,0
전남,한국폴리텍V대학 전남캠퍼스,12,12,1,75,131,74,222,1,60,12
전북,우석대학교 교육대학원,12,12,1,0,187,58,185,0,78,2
충남,국립공주대학교산업과학대학원,12,12,1,0,55,34,99,0,26,0
충남,나사렛대학교재활복지대학원,12,12,1,0,0,0,116,2,19,0
충남,순천향대학교교육대학원,12,12,1,0,395,114,251,0,89,6
충북,중원대학교 일반대학원,12,12,1,0,71,60,183,61,34,1
충북,한국폴리텍IV 대학 청주캠퍼스,12,12,1,290,638,356,1010,2,333,33
강원,가톨릭관동대학교 교육대학원,11,11,1,0,135,82,201,0,58,0
경기,단국대학교 특수교육대학원,11,11,1,0,250,113,308,0,89,5
경기,동양대학교,11,11,1,474,2732,509,2307,2,327,36
경기,명지대학교 산업대학원,11,11,1,0,75,61,192,1,71,0
경기,안양대학교대학원,11,11,1,0,71,55,264,114,52,4
경기,예원예술대학교,11,11,1,89,947,219,577,134,63,15
경남,경상국립대학교 일반대학원,11,11,1,0,77,72,118,7,43,0
경남,한국폴리텍대학 항공캠퍼스,11,11,1,170,319,123,420,1,169,18
경북,한동대학교 일반대학원,11,11,1,0,80,63,146,15,49,2
광주,광주대학교 보건상담정책대학원,11,11,1,0,94,64,147,11,49,0
광주,광주여자대학교 일반대학원,11,11,1,0,77,53,99,21,40,0
대전,한남대학교교육대학원,11,11,1,0,114,40,120,11,58,5
부산,동의대학교교육대학원,11,11,1,0,25,11,48,0,14,0
부산,부산디지털대학교,11,11,1,1000,1020,717,2797,25,695,20
부산,신라대학교 산업융합대학원,11,11,1,0,40,31,78,8,20,0
서울,개신대학원대학교,11,11,1,0,123,111,260,168,25,5
서울,건국대학교 예술디자인대학원,11,11,1,0,157,89,334,4,91,2
서울,건국대학교행정대학원,11,11,1,0,170,112,320,0,77,2
서울,광운대학교교육대학원,11,11,1,0,172,105,248,0,91,3
서울,동덕여자대학교 미래전략융합대학원,11,11,1,0,107,70,148,3,43,1
서울,서강대학교교육대학원,11,11,1,0,512,117,335,1,156,6
서울,서울교육대학교 교육대학원,11,11,1,0,0,0,0,0,19,0
서울,성균관대학교 경영(전문)대학원,11,11,1,0,597,384,758,181,371,45
울산,울산대학교 산업대학원,11,11,1,0,261,137,373,0,108,3
인천,성산효대학원대학교,11,11,1,0,99,68,212,31,65,13
전남,국립목포대학교 산업대학원,11,11,1,0,8,8,36,0,0,0
전남,국립목포대학교경영행정대학원,11,11,1,0,46,41,97,1,26,0
전북,국립군산대학교산업대학원,11,11,1,0,31,29,78,1,29,0
전북,우석대학교 경영문화대학원,11,11,1,0,30,25,58,5,19,0
전북,한국폴리텍 V 대학 전북캠퍼스,11,11,1,185,316,178,462,0,193,24
충남,연암대학교,11,11,1,578,1775,593,1552,1,545,34
경기,단국대학교 정보융합기술?창업대학원,10,10,1,0,85,66,147,1,71,2
경기,동양대학교일반대학원,10,10,1,0,65,49,128,19,19,0
경기,서울장신대학교,10,10,1,85,220,82,357,1,79,30
경기,아주대학교 공학대학원,10,10,1,0,127,92,192,0,82,0
경기,웨스트민스터신학대학원대학교,10,10,1,0,436,197,582,97,205,14
경남,국립창원대학교 경영대학원,10,10,1,0,58,44,136,0,57,0
경남,인제대학교 교육대학원,10,10,1,0,198,86,206,0,67,4
경남,창신대학교 대학원,10,10,1,0,67,56,119,14,19,0
경북,경북보건대학교,10,10,1,394,2387,416,1480,0,326,47
경북,한국폴리텍대학 구미캠퍼스,10,10,1,235,520,260,660,0,207,32
광주,광신대학교,10,10,1,105,152,105,500,9,103,51
광주,광주과학기술원,10,10,1,200,4037,232,1119,37,138,156
광주,송원대학교 휴먼산업대학원,10,10,1,0,72,53,155,63,43,0
대구,한국폴리텍대학 영남융합기술캠퍼스,10,10,1,145,213,87,202,0,73,21
대전,건양대학교 보건복지대학원,10,10,1,0,104,68,128,1,54,0
부산,동의대학교산업문화대학원,10,10,1,0,40,28,63,0,49,3
부산,부산대학교 산업대학원,10,10,1,0,59,46,145,0,52,0
서울,가톨릭대학교 보건의료경영대학원,10,10,1,0,172,102,275,3,99,4
서울,고려대학교 정보보호대학원,10,10,1,0,262,118,312,2,94,17
서울,광운대학교 스마트융합대학원,10,10,1,0,83,56,124,44,46,3
서울,국민대학교종합예술대학원,10,10,1,0,59,41,97,0,42,0
서울,동방문화대학원대학교,10,10,1,0,132,99,380,91,90,11
서울,백석대학교 보건복지대학원,10,10,1,0,64,39,123,2,54,0
서울,서강대학교 경제대학원,10,10,1,0,314,142,354,0,124,0
서울,서울과학기술대학교 산업대학원,10,10,1,0,143,38,156,0,68,0
서울,세종대학교경영전문대학원,10,10,1,0,163,106,160,62,52,9
서울,한국성서대학교,10,10,1,223,1796,247,1133,17,238,45
서울,한양대학교공학대학원,10,10,1,0,457,287,786,0,220,0
울산,한국폴리텍 VII 대학 울산캠퍼스,10,10,1,285,687,342,817,2,290,33
인천,인천가톨릭대학교,10,10,1,165,1177,175,793,4,159,41
전북,전주대학교 경영행정대학원,10,10,1,0,32,30,68,0,17,0
충남,단국대학교 보건복지대학원,10,10,1,0,112,66,179,0,48,1
충남,한서대학교 항공융합대학원,10,10,1,0,61,51,93,0,21,0
부산,영산대학교 사회과학대학원,10,6,1,0,66,35,84,48,12,0
강원,강원대학교 방재전문대학원,9,9,1,0,15,15,74,1,18,7
강원,강원대학교 정보과학ㆍ행정대학원,9,9,1,0,54,46,163,0,39,0
강원,연세대학교 미래캠퍼스 보건과학대학원,9,9,1,0,98,67,135,14,1,0
강원,연세대학교 정경·창업대학원,9,9,1,0,0,0,9,0,14,0
경기,가톨릭대학교교육대학원,9,9,1,0,232,98,300,0,100,6
경기,강남대학교 융복합대학원,9,9,1,0,41,35,69,0,43,1
경기,단국대학교 문화예술대학원,9,9,1,0,118,61,202,21,89,7
경기,단국대학교 행정법무대학원,9,9,1,0,178,123,351,0,123,6
경기,성결대학교일반대학원,9,9,1,0,103,55,120,16,23,0
경기,수원대학교교육대학원,9,9,1,0,214,58,105,0,58,9
경기,한국항공대학교 항공·경영대학원,9,9,1,0,101,91,278,1,97,0
경남,국립창원대학교 교육대학원,9,9,1,0,86,47,113,0,49,0
경북,대구가톨릭대학교교육대학원,9,9,1,0,191,47,166,0,72,0
경북,대신대학교,9,9,1,116,350,171,669,57,111,32
경북,동양대학교일반대학원,9,9,1,0,3,3,11,0,8,0
경북,영남외국어대학,9,9,1,287,579,267,541,0,124,17
광주,광주여자대학교 사회개발대학원,9,9,1,0,67,52,89,25,25,0
대구,경북대학교 국제대학원,9,9,1,0,52,33,101,22,28,0
대구,대구경북과학기술원 일반대학원,9,9,1,0,648,269,992,77,203,131
부산,고신대학교보건대학원,9,9,1,0,22,22,126,0,13,0
부산,신라대학교 교육대학원,9,9,1,0,224,62,147,13,53,0
서울,건국대학교 경영전문대학원,9,9,1,0,89,40,98,1,44,0
서울,건국대학교부동산대학원,9,9,1,0,827,200,738,7,181,0
서울,경기대학교 한류문화대학원,9,9,1,0,26,20,58,37,46,2
서울,경기대학교대체의학대학원,9,9,1,0,84,69,116,3,64,3
서울,명지대학교 통합치료대학원,9,9,1,0,415,275,663,10,197,12
서울,백석대학교 교육대학원,9,9,1,0,130,83,249,1,79,3
서울,서울미디어대학원대학교,9,9,1,0,366,234,386,198,85,13
서울,성신여자대학교 대학원,9,9,1,0,137,92,166,43,68,0
서울,세종대학교 산업대학원,9,9,1,0,128,108,243,0,55,1
서울,숭실대학교 정보과학대학원,9,9,1,0,172,76,190,5,65,3
서울,연세대학교 커뮤니케이션대학원,9,9,1,0,243,56,212,7,42,9
서울,중앙대학교 심리서비스대학원,9,9,1,0,306,71,199,0,47,0
서울,한국방송통신대학교 경영대학원,9,9,1,0,199,157,325,2,120,0
인천,가천대학교 일반대학원,9,9,1,0,194,148,292,30,90,0
인천,인천대학교 공학대학원,9,9,1,0,65,26,59,0,30,0
전남,국립순천대학교산업대학원,9,9,1,0,5,5,19,0,19,0
전북,원광대학교 교육대학원,9,9,1,0,61,27,100,0,54,4
충남,중부대학교원격대학원,9,9,1,0,431,353,894,0,286,0
충남,중부대학교일반대학원,9,9,1,0,105,74,124,70,20,0
충남,한국전통문화대학교,9,9,1,140,975,145,730,3,127,28
충남,한국폴리텍 IV 대학 충남캠퍼스,9,9,1,105,268,109,266,0,70,15
충북,가톨릭꽃동네대학교,9,9,1,108,636,113,557,2,92,25
충북,중원대학교 사회문화대학원,9,9,1,0,37,35,75,6,11,0
강원,가톨릭관동대학교 경영행정?창업대학원,8,8,1,0,36,29,91,9,33,0
강원,한국폴리텍 III 대학 춘천캠퍼스,8,8,1,125,210,102,305,0,98,24
경기,ICT폴리텍대학,8,8,1,160,476,154,463,2,107,19
경기,경기대학교 행정사회복지대학원,8,8,1,0,0,0,1,0,22,0
경기,경희대학교 체육대학원,8,8,1,0,141,57,123,2,64,7
경기,동국대학교,8,8,1,203,5731,222,1034,3,178,55
경기,루터대학교,8,8,1,85,293,85,386,0,76,16
경기,수원대학교 공학대학원,8,8,1,0,58,45,100,1,40,1
경기,온석대학원대학교,8,8,1,0,155,139,335,174,65,9
경기,을지대학교 보건복지대학원,8,8,1,0,34,21,47,0,15,0
경기,중앙승가대학교,8,8,1,120,15,15,68,0,23,17
경기,차의과학대학교 대학원,8,8,1,0,229,143,540,6,109,39
경남,경남과학기술대학교 산업복지대학원,8,8,1,0,0,0,5,0,12,0
경남,경남대학교 산업경영대학원,8,8,1,0,63,63,138,1,38,1
경남,경상국립대학교 산업복지대학원,8,8,1,0,26,23,40,0,12,0
경북,김천대학교 일반대학원,8,8,1,0,96,77,133,77,23,0
경북,대구가톨릭대학교 의료보건산업대학원,8,8,1,0,103,76,153,0,84,0
경북,동국대학교불교문화대학원,8,8,1,0,53,45,146,0,44,0
경북,위덕대학교 대학원,8,8,1,0,50,41,84,0,26,0
광주,남부대학교 문화복지대학원,8,8,1,0,63,56,105,44,33,2
대구,경북대학교 경영대학원,8,8,1,0,173,141,417,1,119,0
대구,경북대학교 사회정책대학원,8,8,1,0,76,52,165,0,0,0
대구,경북대학교 스마트농생명식품융합대학원,8,8,1,0,36,24,84,0,33,0
대구,경북대학교 정책정보대학원,8,8,1,0,0,0,0,0,51,0
대구,대구대학교 디자인?산업행정대학원,8,8,1,0,19,15,54,0,31,0
대전,목원대학교 산업정보언론대학원,8,8,1,0,11,11,31,0,19,0
대전,우송대학교 일반대학원,8,8,1,0,467,276,605,521,118,0
부산,고신대학교 대학원,8,8,1,0,93,56,181,5,64,0
부산,동명대학교 복지산업대학원,8,8,1,0,72,53,106,6,26,0
부산,영산대학교 일반대학원,8,8,1,0,41,32,74,16,19,0
서울,건국대학교정보통신대학원,8,8,1,0,88,46,196,0,64,0
서울,경희대학교관광대학원,8,8,1,0,136,83,240,5,67,0
서울,고려대학교 법무대학원,8,8,1,0,164,71,230,1,61,0
서울,고려대학교 보건대학원,8,8,1,0,149,60,164,0,49,0
서울,국민대학교스포츠산업대학원,8,8,1,0,116,113,183,135,55,5
서울,국민대학교정치대학원,8,8,1,0,54,42,133,0,53,2
서울,동국대학교 문화예술대학원,8,8,1,0,350,170,426,157,154,0
서울,동국대학교 행정대학원,8,8,1,0,106,82,201,1,85,0
서울,백석대학교 문화예술대학원,8,8,1,0,79,61,174,23,61,0
서울,백석대학교 상담대학원,8,8,1,0,246,148,506,8,137,0
서울,서강대학교 공공정책대학원,8,8,1,0,90,47,130,0,59,1
서울,서강대학교언론대학원,8,8,1,0,0,0,23,0,83,0
서울,성균관대학교 교육대학원,8,8,1,0,176,76,205,0,67,0
서울,성균관대학교 미디어문화융합대학원,8,8,1,0,157,76,223,8,49,0
서울,세종대학교 융합예술대학원,8,8,1,0,102,53,212,12,80,3
서울,수도국제대학원대학교,8,8,1,0,559,358,590,418,115,19
서울,숙명여자대학교 문화예술대학원,8,8,1,0,169,105,312,0,76,6
서울,숙명여자대학교 원격대학원,8,8,1,0,192,95,294,2,93,1
서울,순복음대학원대학교,8,8,1,0,64,40,134,3,33,8
서울,연세대학교 공학대학원,8,8,1,0,746,258,593,1,273,0
서울,연세대학교 국제학대학원,8,8,1,0,680,285,547,471,230,20
서울,중앙대학교 건설대학원,8,8,1,0,60,39,96,0,21,0
서울,홍익대학교 영상·커뮤니케이션대학원,8,8,1,0,183,123,365,0,67,7
세종,고려대학교 문화스포츠대학원,8,8,1,0,49,28,98,0,25,0
전남,세한대학교일반대학원,8,8,1,0,353,318,819,776,151,0
전북,전북대학교 산업기술대학원,8,8,1,0,34,24,79,0,9,0
제주,제주대학교경영대학원,8,8,1,0,59,48,166,3,33,0
제주,제주대학교행정대학원,8,8,1,0,22,18,49,0,8,0
충남,단국대학교 정책경영대학원,8,8,1,0,70,46,122,0,56,4
충남,중부대학교 휴먼텍대학원,8,8,1,0,225,158,277,199,77,0
충남,호서대학교 문화복지상담대학원,8,8,1,0,54,43,91,7,34,0
강원,강원대학교 경영대학원,7,7,1,0,33,32,108,1,30,0
경기,강남대학교교육대학원,7,7,1,0,126,88,164,0,93,2
경기,경기대학교 공학대학원,7,7,1,0,56,46,104,0,54,1
경기,대경대학교,7,7,1,160,385,107,346,2,104,10
경기,서울신학대학교대학원,7,7,1,0,57,45,152,2,35,0
경기,웅지세무대학교,7,7,1,599,82,82,669,0,227,29
경기,합동신학대학원대학교,7,7,1,0,101,99,301,10,86,18
경남,경남대학교행정대학원,7,7,1,0,80,71,159,1,65,0
경남,영산대학교 일반대학원,7,7,1,0,17,14,39,16,4,0
경남,인제대학교 산업융합대학원,7,7,1,0,47,43,78,0,26,1
경북,영남대학교 공학대학원,7,7,1,0,58,47,123,0,42,0
광주,광신대학교상담치료대학원,7,7,1,0,70,58,107,0,41,0
광주,남부대학교 교육대학원,7,7,1,0,162,58,171,0,53,4
광주,조선대학교 산업기술창업대학원,7,7,1,0,5,4,20,0,16,0
대구,경북대학교 행정대학원,7,7,1,0,69,59,153,0,37,0
대구,계명대학교 정책대학원,7,7,1,0,22,14,73,0,26,1
대전,건신대학원대학교,7,7,1,0,92,86,204,2,44,13
부산,경성대학교 교육대학원,7,7,1,0,36,20,73,3,33,0
서울,가톨릭대학교 일반대학원,7,7,1,0,413,314,796,21,229,0
서울,건국대학교언론홍보대학원,7,7,1,0,39,31,108,0,30,0
서울,국민대학교경영대학원,7,7,1,0,322,193,376,148,194,3
서울,국민대학교법무대학원,7,7,1,0,35,25,99,0,34,0
서울,국민대학교행정대학원,7,7,1,0,64,44,95,2,44,2
서울,명지대학교 경영대학원,7,7,1,0,92,70,100,49,29,0
서울,명지대학교 문화예술대학원,7,7,1,0,82,56,157,3,46,1
서울,베뢰아국제대학원대학교,7,7,1,0,15,15,49,0,13,4
서울,서울과학기술대학교 철도전문대학원,7,7,1,0,69,53,133,1,103,5
서울,서울대학교 융합과학기술대학원,7,7,1,0,236,140,281,6,107,29
서울,서울시립대학교 과학기술대학원,7,7,1,0,175,62,191,0,57,0
서울,서울시립대학교 교육대학원,7,7,1,0,87,54,144,0,46,5
서울,서울여자대학교 휴먼서비스대학원,7,7,1,0,25,14,36,0,10,0
서울,세종대학교 공공정책대학원,7,7,1,0,63,56,137,12,41,2
서울,세종대학교교육대학원,7,7,1,0,144,79,152,1,67,4
서울,숭실대학교 교육대학원,7,7,1,0,178,91,198,0,110,3
서울,연세대학교 경영전문대학원,7,7,1,0,882,395,682,34,287,0
서울,연세대학교 정보대학원,7,7,1,0,319,162,384,3,146,13
서울,한성대학교 국방과학대학원,7,7,1,0,91,72,146,0,59,0
서울,한양대학교국제학대학원,7,7,1,0,174,82,192,137,86,8
서울,홍익대학교 건축도시대학원,7,7,1,0,147,65,264,4,80,5
서울,횃불트리니티신학대학원대학교,7,7,1,0,206,160,406,66,139,20
세종,고려대학교 세종캠퍼스 경영정보대학원,7,7,1,0,0,0,3,0,15,0
세종,고려대학교 세종캠퍼스 창업경영대학원,7,7,1,0,49,40,85,0,37,0
인천,연세대학교 일반대학원,7,7,1,0,255,108,306,28,98,0
인천,인하대학교정책대학원,7,7,1,0,132,101,217,0,89,0
전남,초당대학교 일반대학원,7,7,1,0,32,32,93,40,16,0
전북,전북대학교 법무대학원,7,7,1,0,10,7,22,0,5,0
전북,전주대학교 문화산업대학원,7,7,1,0,32,30,70,0,23,0
충남,국립공주대학교특수교육대학원,7,7,1,0,234,70,224,0,50,2
충남,국제뇌교육종합대학원대학교,7,7,1,0,158,111,265,0,73,12
충남,나사렛대학교 미래재활복지대학원,7,7,1,0,69,35,70,14,0,0
충남,나사렛대학교신학대학원,7,7,1,0,15,13,144,6,9,2
충남,순천향대학교 건강과학대학원,7,7,1,0,47,34,87,0,25,1
충남,한국폴리텍대학바이오캠퍼스,7,7,1,160,360,178,407,0,190,34
충북,건국대학교 창의융합대학원,7,7,1,0,48,39,94,0,9,0
충북,청주대학교 보건의료대학원,7,7,1,0,46,37,68,0,27,0
충북,청주대학교 사회복지·공공정책대학원,7,7,1,0,46,36,63,0,24,0
강원,상지대학교교육대학원,6,6,1,0,54,10,29,0,4,0
강원,연세대학교 보건환경대학원,6,6,1,0,0,0,13,0,43,0
강원,한국골프대학교,6,6,1,192,332,190,641,1,139,15
강원,한국폴리텍 III 대학 원주캠퍼스,6,6,1,50,52,34,137,1,48,9
경기,국립한국교통대학교 대학원,6,6,1,0,21,19,43,3,13,0
경기,대한신학대학원대학교,6,6,1,0,150,117,271,78,69,11
경기,아주대학교국제대학원,6,6,1,0,401,121,245,245,115,0
경기,안양대학교 글로벌대학원,6,6,1,0,53,43,94,39,89,3
경기,안양대학교교육대학원,6,6,1,0,75,51,135,2,54,3
경기,용인대학교 문화예술대학원,6,6,1,0,26,19,52,0,10,1
경기,중부대학교 교육대학원,6,6,1,0,103,50,123,0,69,2
경기,중앙대학교 창업경영대학원,6,6,1,0,55,41,90,0,41,0
경기,차의과학대학교 통합의학대학원,6,6,1,0,82,66,157,0,57,0
경기,칼빈대학교대학원,6,6,1,0,338,200,748,567,161,7
