column,rank,value,row_count,row_pct
연도,1,2024,35431,100.0
학제,1,대학교,14823,41.83624509610228
학제,2,일반대학원,6980,19.700262482007282
학제,3,전문대학,6545,18.472524060850667
학제,4,특수대학원,4827,13.623662894075808
학제,5,전문대학원,867,2.4470096807880104
학제,6,사이버대학(대학),497,1.4027264260111203
학제,7,기능대학,347,0.9793683497502188
학제,8,산업대학,168,0.4741610454122096
학제,9,교육대학,153,0.43182523778611953
학제,10,전공대학,69,0.19474471508001467
학제,11,사이버대학(전문),39,0.11007309982783438
학제,12,방송통신대학교,36,0.10160593830261634
학제,13,각종대학(대학),36,0.10160593830261634
학제,14,원격대학(전문),19,0.05362535632638085
학제,15,원격대학(대학),12,0.03386864610087212
학제,16,기술대학,5,0.014111935875363383
학제,17,사내대학(전문),4,0.011289548700290706
학제,18,사내대학(대학),4,0.011289548700290706
대학원구분,1,결측,22757,64.2290649431289
대학원구분,2,부설대학원,12380,34.94115322739974
대학원구분,3,대학원대학,294,0.8297818294713668
학교상태,1,기존,34109,96.26880415455392
학교상태,2,학교명변경,837,2.3623380655358304
학교상태,3,폐교,459,1.2954757133583583
학교상태,4,신설,26,0.07338206655188959
본분교,1,본교(제1캠퍼스),31566,89.0914735683441
본분교,2,본교(제2캠퍼스),2833,7.995822866980892
본분교,3,분교(제1캠퍼스),725,2.0462307019276906
본분교,4,본교(제3캠퍼스),280,0.7902684090203494
본분교,5,본교(제4캠퍼스),27,0.07620445372696227
시도,1,서울,7141,20.154666817193984
시도,2,경기,5710,16.11583076966498
시도,3,부산,3185,8.989303152606475
시도,4,경북,2686,7.580931952245209
시도,5,충남,2284,6.446332307865993
시도,6,강원,1913,5.39922666591403
시도,7,대전,1757,4.958934266602692
시도,8,충북,1755,4.953289492252547
시도,9,전북,1700,4.79805819762355
시도,10,경남,1606,4.5327538031667185
시도,11,광주,1300,3.6691033275944793
시도,12,대구,1287,3.632412294318535
시도,13,전남,1102,3.1102706669300892
시도,14,인천,914,2.5796618780164264
시도,15,제주,450,1.2700742287827045
시도,16,울산,347,0.9793683497502188
시도,17,세종,294,0.8297818294713668
설립,1,사립,27085,76.44435663684345
설립,2,국립,7124,20.106686235217747
설립,3,국립대법인,512,1.4450622336372103
설립,4,공립,317,0.8946967344980384
설립,5,특별법법인,200,0.5644774350145353
설립,6,특별법국립,105,0.296350653382631
설립,7,기타,88,0.24837007140639553
주야구분,1,주간,15924,44.9436933758573
주야구분,2,주야간,14200,40.077897886032005
주야구분,3,야간,3990,11.261324828539978
주야구분,4,원격,638,1.8006830176963675
주야구분,5,야간+계절제,245,0.6914848578928058
주야구분,6,계절제,156,0.4402923993113375
주야구분,7,주야간+원격,126,0.35562078405915726
주야구분,8,주야간+계절제,69,0.19474471508001467
주야구분,9,주간+계절제,46,0.12982981005334313
주야구분,10,주간+원격,19,0.05362535632638085
주야구분,11,야간+원격,18,0.05080296915130817
학위과정,1,대학과정,15734,44.40743981259349
학위과정,2,대학원과정,12674,35.7709350568711
학위과정,3,전문대학과정,7023,19.821625130535406
대계열,1,공학계열,8736,24.656374361434903
대계열,2,사회계열,7974,22.50571533402952
대계열,3,예체능계열,4734,13.361180886794049
대계열,4,자연계열,4255,12.009257429934237
대계열,5,인문계열,3951,11.151251728712145
대계열,6,교육계열,2980,8.410713781716577
대계열,7,의약계열,2339,6.60156360249499
대계열,8,결측,462,1.3039428748835764
중계열,1,경영ㆍ경제,4083,11.52380683582174
중계열,2,사회과학,3538,9.985605825407129
중계열,3,인문과학,2324,6.5592277948689
중계열,4,컴퓨터ㆍ통신,2233,6.302390561937286
중계열,5,생물ㆍ화학ㆍ환경,1866,5.266574468685614
중계열,6,언어ㆍ문학,1627,4.592023933843245
중계열,7,치료ㆍ보건,1484,4.188422567807852
중계열,8,중등교육,1382,3.900539075950439
중계열,9,생활과학,1243,3.5082272586153365
중계열,10,디자인,1226,3.4602466766391013
중계열,11,응용예술,1189,3.3558183511614126
중계열,12,기계ㆍ금속,1098,3.0989811182297986
중계열,13,무용ㆍ체육,1052,2.9691513081764556
중계열,14,기타,911,2.5711947164912083
중계열,15,전기ㆍ전자,898,2.5345036832152634
중계열,16,건축,794,2.240975417007705
중계열,17,음악,687,1.9389799892749287
중계열,18,교육일반,631,1.7809263074708588
중계열,19,소재ㆍ재료,613,1.7301233383195507
중계열,20,토목ㆍ도시,570,1.6087606897914255
중계열,21,교통ㆍ운송,553,1.5607801078151902
중계열,22,유아교육,468,1.3208771979340126
중계열,23,결측,462,1.3039428748835764
중계열,24,농림ㆍ수산,448,1.264429454432559
중계열,25,수학ㆍ물리ㆍ천문ㆍ지리,429,1.2108040981061783
중계열,26,정밀ㆍ에너지,411,1.16000112895487
중계열,27,법률,353,0.9963026728006548
중계열,28,간호,353,0.9963026728006548
중계열,29,산업,337,0.951144477999492
중계열,30,의료,336,0.9483220908244192
소계열,1,경영학,1876,5.294798340436341
소계열,2,체육,954,2.6925573650193333
소계열,3,가족ㆍ사회ㆍ복지학,927,2.616352911292371
소계열,4,행정학,806,2.2748440631085773
소계열,5,생명과학,762,2.1506590274053794
소계열,6,전산학ㆍ컴퓨터공학,688,1.9418023764500014
소계열,7,교육학,628,1.772459145945641
소계열,8,정보ㆍ통신공학,590,1.665208433292879
소계열,9,기타디자인,578,1.6313397871920072
소계열,10,식품영양학,570,1.6087606897914255
소계열,11,응용공학,514,1.4507070079873559
소계열,12,기계공학,485,1.3688577799102482
소계열,13,영상ㆍ예술,485,1.3688577799102482
소계열,14,결측,462,1.3039428748835764
소계열,15,식품·조리,438,1.2362055826818323
소계열,16,가족ㆍ사회ㆍ복지,438,1.2362055826818323
소계열,17,교양인문학,426,1.2023369365809602
소계열,18,언어교육,420,1.185402613530524
소계열,19,응용소프트웨어공학,417,1.1769354520053061
소계열,20,종교학,416,1.1741130648302334
소계열,21,자연계교육,413,1.1656459033050153
소계열,22,심리학,403,1.1374220315542887
소계열,23,경영ㆍ경제,395,1.1148429341537072
소계열,24,무역ㆍ유통학,391,1.1035533854534165
소계열,25,전자공학,381,1.0753295137026897
소계열,26,재활학,369,1.0414608676018176
소계열,27,국어ㆍ국문학,364,1.0273489317264544
소계열,28,토목공학,348,0.9821907369252915
소계열,29,법학,344,0.9709011882250007
소계열,30,산업공학,337,0.951144477999492
