column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_n,missing_pct,zero_n,negative_n,skew
학과수_전체,35431.0,1.031,0.606,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,8.0,0,0.0,5590,0,0.385
학과수_석사,35431.0,0.296,0.467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0,0.0,25104,0,1.034
학과수_박사,35431.0,0.151,0.359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0,0.0,30074,0,1.965
입학정원_학부_계,35431.0,16.116,85.263,0.0,0.0,0.0,0.0,0.0,18.0,70.0,151.0,4500.0,0,0.0,25694,0,30.549
정원내_입학정원_학부,35431.0,15.522,85.086,0.0,0.0,0.0,0.0,0.0,10.0,70.0,150.0,4500.0,0,0.0,26349,0,30.752
정원외_입학정원_학부,35431.0,0.593,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,209.0,0,0.0,34481,0,12.586
모집인원_학부_계,35431.0,20.607,155.624,0.0,0.0,0.0,0.0,0.0,22.0,80.0,181.0,11951.0,0,0.0,24970,0,42.937
정원내_모집인원_학부,35431.0,15.52,84.577,0.0,0.0,0.0,0.0,0.0,15.0,68.0,142.0,4500.0,0,0.0,26073,0,31.245
정원외_모집정원_학부,35431.0,5.087,92.459,0.0,0.0,0.0,0.0,0.0,0.0,20.0,62.0,8681.0,0,0.0,27228,0,60.629
지원자_전체_계,35431.0,121.734,377.455,0.0,0.0,0.0,0.0,5.0,79.0,603.0,1557.0,14788.0,0,0.0,14785,0,10.147
지원자_전체_남,35431.0,57.707,199.883,0.0,0.0,0.0,0.0,1.0,28.5,291.0,804.0,10042.0,0,0.0,16634,0,12.543
지원자_전체_여,35431.0,64.027,217.068,0.0,0.0,0.0,0.0,2.0,33.0,323.0,899.7,9213.0,0,0.0,16089,0,10.811
