column,category,count,share,category_n,poisson_equal_share_lambda,poisson_5pct_count_cutoff,poisson_lower_tail_p,low_frequency_flag,interpretation
시군구,부산 기장군,1,6.358491765753163e-05,142,110.75352112676056,94,8.884196159899329e-47,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,인천 강화군,2,0.00012716983531506327,142,110.75352112676056,94,4.964598506907327e-45,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 과천시,2,0.00012716983531506327,142,110.75352112676056,94,4.964598506907327e-45,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,화공,180,0.011445285178355694,36,436.8611111111111,403,2.89697810130643e-44,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,부산 서구,3,0.0001907547529725949,142,110.75352112676056,94,1.8496700035682345e-43,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 은평구,3,0.0001907547529725949,142,110.75352112676056,94,1.8496700035682345e-43,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 강동구,3,0.0001907547529725949,142,110.75352112676056,94,1.8496700035682345e-43,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 금천구,3,0.0001907547529725949,142,110.75352112676056,94,1.8496700035682345e-43,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 강남구,3,0.0001907547529725949,142,110.75352112676056,94,1.8496700035682345e-43,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,법률,184,0.011699624848985821,36,436.8611111111111,403,9.661682430479426e-43,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 남양주시,4,0.00025433967063012654,142,110.75352112676056,94,5.168941954394879e-42,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 양평군,4,0.00025433967063012654,142,110.75352112676056,94,5.168941954394879e-42,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충남 당진시,4,0.00025433967063012654,142,110.75352112676056,94,5.168941954394879e-42,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 가평군,4,0.00025433967063012654,142,110.75352112676056,94,5.168941954394879e-42,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,미술ㆍ조형,189,0.012017549437273478,36,436.8611111111111,403,6.858248674400796e-41,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,강원 횡성군,5,0.00031792458828765814,142,110.75352112676056,94,1.1556749702785598e-40,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,교육일반,190,0.01208113435493101,36,436.8611111111111,403,1.5832197655601453e-40,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충북 진천군,6,0.0003815095059451898,142,110.75352112676056,94,2.153405613976558e-39,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충북 증평군,7,0.0004450944236027214,142,110.75352112676056,94,3.439594089089093e-38,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 영등포구,7,0.0004450944236027214,142,110.75352112676056,94,3.439594089089093e-38,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,전남 영암군,8,0.0005086793412602531,142,110.75352112676056,94,4.807677298873875e-37,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 파주시,8,0.0005086793412602531,142,110.75352112676056,94,4.807677298873875e-37,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충남 홍성군,8,0.0005086793412602531,142,110.75352112676056,94,4.807677298873875e-37,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,건설,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,금속,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,사회ㆍ자연교육,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,일본어,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,중국어,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,영어,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,의류·의상,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,재료,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,건축ㆍ설비,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,섬유,1,6.358491765753163e-05,180,87.37222222222222,72,1.0024016970364183e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,대구 동구,9,0.0005722642589177847,142,110.75352112676056,94,5.973795214666769e-36,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,해양,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,유럽ㆍ기타어,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,환경,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
