column,semantic_type,zero_n,zero_pct,all_zero_column,risk_level,cleaning_action
정원외_입학정원_학부,competitive_admission_count,34481,97.31873218368095,False,ok,그대로 사용
정원외_입학자_박사_여,competitive_admission_count,34180,96.46919364398408,False,ok,그대로 사용
정원외_입학자_박사_남,competitive_admission_count,34144,96.36758770568147,False,ok,그대로 사용
외국인유학생_박사_남,foreign_student_count,33589,94.80116282351612,False,ok,그대로 사용
정원외_입학자_박사_계,competitive_admission_count,33584,94.78705088764076,False,ok,그대로 사용
휴학생_박사_여,student_stock_count,33568,94.7418926928396,False,ok,그대로 사용
정원외_입학자_석사_남,competitive_admission_count,33544,94.67415540063786,False,ok,그대로 사용
외국인유학생_박사_여,foreign_student_count,33510,94.57819423668539,False,ok,그대로 사용
휴학생_박사_남,student_stock_count,33389,94.2366853885016,False,ok,그대로 사용
유예생_전체_남,student_stock_count,33295,93.97138099404476,False,ok,그대로 사용
정원외_입학자_석사_여,competitive_admission_count,33249,93.84155118399143,False,ok,그대로 사용
외국인유학생_석사_남,foreign_student_count,33087,93.38432446162965,False,ok,그대로 사용
졸업자_박사_여,graduate_outcome_count,32956,93.01459174169513,False,ok,그대로 사용
외국인유학생_박사_계,foreign_student_count,32878,92.79444554203945,False,ok,그대로 사용
유예생_전체_여,student_stock_count,32672,92.21303378397448,False,ok,그대로 사용
정원외_입학자_석사_계,competitive_admission_count,32590,91.98159803561853,False,ok,그대로 사용
졸업자_박사_남,graduate_outcome_count,32546,91.85741299991534,False,ok,그대로 사용
외국인유학생_석사_여,foreign_student_count,32529,91.80943241793909,False,ok,그대로 사용
휴학생_박사_계,student_stock_count,32506,91.74451751291242,False,ok,그대로 사용
정원내_입학자_박사_여,competitive_admission_count,32472,91.64855634895996,False,ok,그대로 사용
정원내_입학자_박사_남,competitive_admission_count,32367,91.35220569557731,False,ok,그대로 사용
입학자_박사_여,competitive_admission_count,31995,90.30227766645028,False,ok,그대로 사용
입학자_박사_남,competitive_admission_count,31900,90.03415088481837,False,ok,그대로 사용
유예생_전체_계,student_stock_count,31882,89.98334791566707,False,ok,그대로 사용
외국인유학생_석사_계,foreign_student_count,31828,89.83093900821315,False,ok,그대로 사용
지원자_박사_여,competitive_admission_count,31639,89.29750783212441,False,ok,그대로 사용
졸업자_박사_계,graduate_outcome_count,31631,89.27492873472383,False,ok,그대로 사용
지원자_박사_남,competitive_admission_count,31490,88.87697214303859,False,ok,그대로 사용
정원내_입학자_박사_계,competitive_admission_count,31414,88.66247071773306,False,ok,그대로 사용
외국인유학생_학사_남,foreign_student_count,31295,88.32660664389941,False,ok,그대로 사용
휴학생_석사_남,student_stock_count,31203,88.06694702379272,False,ok,그대로 사용
재학생_박사_여,student_stock_count,31120,87.83268888826169,False,ok,그대로 사용
휴학생_석사_여,student_stock_count,31086,87.73672772430922,False,ok,그대로 사용
재학생_박사_남,student_stock_count,30970,87.40933081200079,False,ok,그대로 사용
재적생_박사_여,student_stock_count,30954,87.36417261719963,False,ok,그대로 사용
외국인유학생_학사_여,foreign_student_count,30952,87.35852784284948,False,ok,그대로 사용
입학자_박사_계,competitive_admission_count,30945,87.33877113262398,False,ok,그대로 사용
재적생_박사_남,student_stock_count,30790,86.9013011204877,False,ok,그대로 사용
지원자_박사_계,competitive_admission_count,30626,86.43842962377579,False,ok,그대로 사용
재학생_박사_계,student_stock_count,30235,85.33487623832238,False,ok,그대로 사용
학과수_박사,department_count,30074,84.88047190313567,False,ok,그대로 사용
재적생_박사_계,student_stock_count,30074,84.88047190313567,False,ok,그대로 사용
외국인유학생_학사_계,foreign_student_count,29625,83.61322006152804,False,ok,그대로 사용
휴학생_석사_계,student_stock_count,29359,82.86246507295871,False,ok,그대로 사용
정원내_입학자_석사_남,competitive_admission_count,28936,81.66859529790297,False,ok,그대로 사용
졸업자_석사_남,graduate_outcome_count,28646,80.85010301713189,False,ok,그대로 사용
정원내_입학자_석사_여,competitive_admission_count,28594,80.70333888402811,False,ok,그대로 사용
입학자_석사_남,competitive_admission_count,28166,79.495357173097,False,ok,그대로 사용
졸업자_석사_여,graduate_outcome_count,28148,79.4445542039457,False,ok,그대로 사용
외국인유학생_총계_남,foreign_student_count,28115,79.3514154271683,False,ok,그대로 사용
입학자_석사_여,competitive_admission_count,27763,78.35793514154271,False,ok,그대로 사용
전임교원_여,faculty_count,27489,77.5846010555728,False,ok,그대로 사용
지원자_석사_남,competitive_admission_count,27405,77.3475205328667,False,ok,그대로 사용
외국인유학생_총계_여,foreign_student_count,27315,77.09350568711015,False,ok,그대로 사용
정원내_입학자_석사_계,competitive_admission_count,27234,76.86489232592926,False,ok,그대로 사용
정원외_모집정원_학부,numeric_measure,27228,76.84795800287884,False,ok,그대로 사용
지원자_석사_여,competitive_admission_count,27159,76.65321328779882,False,ok,그대로 사용
재학생_석사_남,student_stock_count,26786,75.60046287149672,False,ok,그대로 사용
정원외_입학자_전체_남,competitive_admission_count,26575,75.00493917755637,False,ok,그대로 사용
졸업자_석사_계,graduate_outcome_count,26528,74.87228698032796,False,ok,그대로 사용
입학자_석사_계,competitive_admission_count,26476,74.72552284722418,False,ok,그대로 사용
재학생_석사_여,student_stock_count,26466,74.69729897547346,False,ok,그대로 사용
재적생_석사_남,student_stock_count,26445,74.63802884479693,False,ok,그대로 사용
정원내_입학정원_학부,competitive_admission_count,26349,74.36707967598996,False,ok,그대로 사용
정원외_입학자_전체_여,competitive_admission_count,26256,74.1045976687082,False,ok,그대로 사용
재적생_석사_여,student_stock_count,26175,73.8759843075273,False,ok,그대로 사용
정원내_입학자_학부_남,competitive_admission_count,26157,73.825181338376,False,ok,그대로 사용
정원내_모집인원_학부,competitive_admission_count,26073,73.5881008156699,False,ok,그대로 사용
지원자_석사_계,competitive_admission_count,25991,73.35666506731393,False,ok,그대로 사용
정원내_입학자_학부_여,competitive_admission_count,25788,72.78372047077418,False,ok,그대로 사용
입학정원_학부_계,competitive_admission_count,25694,72.51841607631735,False,ok,그대로 사용
정원내_입학자_학부_계,competitive_admission_count,25592,72.23053258445994,False,ok,그대로 사용
재학생_석사_계,student_stock_count,25398,71.68298947249583,False,ok,그대로 사용
외국인유학생_총계_계,foreign_student_count,25167,71.03101803505405,False,ok,그대로 사용
학과수_석사,department_count,25104,70.85320764302448,False,ok,그대로 사용
재적생_석사_계,student_stock_count,25104,70.85320764302448,False,ok,그대로 사용
모집인원_학부_계,competitive_admission_count,24970,70.47500776156474,False,ok,그대로 사용
전임교원_남,faculty_count,24446,68.99607688182665,False,ok,그대로 사용
비전임교원_여,faculty_count,23993,67.71753549151872,False,ok,그대로 사용
정원외_입학자_전체_계,competitive_admission_count,23817,67.22079534870593,False,ok,그대로 사용
전임교원_계,faculty_count,22921,64.69193643984082,False,ok,그대로 사용
비전임교원_남,faculty_count,21745,61.37280912195535,False,ok,그대로 사용
비전임교원_계,faculty_count,19677,55.53611244390505,False,ok,그대로 사용
정원내_입학자_전체_남,competitive_admission_count,18823,53.12579379639298,False,ok,그대로 사용
정원내_입학자_전체_여,competitive_admission_count,18205,51.38155852219808,False,ok,그대로 사용
휴학생_전체_여,student_stock_count,17505,49.4058874996472,False,ok,그대로 사용
입학자_전체_남,competitive_admission_count,17166,48.44909824729756,False,ok,그대로 사용
지원자_전체_남,competitive_admission_count,16634,46.9475882701589,False,ok,그대로 사용
정원내_입학자_전체_계,competitive_admission_count,16602,46.857271880556574,False,ok,그대로 사용
입학자_전체_여,competitive_admission_count,16442,46.405689932544945,False,ok,그대로 사용
지원자_전체_여,competitive_admission_count,16089,45.40938725974429,False,ok,그대로 사용
졸업자_전체_여,graduate_outcome_count,15363,43.36033417064153,False,ok,그대로 사용
졸업자_남,graduate_outcome_count,15255,43.05551635573368,False,ok,그대로 사용
입학자_전체_계,competitive_admission_count,14914,42.0930823290339,False,ok,그대로 사용
휴학생_전체_남,student_stock_count,14897,42.045101747057664,False,ok,그대로 사용
지원자_전체_계,competitive_admission_count,14785,41.72899438344952,False,ok,그대로 사용
졸업자_전체,graduate_outcome_count,12025,33.93920578024893,False,ok,그대로 사용
휴학생_전체_계,student_stock_count,11719,33.0755553046767,False,ok,그대로 사용
재학생_전체_여,student_stock_count,10144,28.63029550393723,False,ok,그대로 사용
재학생_전체_남,student_stock_count,10056,28.381925432530835,False,ok,그대로 사용
재적생_전체_여,student_stock_count,8801,24.839829527814626,False,ok,그대로 사용
재적생_전체_남,student_stock_count,7916,22.342016877875306,False,ok,그대로 사용
재학생_전체_계,student_stock_count,7731,21.819875250486863,False,ok,그대로 사용
학과수_전체,department_count,5590,15.77714430865626,False,ok,그대로 사용
재적생_전체_계,student_stock_count,5590,15.77714430865626,False,ok,그대로 사용
