학위과정,학제,rows,taxonomy_any_null,structural_placeholder_null,taxonomy_true_missing
대학과정,대학교,14823,181,181,0
전문대학과정,전문대학,6545,119,119,0
대학원과정,특수대학원,4827,52,52,0
전문대학과정,기능대학,347,30,30,0
대학원과정,전문대학원,867,27,27,0
대학원과정,일반대학원,6980,20,20,0
대학과정,사이버대학(대학),497,17,17,0
대학과정,각종대학(대학),36,3,3,0
대학과정,교육대학,153,3,3,0
대학과정,산업대학,168,3,3,0
전문대학과정,사이버대학(전문),39,2,2,0
전문대학과정,전공대학,69,2,2,0
대학과정,원격대학(대학),12,1,1,0
전문대학과정,사내대학(전문),4,1,1,0
전문대학과정,원격대학(전문),19,1,1,0
대학과정,기술대학,5,0,0,0
대학과정,방송통신대학교,36,0,0,0
대학과정,사내대학(대학),4,0,0,0
