column,placeholder_total,nonzero_rows,semantic_type,handling_note
비전임교원_계,8234,328,faculty_count,"학과별 분포/평균에서는 제외, 총합에서는 소속학과없음 교원 항목으로 별도 집계"
비전임교원_남,4752,300,faculty_count,"학과별 분포/평균에서는 제외, 총합에서는 소속학과없음 교원 항목으로 별도 집계"
비전임교원_여,3482,254,faculty_count,"학과별 분포/평균에서는 제외, 총합에서는 소속학과없음 교원 항목으로 별도 집계"
전임교원_계,459,323,faculty_count,"학과별 분포/평균에서는 제외, 총합에서는 소속학과없음 교원 항목으로 별도 집계"
전임교원_남,384,290,faculty_count,"학과별 분포/평균에서는 제외, 총합에서는 소속학과없음 교원 항목으로 별도 집계"
전임교원_여,75,53,faculty_count,"학과별 분포/평균에서는 제외, 총합에서는 소속학과없음 교원 항목으로 별도 집계"
