model_id,rank,encoded_feature,vif,corr_matrix_rank_deficient
P2_S,29,fulltime_faculty_share_pct,1.1087295980007594,False
P2_S,30,international_student_share_pct,1.1041637681230705,False
P2_Q,1,region_sido_서울,5.703183660760452,False
P2_Q,2,major_group_7_ENG,4.615846568503013,False
P2_Q,3,school_type_대학교,4.026626880682903,False
P2_Q,4,school_type_산업대학,3.727640600724448,False
P2_Q,5,region_sido_경기,3.3895125325043525,False
P2_Q,6,major_group_7_SOC,3.208782850872885,False
P2_Q,7,major_group_7_NAT,3.0307519023053593,False
P2_Q,8,region_sido_부산,2.9180476561715616,False
P2_Q,9,region_sido_전북,2.7647806617268045,False
P2_Q,10,region_sido_충남,2.7590460413559788,False
P2_Q,11,region_sido_충북,2.640619664497838,False
P2_Q,12,major_group_7_EDU,2.5918205932367586,False
P2_Q,13,region_sido_경북,2.47314289442963,False
P2_Q,14,major_group_7_HUM,2.422956077969823,False
P2_Q,15,major_group_7_MED,2.2796818646857524,False
P2_Q,16,region_sido_대전,2.2205113921900708,False
P2_Q,17,region_sido_경남,2.114921931197355,False
P2_Q,18,region_sido_광주,2.1024105198161482,False
P2_Q,19,region_sido_인천,2.079689034450868,False
P2_Q,20,admit_per_applicant_ratio,2.0434057000699988,False
P2_Q,21,female_student_share_pct,2.040659645777226,False
P2_Q,22,competition_ratio,1.99631191977969,False
P2_Q,23,credit_forfeit_flag,1.7239327038532892,False
P2_Q,24,leave_rate_pct,1.514923211692247,False
P2_Q,25,region_sido_대구,1.3953415014750932,False
P2_Q,26,fulltime_faculty_share_pct,1.229795467607515,False
P2_Q,27,campus_branch_분교,1.2178159383338591,False
P2_Q,28,region_sido_전남,1.164842832081901,False
P2_Q,29,student_faculty_ratio,1.1546294237574142,False
P2_Q,30,international_student_share_pct,1.144007316860825,False
P3_S,1,school_type_대학교,140.07954361177644,False
P3_S,2,school_type_교육대학,87.5026078442781,False
P3_S,3,school_type_산업대학,30.147692285471443,False
P3_S,4,school_type_방송통신대학교,27.825594404797474,False
P3_S,5,region_sido_서울,4.267822841737462,False
P3_S,6,major_group_7_ENG,2.8524465965312062,False
P3_S,7,region_sido_경기,2.811618216648075,False
P3_S,8,region_sido_부산,2.738204462737052,False
P3_S,9,region_sido_경북,2.369685288529435,False
P3_S,10,region_sido_충남,2.2670847312675977,False
P3_S,11,region_sido_충북,2.168196646422603,False
P3_S,12,major_group_7_SOC,2.112690666966907,False
P3_S,13,region_sido_전북,1.9956373667967982,False
P3_S,14,female_student_share_pct,1.959067102585797,False
P3_S,15,region_sido_경남,1.8352623635130554,False
P3_S,16,major_group_7_NAT,1.8054469513111475,False
P3_S,17,major_group_7_EDU,1.7832949024149864,False
P3_S,18,student_faculty_ratio,1.774167287828315,False
P3_S,19,region_sido_광주,1.7477829054186045,False
P3_S,20,region_sido_대전,1.7406100286478903,False
P3_S,21,major_group_7_HUM,1.717392135616382,False
P3_S,22,region_sido_인천,1.5123744923575966,False
P3_S,23,credit_forfeit_flag,1.5008118762480462,False
P3_S,24,major_group_7_MED,1.4650578581240838,False
P3_S,25,region_sido_전남,1.4621249366253324,False
P3_S,26,leave_rate_pct,1.4505169587788795,False
P3_S,27,region_sido_대구,1.1728497159805784,False
P3_S,28,campus_branch_분교,1.1193808350462922,False
P3_S,29,fulltime_faculty_share_pct,1.1087295980007594,False
P3_S,30,international_student_share_pct,1.1041637681230705,False
P3_Q,1,region_sido_서울,5.703183660760452,False
P3_Q,2,major_group_7_ENG,4.615846568503013,False
P3_Q,3,school_type_대학교,4.026626880682903,False
P3_Q,4,school_type_산업대학,3.727640600724448,False
P3_Q,5,region_sido_경기,3.3895125325043525,False
P3_Q,6,major_group_7_SOC,3.208782850872885,False
P3_Q,7,major_group_7_NAT,3.0307519023053593,False
P3_Q,8,region_sido_부산,2.9180476561715616,False
P3_Q,9,region_sido_전북,2.7647806617268045,False
P3_Q,10,region_sido_충남,2.7590460413559788,False
P3_Q,11,region_sido_충북,2.640619664497838,False
P3_Q,12,major_group_7_EDU,2.5918205932367586,False
P3_Q,13,region_sido_경북,2.47314289442963,False
P3_Q,14,major_group_7_HUM,2.422956077969823,False
P3_Q,15,major_group_7_MED,2.2796818646857524,False
P3_Q,16,region_sido_대전,2.2205113921900708,False
P3_Q,17,region_sido_경남,2.114921931197355,False
P3_Q,18,region_sido_광주,2.1024105198161482,False
P3_Q,19,region_sido_인천,2.079689034450868,False
P3_Q,20,admit_per_applicant_ratio,2.0434057000699988,False
P3_Q,21,female_student_share_pct,2.040659645777226,False
P3_Q,22,competition_ratio,1.99631191977969,False
P3_Q,23,credit_forfeit_flag,1.7239327038532892,False
P3_Q,24,leave_rate_pct,1.514923211692247,False
P3_Q,25,region_sido_대구,1.3953415014750932,False
P3_Q,26,fulltime_faculty_share_pct,1.229795467607515,False
P3_Q,27,campus_branch_분교,1.2178159383338591,False
P3_Q,28,region_sido_전남,1.164842832081901,False
P3_Q,29,student_faculty_ratio,1.1546294237574142,False
P3_Q,30,international_student_share_pct,1.144007316860825,False
P4_E_STRUCTURE_A_RATE,1,region_sido_서울,4.965210406921778,False
P4_E_STRUCTURE_A_RATE,2,region_sido_경기,2.9556544342821325,False
P4_E_STRUCTURE_A_RATE,3,region_sido_부산,2.8870304159035602,False
P4_E_STRUCTURE_A_RATE,4,major_group_7_ENG,2.850864707664252,False
P4_E_STRUCTURE_A_RATE,5,region_sido_충남,2.5922591908729173,False
P4_E_STRUCTURE_A_RATE,6,region_sido_경북,2.4723792368462036,False
P4_E_STRUCTURE_A_RATE,7,school_type_방송통신대학교,2.3237224159460292,False
P4_E_STRUCTURE_A_RATE,8,region_sido_충북,2.319045752158929,False
P4_E_STRUCTURE_A_RATE,9,region_sido_전북,2.204218374304462,False
P4_E_STRUCTURE_A_RATE,10,major_group_7_SOC,2.1719169218087826,False
P4_E_STRUCTURE_A_RATE,11,school_type_대학교,2.1094236655448646,False
P4_E_STRUCTURE_A_RATE,12,female_student_share_pct,2.082299411026444,False
P4_E_STRUCTURE_A_RATE,13,major_group_7_EDU,2.0733179659533634,False
P4_E_STRUCTURE_A_RATE,14,region_sido_광주,1.9813487213115843,False
P4_E_STRUCTURE_A_RATE,15,region_sido_대전,1.9492176407069683,False
P4_E_STRUCTURE_A_RATE,16,region_sido_경남,1.9280626989644953,False
P4_E_STRUCTURE_A_RATE,17,major_group_7_NAT,1.9014118379853235,False
P4_E_STRUCTURE_A_RATE,18,student_faculty_ratio,1.8819410042635507,False
P4_E_STRUCTURE_A_RATE,19,major_group_7_HUM,1.759079012486639,False
P4_E_STRUCTURE_A_RATE,20,leave_rate_pct,1.730059600164106,False
P4_E_STRUCTURE_A_RATE,21,region_sido_인천,1.6451929536722045,False
P4_E_STRUCTURE_A_RATE,22,region_sido_전남,1.6091983430544883,False
P4_E_STRUCTURE_A_RATE,23,major_group_7_MED,1.5905844566341711,False
P4_E_STRUCTURE_A_RATE,24,credit_forfeit_flag,1.5278480604943245,False
P4_E_STRUCTURE_A_RATE,25,school_type_산업대학,1.3532126190369267,False
P4_E_STRUCTURE_A_RATE,26,region_sido_대구,1.2179581771274197,False
P4_E_STRUCTURE_A_RATE,27,a_rate_pct,1.1669950370635342,False
P4_E_STRUCTURE_A_RATE,28,fulltime_faculty_share_pct,1.1363290867441085,False
P4_E_STRUCTURE_A_RATE,29,campus_branch_분교,1.117840629767729,False
P4_E_STRUCTURE_A_RATE,30,international_student_share_pct,1.1076206291897097,False
P4_E_SELECTIVITY_A_RATE,1,region_sido_서울,6.590347490795004,False
P4_E_SELECTIVITY_A_RATE,2,school_type_대학교,4.539875171220399,False
P4_E_SELECTIVITY_A_RATE,3,major_group_7_ENG,4.300106971744428,False
P4_E_SELECTIVITY_A_RATE,4,school_type_산업대학,4.078426326418524,False
P4_E_SELECTIVITY_A_RATE,5,major_group_7_EDU,3.3229402574304956,False
P4_E_SELECTIVITY_A_RATE,6,major_group_7_SOC,3.2143173836458114,False
P4_E_SELECTIVITY_A_RATE,7,major_group_7_NAT,3.1798242796941394,False
P4_E_SELECTIVITY_A_RATE,8,region_sido_경기,3.0442198755445857,False
P4_E_SELECTIVITY_A_RATE,9,region_sido_전북,3.0248189558996468,False
P4_E_SELECTIVITY_A_RATE,10,region_sido_충남,3.0170800043461186,False
P4_E_SELECTIVITY_A_RATE,11,region_sido_충북,2.827413466949876,False
P4_E_SELECTIVITY_A_RATE,12,region_sido_부산,2.750248065216337,False
P4_E_SELECTIVITY_A_RATE,13,female_student_share_pct,2.7181490676639295,False
P4_E_SELECTIVITY_A_RATE,14,leave_rate_pct,2.6696517792406076,False
P4_E_SELECTIVITY_A_RATE,15,major_group_7_HUM,2.566409418085067,False
P4_E_SELECTIVITY_A_RATE,16,region_sido_경북,2.4856282138859065,False
P4_E_SELECTIVITY_A_RATE,17,major_group_7_MED,2.4845237861581113,False
P4_E_SELECTIVITY_A_RATE,18,region_sido_대전,2.4586915904713726,False
P4_E_SELECTIVITY_A_RATE,19,region_sido_광주,2.391851621400018,False
P4_E_SELECTIVITY_A_RATE,20,competition_ratio,2.372047365890198,False
P4_E_SELECTIVITY_A_RATE,21,region_sido_인천,2.3092057552268908,False
P4_E_SELECTIVITY_A_RATE,22,admit_per_applicant_ratio,2.225768959771057,False
P4_E_SELECTIVITY_A_RATE,23,region_sido_경남,2.0367470151079345,False
P4_E_SELECTIVITY_A_RATE,24,credit_forfeit_flag,1.8861635590249202,False
P4_E_SELECTIVITY_A_RATE,25,region_sido_대구,1.5634628601500404,False
P4_E_SELECTIVITY_A_RATE,26,a_rate_pct,1.342180427908389,False
P4_E_SELECTIVITY_A_RATE,27,student_faculty_ratio,1.3325163216726685,False
P4_E_SELECTIVITY_A_RATE,28,fulltime_faculty_share_pct,1.3119004572574204,False
P4_E_SELECTIVITY_A_RATE,29,international_student_share_pct,1.2259639286854618,False
P4_E_SELECTIVITY_A_RATE,30,region_sido_전남,1.2198461927798003,False
P4_P_STRUCTURE_A_RATE,1,school_type_대학교,128.81543092746114,False
P4_P_STRUCTURE_A_RATE,2,school_type_교육대학,87.32673520501572,False
P4_P_STRUCTURE_A_RATE,3,school_type_방송통신대학교,27.977026854177673,False
P4_P_STRUCTURE_A_RATE,4,school_type_산업대학,19.173866494954467,False
P4_P_STRUCTURE_A_RATE,5,region_sido_서울,4.913962680353117,False
P4_P_STRUCTURE_A_RATE,6,region_sido_경기,2.9639599207340215,False
P4_P_STRUCTURE_A_RATE,7,region_sido_부산,2.8574936256802514,False
P4_P_STRUCTURE_A_RATE,8,major_group_7_ENG,2.8471237948795856,False
P4_P_STRUCTURE_A_RATE,9,region_sido_충남,2.5773265966818095,False
P4_P_STRUCTURE_A_RATE,10,region_sido_경북,2.460944922597496,False
P4_P_STRUCTURE_A_RATE,11,region_sido_충북,2.303583258707523,False
P4_P_STRUCTURE_A_RATE,12,region_sido_전북,2.188261846115944,False
P4_P_STRUCTURE_A_RATE,13,major_group_7_SOC,2.182555401118696,False
P4_P_STRUCTURE_A_RATE,14,major_group_7_EDU,2.069928682483289,False
P4_P_STRUCTURE_A_RATE,15,female_student_share_pct,2.0583300104132904,False
P4_P_STRUCTURE_A_RATE,16,region_sido_광주,1.9924151424540826,False
P4_P_STRUCTURE_A_RATE,17,region_sido_대전,1.9421366899961887,False
P4_P_STRUCTURE_A_RATE,18,region_sido_경남,1.913755128453462,False
P4_P_STRUCTURE_A_RATE,19,major_group_7_NAT,1.9033607831004762,False
P4_P_STRUCTURE_A_RATE,20,student_faculty_ratio,1.8818692207280225,False
P4_P_STRUCTURE_A_RATE,21,major_group_7_HUM,1.811239837536637,False
P4_P_STRUCTURE_A_RATE,22,leave_rate_pct,1.737620599979493,False
P4_P_STRUCTURE_A_RATE,23,region_sido_인천,1.659467832375752,False
P4_P_STRUCTURE_A_RATE,24,region_sido_전남,1.6078238253379156,False
P4_P_STRUCTURE_A_RATE,25,major_group_7_MED,1.5881679996104692,False
P4_P_STRUCTURE_A_RATE,26,credit_forfeit_flag,1.5202594876874702,False
P4_P_STRUCTURE_A_RATE,27,region_sido_대구,1.2135870819428276,False
P4_P_STRUCTURE_A_RATE,28,a_rate_pct,1.162261192449139,False
P4_P_STRUCTURE_A_RATE,29,fulltime_faculty_share_pct,1.1364762257133294,False
P4_P_STRUCTURE_A_RATE,30,campus_branch_분교,1.1195659092354213,False
P4_P_SELECTIVITY_A_RATE,1,region_sido_서울,6.5514524469745075,False
P4_P_SELECTIVITY_A_RATE,2,school_type_대학교,4.53943722903237,False
P4_P_SELECTIVITY_A_RATE,3,major_group_7_ENG,4.287920683567053,False
P4_P_SELECTIVITY_A_RATE,4,school_type_산업대학,4.078217944280357,False
P4_P_SELECTIVITY_A_RATE,5,major_group_7_EDU,3.3227126339526896,False
P4_P_SELECTIVITY_A_RATE,6,major_group_7_SOC,3.201091921826515,False
P4_P_SELECTIVITY_A_RATE,7,major_group_7_NAT,3.1674131659009808,False
P4_P_SELECTIVITY_A_RATE,8,region_sido_경기,3.0695521093575486,False
P4_P_SELECTIVITY_A_RATE,9,region_sido_전북,3.0362296054459064,False
P4_P_SELECTIVITY_A_RATE,10,region_sido_충남,3.026229521188336,False
P4_P_SELECTIVITY_A_RATE,11,region_sido_충북,2.8286986498722215,False
P4_P_SELECTIVITY_A_RATE,12,region_sido_부산,2.7495712403476587,False
P4_P_SELECTIVITY_A_RATE,13,female_student_share_pct,2.680120171828259,False
P4_P_SELECTIVITY_A_RATE,14,leave_rate_pct,2.6379044658250623,False
P4_P_SELECTIVITY_A_RATE,15,major_group_7_HUM,2.6076393410473466,False
P4_P_SELECTIVITY_A_RATE,16,region_sido_경북,2.486075549262231,False
P4_P_SELECTIVITY_A_RATE,17,region_sido_대전,2.4714696817568855,False
P4_P_SELECTIVITY_A_RATE,18,major_group_7_MED,2.469437237396031,False
