dataset,column,null_n,null_rate
seed_raw,source_row_id,0,0.0
seed_raw,univ_id,0,0.0
seed_raw,univ_name_raw,0,0.0
seed_raw,univ_name_std,0,0.0
seed_raw,campus_id,0,0.0
seed_raw,campus_name_std,0,0.0
seed_raw,adiga_univ_code,0,0.0
seed_raw,adiga_label,0,0.0
seed_raw,target_institution_flag,0,0.0
seed_raw,branch_status,0,0.0
seed_raw,crawl_priority,0,0.0
seed_raw,manual_review_required,0,0.0
seed_raw,seed_note,51,0.9807692307692307
registry_raw,source_row_id,0,0.0
registry_raw,source_id,0,0.0
registry_raw,crawl_run_id,0,0.0
registry_raw,univ_id,0,0.0
registry_raw,campus_id,0,0.0
registry_raw,source_type,0,0.0
registry_raw,source_priority,0,0.0
registry_raw,source_search_year,0,0.0
registry_raw,source_result_year,0,0.0
registry_raw,source_section,0,0.0
registry_raw,source_url,0,0.0
registry_raw,retrieved_at,0,0.0
registry_raw,http_status,0,0.0
registry_raw,content_type,0,0.0
registry_raw,content_sha256,0,0.0
registry_raw,raw_file_path,0,0.0
registry_raw,parser_version,0,0.0
registry_raw,parse_status,0,0.0
registry_raw,parse_note,0,0.0
admission_raw,source_row_id,0,0.0
admission_raw,raw_row_id,0,0.0
admission_raw,source_id,0,0.0
admission_raw,univ_id,0,0.0
admission_raw,admission_year,0,0.0
admission_raw,raw_table_index,0,0.0
admission_raw,raw_row_index,0,0.0
admission_raw,raw_section_title,2949,0.9525193798449613
admission_raw,raw_header_json,0,0.0
admission_raw,raw_cells_json,0,0.0
admission_raw,raw_admission_group,35,0.011304909560723515
admission_raw,raw_recruitment_unit,0,0.0
admission_raw,raw_recruitment_n,193,0.062338501291989666
admission_raw,raw_competition_rate,193,0.062338501291989666
admission_raw,raw_additional_rank,193,0.062338501291989666
admission_raw,raw_score_70cut,193,0.062338501291989666
admission_raw,raw_score_max,468,0.1511627906976744
admission_raw,raw_percentile_70cut,468,0.1511627906976744
admission_raw,raw_parse_warning,0,0.0
