dataset,column,dtype,non_null_n,null_n,null_rate,unique_n,sample_values,numeric_conversion_rate,memory_bytes_dataset,complete_duplicate_rows_dataset
seed_raw,source_row_id,int64,52,0,0.0,52,"[""0"", ""1"", ""2"", ""3"", ""4""]",1.0,9515,0
seed_raw,univ_id,str,52,0,0.0,51,"[""U0000019"", ""U0000149"", ""U0000069"", ""U0000133"", ""U0000203""]",1.0,9515,0
seed_raw,univ_name_raw,str,52,0,0.0,51,"[""서울대"", ""연세대"", ""고려대"", ""성균관대"", ""한양대""]",0.0,9515,0
seed_raw,univ_name_std,str,52,0,0.0,47,"[""서울대학교"", ""연세대학교"", ""고려대학교"", ""성균관대학교"", ""한양대학교""]",0.0,9515,0
seed_raw,campus_id,str,52,0,0.0,51,"[""0000019"", ""0000149"", ""0000069"", ""0000133"", ""0000203""]",1.0,9515,0
seed_raw,campus_name_std,str,52,0,0.0,3,"[""본교/미구분"", ""죽전"", ""천안""]",0.0,9515,0
seed_raw,adiga_univ_code,int64,52,0,0.0,51,"[""19"", ""149"", ""69"", ""133"", ""203""]",1.0,9515,0
seed_raw,adiga_label,str,52,0,0.0,51,"[""서울대학교[본교]"", ""연세대학교[본교]"", ""고려대학교[본교]"", ""성균관대학교[본교]"", ""한양대학교[본교]""]",0.019230769230769232,9515,0
seed_raw,target_institution_flag,bool,52,0,0.0,2,"[""True"", ""False""]",0.0,9515,0
seed_raw,branch_status,str,52,0,0.0,3,"[""main"", ""branch"", ""unknown""]",0.0,9515,0
seed_raw,crawl_priority,int64,52,0,0.0,52,"[""1"", ""2"", ""3"", ""4"", ""5""]",1.0,9515,0
seed_raw,manual_review_required,bool,52,0,0.0,2,"[""False"", ""True""]",0.0,9515,0
seed_raw,seed_note,str,1,51,0.9807692307692307,1,"[""adiga에 별도 캠퍼스 코드 없음 — U0000192와 동일 페이지, 중복크롤링 방지 위해 크롤링 대상에서 제외""]",1.0,9515,0
registry_raw,source_row_id,int64,51,0,0.0,51,"[""0"", ""1"", ""2"", ""3"", ""4""]",1.0,28604,0
registry_raw,source_id,str,51,0,0.0,51,"[""SRC_0000019_2025_0001"", ""SRC_0000149_2025_0002"", ""SRC_0000069_2025_0003"", ""SRC_0000133_2025_0004"", ""SRC_0000203_2025_0005""]",1.0,28604,0
registry_raw,crawl_run_id,str,51,0,0.0,1,"[""RUN_20260710""]",1.0,28604,0
registry_raw,univ_id,str,51,0,0.0,51,"[""U0000019"", ""U0000149"", ""U0000069"", ""U0000133"", ""U0000203""]",1.0,28604,0
registry_raw,campus_id,str,51,0,0.0,51,"[""0000019"", ""0000149"", ""0000069"", ""0000133"", ""0000203""]",1.0,28604,0
registry_raw,source_type,str,51,0,0.0,1,"[""adiga_html""]",0.0,28604,0
registry_raw,source_priority,int64,51,0,0.0,1,"[""1""]",1.0,28604,0
registry_raw,source_search_year,int64,51,0,0.0,1,"[""2025""]",1.0,28604,0
registry_raw,source_result_year,int64,51,0,0.0,1,"[""2024""]",1.0,28604,0
registry_raw,source_section,str,51,0,0.0,1,"[""Ⅳ. 수능위주전형 / Q2. 2024학년도 전형 결과""]",1.0,28604,0
