step,dataset,action,rows_before,rows_after,rows_affected,status,rule,note,executed_at
setup,environment,initialize_paths_and_imports,,,,PASS,,,2026-07-10T13:44:01
artifact_export,eda_01_file_inventory.csv,save_csv,5.0,5.0,5.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_01_file_inventory.csv,2026-07-10T13:44:01
file_inventory,input_files,profile_files_and_html_cache,,5.0,,PASS,,,2026-07-10T13:44:01
safe_loading,seed_raw,load_dataframe,,52.0,,PASS,,"shape=(52, 13)",2026-07-10T13:44:01
safe_loading,registry_raw,load_dataframe,,51.0,,PASS,,"shape=(51, 19)",2026-07-10T13:44:01
safe_loading,admission_raw,load_dataframe,,3096.0,,PASS,,"shape=(3096, 19)",2026-07-10T13:44:01
schema_profile,seed_raw,profile_dataframe,,52.0,0.0,PASS,,"duplicate_n=0, memory_bytes=9515",2026-07-10T13:44:01
schema_profile,registry_raw,profile_dataframe,,51.0,0.0,PASS,,"duplicate_n=0, memory_bytes=28604",2026-07-10T13:44:01
schema_profile,admission_raw,profile_dataframe,,3096.0,0.0,PASS,,"duplicate_n=0, memory_bytes=1855638",2026-07-10T13:44:01
artifact_export,eda_02_schema_profile.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_02_schema_profile.csv,2026-07-10T13:44:02
artifact_export,eda_03_missingness_profile.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_03_missingness_profile.csv,2026-07-10T13:44:02
artifact_export,eda_04_column_role_mapping.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_04_column_role_mapping.csv,2026-07-10T13:44:02
artifact_export,eda_05_seed_entity_resolution.csv,save_csv,52.0,52.0,52.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_05_seed_entity_resolution.csv,2026-07-10T13:44:02
seed_quality,seed_raw,resolve_seed_entities,52.0,52.0,,PASS,,,2026-07-10T13:44:02
artifact_export,eda_06_crawl_registry_quality.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_06_crawl_registry_quality.csv,2026-07-10T13:44:02
registry_quality,registry_raw,validate_registry_links,51.0,51.0,,PASS,,,2026-07-10T13:44:02
artifact_export,eda_07_university_coverage.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_07_university_coverage.csv,2026-07-10T13:44:02
coverage,admission_raw,aggregate_university_coverage,3096.0,51.0,,PASS,,,2026-07-10T13:44:02
artifact_export,fig_01_rows_per_university.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_01_rows_per_university.png,2026-07-10T13:44:03
artifact_export,fig_02_recruitment_units_per_university.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_02_recruitment_units_per_university.png,2026-07-10T13:44:03
artifact_export,fig_03_key_field_missingness.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_03_key_field_missingness.png,2026-07-10T13:44:03
artifact_export,fig_04_percentile_coverage_by_university.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_04_percentile_coverage_by_university.png,2026-07-10T13:44:03
artifact_export,eda_08_duplicate_candidates.csv,save_csv,746.0,746.0,746.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_08_duplicate_candidates.csv,2026-07-10T13:44:04
duplicate_diagnosis,admission_raw,diagnose_duplicate_units,3096.0,746.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_09_text_anomalies.csv,save_csv,0.0,0.0,0.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_09_text_anomalies.csv,2026-07-10T13:44:04
text_eda,admission_raw,flag_recruitment_unit_text_anomalies,3096.0,0.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_10_numeric_conversion_report.csv,save_csv,6.0,6.0,6.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_10_numeric_conversion_report.csv,2026-07-10T13:44:04
