admission_group_clean,selection_family,row_n,university_n,recruitment_unit_n,percentile_available_rate,tier_a_rate
,unclassified,146,7,91,0.5136986301369864,0.0
 나  군,regular_csat,69,1,69,0.9710144927536232,0.9710144927536232
 나  군,special_admission,13,1,8,1.0,0.0
㉮ 군,regular_csat,21,1,21,1.0,1.0
㉮ 군,special_admission,3,1,3,1.0,0.0
㉮ 군,unclassified,3,1,3,1.0,0.0
㉯ 군,regular_csat,15,1,15,1.0,1.0
㉯ 군,special_admission,11,1,11,1.0,0.0
㉯ 군,unclassified,2,1,2,1.0,0.0
㉰ 군,regular_csat,1,1,1,1.0,1.0
가군,unclassified,1151,36,541,0.7158992180712423,0.0
가군 교과 우수,unclassified,56,1,56,0.875,0.0
가군 국가안보 융합전형,unclassified,4,1,4,1.0,0.0
가군 기회균형선발전형,unclassified,2,1,2,0.0,0.0
가군 농어촌,unclassified,58,1,58,0.08620689655172414,0.0
가군 농어촌학생,unclassified,4,1,4,1.0,0.0
가군 농어촌학생 전형,unclassified,5,1,5,0.0,0.0
가군 일반,unclassified,62,1,62,1.0,0.0
가군 일반전형,unclassified,111,2,99,0.990990990990991,0.0
가군 저소득층학생,unclassified,3,1,3,1.0,0.0
가군 지역인재 2 유형,unclassified,1,1,1,1.0,0.0
가군 지역인재 저소득층,unclassified,1,1,1,1.0,0.0
가군 지역인재전형,unclassified,3,1,3,1.0,0.0
나 군,unclassified,1,1,1,1.0,0.0
나군,unclassified,744,37,478,0.9327956989247311,0.0
나군,balanced_or_recommendation,9,1,9,1.0,0.0
나군 기회균형선발전형,unclassified,3,1,3,0.0,0.0
나군 농어촌학생,unclassified,4,1,4,1.0,0.0
나군 농어촌학생 전형,unclassified,5,1,5,0.0,0.0
나군 수능 ( 기초생활보장대상자 ),unclassified,2,1,2,1.0,0.0
나군 수능 ( 농어촌학생 ),unclassified,2,1,2,1.0,0.0
나군 수능 ( 일반 ),unclassified,19,1,19,1.0,0.0
나군 수능 ( 장애인대상자 ),unclassified,2,1,2,1.0,0.0
나군 수능 ( 특성화고교 졸업자 ),unclassified,2,1,2,1.0,0.0
나군 일반전형,unclassified,85,2,78,1.0,0.0
나군 일반학생 ( 예체능 - 실기 ),unclassified,8,1,8,0.375,0.0
나군 저소득층학생,unclassified,5,1,5,1.0,0.0
나군 지역인재 2 유형,unclassified,1,1,1,1.0,0.0
나군 지역인재 저소득층,unclassified,1,1,1,1.0,0.0
나군 지역인재전형,unclassified,1,1,1,1.0,0.0
농어촌 학생전형 나군,unclassified,2,1,2,1.0,0.0
다군,unclassified,401,25,274,0.8104738154613467,0.0
수능일반전형 1 나군,unclassified,22,1,22,0.9545454545454546,0.0
수능일반전형 2 나군,unclassified,22,1,22,1.0,0.0
실기전형 나군,unclassified,4,1,4,1.0,0.0
실기전형 다군,unclassified,6,1,6,0.8333333333333334,0.0
