univ_id,univ_name_std,raw_section_title,selection_family,row_n,recruitment_unit_n,percentile_available_rate,competition_available_rate
U0000063,가천대학교,,unclassified,60,60,1.0,1.0
U0000046,가톨릭대학교,,unclassified,38,9,0.47368421052631576,1.0
U0000003,강원대학교,,unclassified,62,62,1.0,1.0
U0000052,건국대학교,,unclassified,50,50,1.0,1.0
U0000056,경기대학교,,unclassified,56,33,0.9464285714285714,1.0
U0000005,경북대학교,,unclassified,108,108,0.9722222222222222,1.0
U0000066,경희대학교,,unclassified,85,85,1.0,1.0
U0000069,고려대학교,,unclassified,176,62,0.6590909090909091,0.9943181818181818
U0000070,고려대학교,,unclassified,24,24,1.0,1.0
U0000074,광운대학교,,unclassified,65,30,0.0,0.0
U0000078,국민대학교,,unclassified,62,62,1.0,1.0
U0000082,단국대학교,,unclassified,35,35,1.0,1.0
U0002726,단국대학교,,unclassified,43,43,1.0,1.0
U0000099,덕성여자대학교,,unclassified,7,7,1.0,1.0
U0000100,동국대학교,,unclassified,52,52,1.0,1.0
U0000102,동덕여자대학교,,unclassified,86,36,0.0,0.0
U0000109,명지대학교,,unclassified,22,22,1.0,1.0
U0000013,부경대학교,,unclassified,61,61,0.8852459016393442,1.0
U0000014,부산대학교,,unclassified,109,105,0.8899082568807339,1.0
U0000116,삼육대학교,,unclassified,67,19,0.9253731343283582,1.0
U0000117,상명대학교,,unclassified,29,29,1.0,1.0
U0000120,서강대학교,,unclassified,27,21,1.0,1.0
U0000121,서경대학교,,unclassified,43,42,0.9302325581395349,1.0
U0000036,서울과학기술대학교,,unclassified,41,3,1.0,1.0
U0000019,서울대학교,정시 기회균형특별전형 ( 농어촌 ) - 선발인원 4 인 이상,special_admission,5,5,1.0,0.0
U0000019,서울대학교,정시 기회균형특별전형 ( 저소득 ) - 선발인원 4 인 이상,special_admission,8,8,1.0,0.0
U0000019,서울대학교,정시 일반전형,regular_csat,69,69,0.9710144927536232,1.0
U0000019,서울대학교,정시 지역균형전형,balanced_or_recommendation,9,9,1.0,1.0
U0000040,서울시립대학교,,unclassified,40,39,0.0,0.95
U0000126,서울여자대학교,,unclassified,41,41,1.0,1.0
U0000133,성균관대학교,,unclassified,30,30,1.0,1.0
U0000136,성신여자대학교,기회균형 Ⅱ 전형 ( 정원외 ),special_admission,4,4,1.0,1.0
U0000136,성신여자대학교,농 · 어촌학생전형 ( 정원외 ),unclassified,5,5,1.0,1.0
U0000136,성신여자대학교,일반학생전형,regular_csat,37,37,1.0,1.0
U0000136,성신여자대학교,특성화고교출신자전형 ( 정원외 ),special_admission,10,10,1.0,1.0
U0000138,세종대학교,,unclassified,31,14,1.0,1.0
U0000140,수원대학교,,unclassified,56,33,0.9642857142857143,1.0
U0000141,숙명여자대학교,,unclassified,42,41,0.0,0.0
U0000143,숭실대학교,,unclassified,41,41,1.0,1.0
U0000146,아주대학교,,unclassified,37,37,1.0,1.0
U0000149,연세대학교,,unclassified,235,67,0.0,0.9659574468085106
U0000150,연세대학교,,unclassified,14,14,1.0,1.0
U0000163,이화여자대학교,,unclassified,24,24,1.0,1.0
U0002660,인천대학교,,unclassified,55,55,1.0,1.0
U0000169,인하대학교,,unclassified,56,56,1.0,1.0
U0000023,전남대학교,,unclassified,108,104,1.0,1.0
U0000025,전북대학교,,unclassified,121,104,0.8347107438016529,1.0
U0000175,중앙대학교,,unclassified,60,60,1.0,1.0
U0000029,충남대학교,,unclassified,126,104,0.9920634920634921,1.0
U0000030,충북대학교,,unclassified,83,79,0.9879518072289156,1.0
U0000247,한국공학대학교,,unclassified,80,20,0.975,1.0
U0000192,한국외국어대학교,,unclassified,288,3,1.0,1.0
U0000194,한국항공대학교,,unclassified,35,14,1.0,1.0
U0000200,한성대학교,,unclassified,15,15,1.0,1.0
U0000203,한양대학교,,unclassified,53,53,1.0,1.0
U0000204,한양대학교,,unclassified,36,36,1.0,1.0
U0000212,홍익대학교,,unclassified,50,50,1.0,1.0
