univ_id,univ_name_std,row_n,percentile_70cut_row_n,univ_score_70cut_row_n,univ_score_max_row_n,univ_score_ratio_row_n,percentile_70cut_mean,percentile_70cut_median,univ_score_ratio_mean,percentile_70cut_available_rate,univ_score_70cut_available_rate,univ_score_max_available_rate,univ_score_ratio_available_rate
U0000149,연세대학교,235,0,81,0,0,,,,0.0,0.3446808510638298,0.0,0.0
U0000102,동덕여자대학교,86,0,0,0,0,,,,0.0,0.0,0.0,0.0
U0000074,광운대학교,65,0,0,0,0,,,,0.0,0.0,0.0,0.0
U0000141,숙명여자대학교,42,0,0,0,0,,,,0.0,0.0,0.0,0.0
U0000040,서울시립대학교,40,0,40,0,0,,,,0.0,1.0,0.0,0.0
U0000046,가톨릭대학교,38,18,38,38,38,82.0,79.0,13.854146337773805,0.47368421052631576,1.0,1.0,1.0
U0000069,고려대학교,176,116,116,176,116,94.19474137931034,94.32499999999999,67.16501939655173,0.6590909090909091,0.6590909090909091,1.0,0.6590909090909091
U0000025,전북대학교,121,101,101,101,101,69.03316831683169,67.83,63.37049504950495,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.8347107438016529
U0000013,부경대학교,61,54,54,61,54,70.48148148148148,71.5,66.40780423280424,0.8852459016393442,0.8852459016393442,1.0,0.8852459016393442
U0000014,부산대학교,109,97,103,109,103,80.92092783505154,80.33,68.64635113268608,0.8899082568807339,0.944954128440367,1.0,0.944954128440367
U0000116,삼육대학교,67,62,67,67,67,237.79500000000002,85.7,86.74,0.9253731343283582,1.0,1.0,1.0
U0000121,서경대학교,43,40,40,43,40,45.5175,50.15,50.84905952380952,0.9302325581395349,0.9302325581395349,1.0,0.9302325581395349
U0000056,경기대학교,56,53,56,56,56,71.86901886792452,78.0,79.47641071428572,0.9464285714285714,1.0,1.0,1.0
U0000140,수원대학교,56,54,55,55,55,81.42592592592592,82.55,81.44272727272728,0.9642857142857143,0.9821428571428571,0.9821428571428571,0.9821428571428571
U0000005,경북대학교,108,105,105,108,105,221.9873333333333,237.2,65.72454977324263,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222
U0000247,한국공학대학교,80,78,78,80,78,68.43846153846154,68.775,77.97814102564102,0.975,0.975,1.0,0.975
U0000019,서울대학교,91,89,89,0,0,94.77831460674157,96.25,,0.978021978021978,0.978021978021978,0.0,0.0
U0000030,충북대학교,83,82,82,83,82,71.75378048780489,69.95500000000001,96.50923170731707,0.9879518072289156,0.9879518072289156,1.0,0.9879518072289156
U0000029,충남대학교,126,125,125,126,125,67.80575999999999,71.9,55.39917333333333,0.9920634920634921,0.9920634920634921,1.0,0.9920634920634921
U0000192,한국외국어대학교,288,288,288,288,288,82.315,86.83,6.976810423313211,1.0,1.0,1.0,1.0
U0000023,전남대학교,108,108,108,108,108,63.83435185185185,71.58500000000001,76.41021759259259,1.0,1.0,1.0,1.0
U0000066,경희대학교,85,85,85,85,85,89.00423529411765,89.0,70.02180751633986,1.0,1.0,1.0,1.0
U0000003,강원대학교,62,62,62,62,62,80.645,74.5,75.85155329633687,1.0,1.0,1.0,1.0
U0000078,국민대학교,62,62,62,62,62,86.50322580645161,86.69,69.62622887864823,1.0,1.0,1.0,1.0
U0000063,가천대학교,60,60,60,60,60,83.87383333333334,83.65,83.87383333333334,1.0,1.0,1.0,1.0
U0000175,중앙대학교,60,60,60,60,60,88.63116666666666,90.885,74.54294583333333,1.0,1.0,1.0,1.0
U0000136,성신여자대학교,56,56,56,56,56,66.7167857142857,71.66,78.04643051311434,1.0,1.0,1.0,1.0
U0000169,인하대학교,56,56,56,56,56,81.67267857142858,81.25,86.88564285714287,1.0,1.0,1.0,1.0
U0002660,인천대학교,55,55,55,55,55,75.75272727272727,76.0,77.92618181818182,1.0,1.0,1.0,1.0
U0000203,한양대학교,53,53,53,53,53,92.79377358490565,92.75,91.12441778975742,1.0,1.0,1.0,1.0
U0000100,동국대학교,52,52,0,52,0,673.0711538461538,683.55,,1.0,0.0,1.0,0.0
U0000052,건국대학교,50,50,50,50,50,87.8,88.5,67.03842,1.0,1.0,1.0,1.0
U0000212,홍익대학교,50,50,50,50,50,80.58840000000001,86.6,65.44860998650472,1.0,1.0,1.0,1.0
U0002726,단국대학교,43,43,43,43,43,77.57209302325582,76.73,77.57209302325582,1.0,1.0,1.0,1.0
U0000036,서울과학기술대학교,41,41,41,41,41,85.04243902439023,84.33,5.945883120046428,1.0,1.0,1.0,1.0
U0000126,서울여자대학교,41,41,41,41,41,91.07609756097561,91.33,91.07560975609756,1.0,1.0,1.0,1.0
U0000143,숭실대학교,41,41,41,41,41,83.53292682926829,84.17,87.37680487804879,1.0,1.0,1.0,1.0
