raw_row_id,univ_id,univ_name_std,raw_admission_group,raw_section_title,raw_recruitment_unit,raw_recruitment_n,raw_competition_rate,raw_additional_rank,raw_score_70cut,raw_percentile_70cut,raw_table_index,raw_row_index,exact_duplicate_flag,key_duplicate_count,content_duplicate_count,same_unit_multi_track_count,duplicate_status
SRC_0000046_2025_0030_T10_R31,U0000046,가톨릭대학교,가군,,ICT 공학 계열,컴퓨터정보공학부,62,5.40,115,79.33,10,31,False,3,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R32,U0000046,가톨릭대학교,가군,,ICT 공학 계열,컴퓨터정보공학부,62,5.40,115,미디어기술콘텐츠학과,10,32,False,3,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R33,U0000046,가톨릭대학교,가군,,ICT 공학 계열,컴퓨터정보공학부,62,5.40,115,정보통신전자공학부,10,33,False,3,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R26,U0000046,가톨릭대학교,가군,,경영계열,경영학과,43,4.72,60,76.67,10,26,False,2,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R27,U0000046,가톨릭대학교,가군,,경영계열,경영학과,43,4.72,60,회계학과,10,27,False,2,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R0,U0000046,가톨릭대학교,가군,,국어국문학과,38,5.34,77,829.35,77.67,10,0,False,3,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R1,U0000046,가톨릭대학교,가군,,국어국문학과,38,5.34,77,829.35,철학과,10,1,False,3,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R2,U0000046,가톨릭대학교,가군,,국어국문학과,38,5.34,77,829.35,국사학과,10,2,False,3,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R11,U0000046,가톨릭대학교,가군,,국제 ‧ 법정경 계열,국제학부,65,4.38,57,77.67,10,11,False,4,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R12,U0000046,가톨릭대학교,가군,,국제 ‧ 법정경 계열,국제학부,65,4.38,57,법학과,10,12,False,4,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R13,U0000046,가톨릭대학교,가군,,국제 ‧ 법정경 계열,국제학부,65,4.38,57,경제학과,10,13,False,4,1,0,probable_parser_duplicate
SRC_0000046_2025_0030_T10_R14,U0000046,가톨릭대학교,가군,,국제 ‧ 법정경 계열,국제학부,65,4.38,57,행정학과,10,14,False,4,1,0,probable_parser_duplicate
