univ_id,univ_name_std,row_n,department_like_rate,major_like_rate,division_like_rate,college_like_rate,broad_recruitment_rate,free_major_rate,unknown_structure_rate,crosswalk_difficulty_score,crosswalk_priority
U0000046,가톨릭대학교,38,0.07894736842105263,0.0,0.0,0.0,0.9210526315789473,0.0,0.0,1.8421052631578947,high
U0000138,세종대학교,31,0.3225806451612903,0.0,0.1935483870967742,0.0,0.4838709677419355,0.0,0.0,0.967741935483871,high
U0000099,덕성여자대학교,7,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.857142857142857,high
U0000036,서울과학기술대학교,41,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.8414634146341464,high
U0000120,서강대학교,27,0.48148148148148145,0.0,0.2222222222222222,0.0,0.2962962962962963,0.0,0.0,0.5925925925925926,medium
U0000121,서경대학교,43,0.18604651162790697,0.0,0.5116279069767442,0.0,0.0,0.0,0.3023255813953488,0.45348837209302323,medium
U0000126,서울여자대학교,41,0.6341463414634146,0.17073170731707318,0.04878048780487805,0.0975609756097561,0.0975609756097561,0.04878048780487805,0.0,0.41463414634146345,medium
U0000136,성신여자대학교,56,0.5714285714285714,0.0,0.19642857142857142,0.0,0.03571428571428571,0.0,0.19642857142857142,0.3660714285714286,medium
U0000212,홍익대학교,50,0.58,0.0,0.3,0.0,0.0,0.12,0.0,0.3,medium
U0000163,이화여자대학교,24,0.5833333333333334,0.125,0.125,0.0,0.08333333333333333,0.0,0.08333333333333333,0.29166666666666663,medium
U0000109,명지대학교,22,0.22727272727272727,0.09090909090909091,0.5909090909090909,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727,medium
U0000019,서울대학교,91,0.4835164835164835,0.0,0.3956043956043956,0.02197802197802198,0.10989010989010989,0.01098901098901099,0.0,0.2692307692307692,medium
U0000133,성균관대학교,30,0.7666666666666667,0.0,0.1,0.0,0.13333333333333333,0.0,0.0,0.26666666666666666,medium
U0000102,동덕여자대학교,86,0.023255813953488372,0.8255813953488372,0.0,0.0,0.0,0.0,0.1511627906976744,0.22674418604651161,medium
U0000063,가천대학교,60,0.6166666666666667,0.13333333333333333,0.13333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.08333333333333333,0.2,low
U0000200,한성대학교,15,0.3333333333333333,0.0,0.5333333333333333,0.0,0.0,0.0,0.13333333333333333,0.2,low
U0000069,고려대학교,176,0.6420454545454546,0.0,0.2897727272727273,0.05113636363636364,0.05113636363636364,0.017045454545454544,0.0,0.1960227272727273,low
U0000074,광운대학교,65,0.5230769230769231,0.0,0.35384615384615387,0.0,0.0,0.0,0.12307692307692308,0.18461538461538463,low
U0000029,충남대학교,126,0.7857142857142857,0.06349206349206349,0.047619047619047616,0.0,0.0,0.0,0.10317460317460317,0.15476190476190477,low
U0000150,연세대학교,14,0.5714285714285714,0.0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,low
U0000194,한국항공대학교,35,0.8857142857142857,0.0,0.05714285714285714,0.0,0.0,0.05714285714285714,0.0,0.14285714285714285,low
U0000040,서울시립대학교,40,0.675,0.075,0.175,0.0,0.0,0.025,0.05,0.1375,low
U0000066,경희대학교,85,0.8588235294117647,0.0,0.07058823529411765,0.0,0.03529411764705882,0.011764705882352941,0.023529411764705882,0.13529411764705884,low
U0000013,부경대학교,61,0.3770491803278688,0.01639344262295082,0.5573770491803278,0.0,0.01639344262295082,0.03278688524590164,0.0,0.11475409836065575,low
U0000003,강원대학교,62,0.6935483870967742,0.0,0.27419354838709675,0.0,0.0,0.03225806451612903,0.0,0.08064516129032258,low
U0000141,숙명여자대학교,42,0.38095238095238093,0.23809523809523808,0.3333333333333333,0.0,0.0,0.0,0.047619047619047616,0.07142857142857142,low
U0000143,숭실대학교,41,0.6097560975609756,0.0,0.36585365853658536,0.0,0.0,0.024390243902439025,0.0,0.06097560975609756,low
U0000149,연세대학교,235,0.9191489361702128,0.0,0.04680851063829787,0.0,0.0,0.0,0.03404255319148936,0.05106382978723405,low
U0000005,경북대학교,108,0.7129629629629629,0.009259259259259259,0.25925925925925924,0.0,0.0,0.018518518518518517,0.0,0.046296296296296294,low
U0000169,인하대학교,56,0.9464285714285714,0.0,0.03571428571428571,0.0,0.0,0.017857142857142856,0.0,0.04464285714285714,low
U0000014,부산대학교,109,0.7247706422018348,0.10091743119266056,0.14678899082568808,0.0,0.0,0.0,0.027522935779816515,0.04128440366972477,low
U0000030,충북대학교,83,0.8795180722891566,0.012048192771084338,0.0963855421686747,0.0,0.0,0.012048192771084338,0.0,0.030120481927710843,low
U0000078,국민대학교,62,0.5483870967741935,0.016129032258064516,0.41935483870967744,0.0,0.0,0.0,0.016129032258064516,0.024193548387096774,low
U0000023,전남대학교,108,0.7777777777777778,0.0,0.21296296296296297,0.0,0.0,0.009259259259259259,0.0,0.023148148148148147,low
U0000025,전북대학교,121,0.768595041322314,0.0,0.23140495867768596,0.0,0.0,0.0,0.0,0.0,low
U0000070,고려대학교,24,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,low
U0000056,경기대학교,56,0.6071428571428571,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,low
U0000052,건국대학교,50,0.88,0.0,0.12,0.0,0.0,0.0,0.0,0.0,low
U0000140,수원대학교,56,0.30357142857142855,0.07142857142857142,0.625,0.0,0.0,0.0,0.0,0.0,low
U0000100,동국대학교,52,0.7115384615384616,0.11538461538461539,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,low
U0000082,단국대학교,35,0.7428571428571429,0.0,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,low
U0000116,삼육대학교,67,0.23880597014925373,0.0,0.7611940298507462,0.0,0.0,0.0,0.0,0.0,low
