raw_row_id,issue_type,column,rule,univ_id,univ_name_std,raw_section_title,raw_recruitment_unit,raw_recruitment_n,raw_competition_rate,raw_additional_rank,raw_score_70cut,raw_score_max,raw_percentile_70cut,numeric_qa_status
SRC_0000100_2025_0013_T9_R45,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,정보통신공학과,36,4.11,28,,1000,686.41,FAIL
SRC_0000100_2025_0013_T9_R46,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,건설환경공학과,18,5.39,15,,1000,683.30,FAIL
SRC_0000100_2025_0013_T9_R47,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,화공생물공학과,28,4.46,25,,1000,687.23,FAIL
SRC_0000100_2025_0013_T9_R48,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,AI 소프트웨어융합학부 ( 인문 ),8,5.00,4,,1000,689.09,FAIL
SRC_0000100_2025_0013_T9_R49,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,AI 소프트웨어융합학부 ( 자연 ),84,4.04,47,,1000,691.47,FAIL
SRC_0000100_2025_0013_T9_R50,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,조소전공,15,6.27,6,,600,370.96,FAIL
SRC_0000100_2025_0013_T9_R51,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000100,동국대학교,,약학과,12,5.58,5,,1000,735.03,FAIL
SRC_0000005_2025_0022_T7_R0,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,국어국문학과,5,8.8 :1,13,649.38,"1,000",232.30,FAIL
SRC_0000005_2025_0022_T7_R1,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,영어영문학과,14,5.1 :1,14,652.84,"1,000",235.57,FAIL
SRC_0000005_2025_0022_T7_R2,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,사학과,7,7.3 :1,8,647.85,"1,000",233.92,FAIL
SRC_0000005_2025_0022_T7_R3,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,철학과,5,7.8 :1,10,625.71,"1,000",216.83,FAIL
SRC_0000005_2025_0022_T7_R4,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,불어불문학과,6,8.8 :1,4,647.71,"1,000",236.90,FAIL
SRC_0000005_2025_0022_T7_R5,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,독어독문학과,8,7.4 :1,16,646.16,"1,000",229.00,FAIL
SRC_0000005_2025_0022_T7_R6,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,중어중문학과,5,11.8 :1,5,644.76,"1,000",230.70,FAIL
SRC_0000005_2025_0022_T7_R7,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,고고인류학과,5,7.6 :1,7,645.68,"1,000",231.90,FAIL
SRC_0000005_2025_0022_T7_R8,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,일어일문학과,5,10.8 :1,1,653.40,"1,000",239.75,FAIL
SRC_0000005_2025_0022_T7_R9,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,한문학과,6,8.8 :1,8,643.84,"1,000",229.00,FAIL
SRC_0000005_2025_0022_T7_R10,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,노어노문학과,6,10.0 :1,12,646.65,"1,000",230.70,FAIL
SRC_0000005_2025_0022_T7_R11,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,정치외교학과,6,6.8 :1,6,658.15,"1,000",238.33,FAIL
SRC_0000005_2025_0022_T7_R12,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,사회학과,6,8.3 :1,4,649.64,"1,000",240.75,FAIL
SRC_0000005_2025_0022_T7_R13,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,지리학과,6,7.5 :1,12,645.05,"1,000",235.25,FAIL
SRC_0000005_2025_0022_T7_R14,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,문헌정보학과,6,6.2 :1,5,652.58,"1,000",232.50,FAIL
SRC_0000005_2025_0022_T7_R15,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,심리학과,6,7.8 :1,9,657.75,"1,000",239.50,FAIL
SRC_0000005_2025_0022_T7_R16,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,사회복지학부,7,6.6 :1,9,652.75,"1,000",245.64,FAIL
SRC_0000005_2025_0022_T7_R17,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,미디어커뮤니 케이션학과,6,5.7 :1,3,657.15,"1,000",246.00,FAIL
SRC_0000005_2025_0022_T7_R18,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,수학과,9,5.4 :1,10,655.08,"1,000",241.20,FAIL
SRC_0000005_2025_0022_T7_R19,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,물리학과,12,5.1 :1,10,648.42,"1,000",242.75,FAIL
SRC_0000005_2025_0022_T7_R20,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,화학과,9,4.3 :1,9,652.54,"1,000",240.11,FAIL
SRC_0000005_2025_0022_T7_R21,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,생명공학부,16,5.9 :1,17,662.93,"1,000",252.50,FAIL
SRC_0000005_2025_0022_T7_R22,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,생물학과,8,4.9 :1,20,640.51,"1,000",228.50,FAIL
SRC_0000005_2025_0022_T7_R23,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,통계학과,4,5.3 :1,0,657.31,"1,000",246.75,FAIL
SRC_0000005_2025_0022_T7_R24,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,지구시스템과학부,18,5.3 :1,23,647.76,"1,000",238.11,FAIL
SRC_0000005_2025_0022_T7_R25,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,경제통상학부,29,4.5 :1,33,658.06,"1,000",245.91,FAIL
SRC_0000005_2025_0022_T7_R26,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,경영학부,39,4.6 :1,26,662.63,"1,000",250.51,FAIL
SRC_0000005_2025_0022_T7_R27,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,금속재료공학과,9,5.8 :1,5,655.65,"1,000",242.61,FAIL
SRC_0000005_2025_0022_T7_R28,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,신소재공학과,8,6.6 :1,6,665.95,"1,000",252.25,FAIL
SRC_0000005_2025_0022_T7_R29,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,기계공학부,30,4.5 :1,29,665.48,"1,000",252.48,FAIL
SRC_0000005_2025_0022_T7_R30,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,건축학부 ( 건축학전공 ),10,5.9 :1,13,654.92,"1,000",245.45,FAIL
SRC_0000005_2025_0022_T7_R31,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,건축학부 ( 건축공학전공 ),10,5.8 :1,15,652.34,"1,000",240.85,FAIL
SRC_0000005_2025_0022_T7_R32,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,토목공학과,13,5.5 :1,11,654.85,"1,000",244.81,FAIL
SRC_0000005_2025_0022_T7_R33,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,응용화학과,9,6.4 :1,9,658.51,"1,000",250.00,FAIL
SRC_0000005_2025_0022_T7_R34,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,화학공학과,10,5.7 :1,10,672.96,"1,000",255.50,FAIL
SRC_0000005_2025_0022_T7_R35,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,고분자공학과,10,6.0 :1,10,659.69,"1,000",248.00,FAIL
SRC_0000005_2025_0022_T7_R36,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,섬유시스템공학과,8,7.4 :1,13,650.63,"1,000",240.69,FAIL
SRC_0000005_2025_0022_T7_R37,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,환경공학과,8,7.0 :1,10,647.51,"1,000",236.11,FAIL
SRC_0000005_2025_0022_T7_R38,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,에너지공학부,19,4.3 :1,22,660.07,"1,000",246.55,FAIL
SRC_0000005_2025_0022_T7_R39,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,우주공학부,16,6.3 :1,14,654.54,"1,000",243.59,FAIL
SRC_0000005_2025_0022_T7_R40,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,응용생명과학부,13,6.1 :1,14,648.48,"1,000",236.39,FAIL
SRC_0000005_2025_0022_T7_R41,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,식물의학과,7,7.9 :1,12,645.38,"1,000",238.00,FAIL
SRC_0000005_2025_0022_T7_R42,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,식품공학부,21,6.7 :1,32,649.21,"1,000",238.23,FAIL
SRC_0000005_2025_0022_T7_R43,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,산림과학 ㆍ 조경학부,16,7.3 :1,15,647.36,"1,000",235.44,FAIL
SRC_0000005_2025_0022_T7_R44,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,원예과학과,10,8.5 :1,20,641.55,"1,000",231.44,FAIL
SRC_0000005_2025_0022_T7_R45,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,농업토목공학과,6,6.2 :1,4,648.76,"1,000",236.75,FAIL
SRC_0000005_2025_0022_T7_R46,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,스마트생물산업 기계공학과,8,6.4 :1,3,649.31,"1,000",240.28,FAIL
SRC_0000005_2025_0022_T7_R47,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,바이오섬유소재학과,6,8.5 :1,10,647.55,"1,000",237.17,FAIL
SRC_0000005_2025_0022_T7_R48,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,식품자원경제학과,10,6.7 :1,14,643.57,"1,000",231.15,FAIL
SRC_0000005_2025_0022_T7_R49,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,디자인학과 ( 수능 + 실기 ),10,6.4 :1,5,389.27,600,144.70,FAIL
SRC_0000005_2025_0022_T7_R50,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,디자인학과 ( 수능 ),3,15.3 :1,2,708.66,"1,000",177.17,FAIL
SRC_0000005_2025_0022_T7_R51,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,교육학과,4,5.8 :1,2,651.93,"1,000",239.75,FAIL
