year,subgroup,dimension_value,measure_type,value
2017,전체,전체,frequency,375185.0
2017,전체,경영·사무·금융·보험직,frequency,105174.0
2017,전체,연구직 및 공학 기술직,frequency,62362.0
2017,전체,교육·법률·사회복지·경찰·소방직 및 군인,frequency,54075.0
2017,전체,보건·의료직,frequency,43678.0
2017,전체,예술·디자인·방송·스포츠직,frequency,27717.0
2017,전체,미용·여행·숙박·음식·경비·청소직,frequency,27798.0
2017,전체,영업·판매·운전·운송직,frequency,29065.0
2017,전체,건설·채굴직,frequency,1490.0
2017,전체,설치·정비·생산직,frequency,22070.0
2017,전체,농림어업직,frequency,1750.0
2017,전체,전체,share,100.0
2017,전체,경영·사무·금융·보험직,share,28.0
2017,전체,연구직 및 공학 기술직,share,16.6
2017,전체,교육·법률·사회복지·경찰·소방직 및 군인,share,14.4
2017,전체,보건·의료직,share,11.6
2017,전체,예술·디자인·방송·스포츠직,share,7.3
2017,전체,미용·여행·숙박·음식·경비·청소직,share,7.4
2017,전체,영업·판매·운전·운송직,share,7.7
2017,전체,건설·채굴직,share,0.3
2017,전체,설치·정비·생산직,share,5.8
2017,전체,농림어업직,share,0.4
2017,전문대,전체,frequency,127636.0
2017,전문대,경영·사무·금융·보험직,frequency,24428.0
2017,전문대,연구직 및 공학 기술직,frequency,11435.0
2017,전문대,교육·법률·사회복지·경찰·소방직 및 군인,frequency,16942.0
2017,전문대,보건·의료직,frequency,24329.0
2017,전문대,예술·디자인·방송·스포츠직,frequency,8060.0
2017,전문대,미용·여행·숙박·음식·경비·청소직,frequency,16539.0
2017,전문대,영업·판매·운전·운송직,frequency,11440.0
2017,전문대,건설·채굴직,frequency,866.0
2017,전문대,설치·정비·생산직,frequency,12436.0
2017,전문대,농림어업직,frequency,1156.0
2017,전문대,전체,share,100.0
2017,전문대,경영·사무·금융·보험직,share,19.1
2017,전문대,연구직 및 공학 기술직,share,8.9
2017,전문대,교육·법률·사회복지·경찰·소방직 및 군인,share,13.2
2017,전문대,보건·의료직,share,19.0
