year,subgroup,dimension_value,measure_type,value
2007,평균,전체,mean,46.7
2007,평균,1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,mean,47.8
2007,평균,2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,mean,45.9
2007,평균,3. 정부투자기관/정부출연기관/공사합동기업,mean,44.8
2007,평균,"4. (재단, 사단) 법인단체",mean,47.6
2007,평균,"5. 정부기관(공무원, 군인 등)",mean,45.8
2007,평균,"6. 교육기관(대학, 초/중/고 등)",mean,42.0
2007,평균,7. 연구기관(국립/사립),mean,43.2
2007,평균,8. 특정한 회사나 사업체에 소속되어 있지 않다,mean,33.0
2007,평균,9. 기타,mean,40.1
2008,평균,전체,mean,47.1
2008,평균,1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,mean,48.5
2008,평균,2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,mean,46.1
2008,평균,3. 정부투자기관/정부출연기관/공사합동기업,mean,43.9
2008,평균,"4. (재단, 사단) 법인단체",mean,43.6
2008,평균,"5. 정부기관(공무원, 군인 등)",mean,45.2
2008,평균,"6. 교육기관(대학, 초/중/고 등)",mean,44.5
2008,평균,7. 연구기관(국립/사립),mean,46.0
2008,평균,8. 특정한 회사나 사업체에 소속되어 있지 않다,mean,28.4
2008,평균,9. 기타,mean,47.2
2009,평균,전체,mean,46.1
2009,평균,1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,mean,47.1
2009,평균,2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,mean,44.7
2009,평균,3. 정부투자기관/정부출연기관/공사합동기업,mean,43.9
2009,평균,"4. (재단, 사단) 법인단체",mean,44.4
2009,평균,"5. 정부기관(공무원, 군인 등)",mean,44.8
2009,평균,"6. 교육기관(대학, 초/중/고 등)",mean,42.8
2009,평균,7. 연구기관(국립/사립),mean,44.3
2009,평균,8. 특정한 회사나 사업체에 소속되어 있지 않다,mean,37.4
2009,평균,9. 기타,mean,43.5
2010,평균,전체,mean,45.7
2010,평균,1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,mean,47.1
2010,평균,2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,mean,45.7
2010,평균,3. 정부투자기관/정부출연기관/공사합동기업,mean,43.5
2010,평균,"4. (재단, 사단) 법인단체",mean,43.5
2010,평균,"5. 정부기관(공무원, 군인 등)",mean,44.3
2010,평균,"6. 교육기관(대학, 초/중/고 등)",mean,42.2
2010,평균,7. 연구기관(국립/사립),mean,44.7
2010,평균,8. 특정한 회사나 사업체에 소속되어 있지 않다,mean,29.3
