year,subgroup,dimension_value,measure_type,value
2007,전체,전체,frequency,498699.0
2007,전체,남자,frequency,249657.0
2007,전체,여자,frequency,249041.0
2007,전체,전체,share,100.0
2007,전체,남자,share,50.0
2007,전체,여자,share,49.9
2007,취업자,전체,frequency,390379.0
2007,취업자,남자,frequency,200119.0
2007,취업자,여자,frequency,190259.0
2007,취업자,전체,share,100.0
2007,취업자,남자,share,51.2
2007,취업자,여자,share,48.7
2007,실업자,전체,frequency,32677.0
2007,실업자,남자,frequency,16118.0
2007,실업자,여자,frequency,16558.0
2007,실업자,전체,share,100.0
2007,실업자,남자,share,49.3
2007,실업자,여자,share,50.6
2007,비경활,전체,frequency,75643.0
2007,비경활,남자,frequency,33419.0
2007,비경활,여자,frequency,42223.0
2007,비경활,전체,share,100.0
2007,비경활,남자,share,44.1
2007,비경활,여자,share,55.8
2008,전체,전체,frequency,497374.0
2008,전체,남자,frequency,245741.0
2008,전체,여자,frequency,251632.0
2008,전체,전체,share,100.0
2008,전체,남자,share,49.4
2008,전체,여자,share,50.5
2008,취업자,전체,frequency,392483.0
2008,취업자,남자,frequency,197196.0
2008,취업자,여자,frequency,195287.0
2008,취업자,전체,share,100.0
2008,취업자,남자,share,50.2
2008,취업자,여자,share,49.7
2008,실업자,전체,frequency,31172.0
2008,실업자,남자,frequency,15287.0
2008,실업자,여자,frequency,15884.0
2008,실업자,전체,share,100.0
2008,실업자,남자,share,49.0
2008,실업자,여자,share,50.9
2008,비경활,전체,frequency,73718.0
2008,비경활,남자,frequency,33257.0
2008,비경활,여자,frequency,40460.0
2008,비경활,전체,share,100.0
2008,비경활,남자,share,45.1
2008,비경활,여자,share,54.8
2009,전체,전체,frequency,480193.0
2009,전체,남자,frequency,234220.0
2009,전체,여자,frequency,245973.0
2009,전체,전체,share,100.0
2009,전체,남자,share,48.7
2009,전체,여자,share,51.2
2009,취업자,전체,frequency,360293.0
2009,취업자,남자,frequency,180583.0
2009,취업자,여자,frequency,179710.0
2009,취업자,전체,share,100.0
2009,취업자,남자,share,50.1
2009,취업자,여자,share,49.8
2009,실업자,전체,frequency,34966.0
2009,실업자,남자,frequency,16299.0
2009,실업자,여자,frequency,18666.0
2009,실업자,전체,share,100.0
2009,실업자,남자,share,46.6
2009,실업자,여자,share,53.3
2009,비경활,전체,frequency,84932.0
2009,비경활,남자,frequency,37336.0
2009,비경활,여자,frequency,47595.0
2009,비경활,전체,share,100.0
2009,비경활,남자,share,43.9
2009,비경활,여자,share,56.0
2010,전체,전체,frequency,470558.0
2010,전체,남자,frequency,226208.0
2010,전체,여자,frequency,244350.0
2010,전체,전체,share,100.0
2010,전체,남자,share,48.0
2010,전체,여자,share,51.9
2010,취업자,전체,frequency,376517.0
2010,취업자,남자,frequency,185259.0
2010,취업자,여자,frequency,191258.0
2010,취업자,전체,share,100.0
2010,취업자,남자,share,49.2
2010,취업자,여자,share,50.7
2010,실업자,전체,frequency,25686.0
2010,실업자,남자,frequency,12265.0
2010,실업자,여자,frequency,13421.0
2010,실업자,전체,share,100.0
2010,실업자,남자,share,47.7
2010,실업자,여자,share,52.2
2010,비경활,전체,frequency,68353.0
2010,비경활,남자,frequency,28683.0
2010,비경활,여자,frequency,39670.0
2010,비경활,전체,share,100.0
2010,비경활,남자,share,41.9
2010,비경활,여자,share,58.0
2011,전체,전체,frequency,479477.0
2011,전체,남자,frequency,232600.0
2011,전체,여자,frequency,246877.0
2011,전체,전체,share,100.0
2011,전체,남자,share,48.5
2011,전체,여자,share,51.4
2011,취업자,전체,frequency,380969.0
2011,취업자,남자,frequency,189682.0
2011,취업자,여자,frequency,191287.0
2011,취업자,전체,share,100.0
2011,취업자,남자,share,49.7
2011,취업자,여자,share,50.2
2011,실업자,전체,frequency,27808.0
2011,실업자,남자,frequency,13432.0
2011,실업자,여자,frequency,14376.0
2011,실업자,전체,share,100.0
2011,실업자,남자,share,48.3
2011,실업자,여자,share,51.6
2011,비경활,전체,frequency,70699.0
2011,비경활,남자,frequency,29486.0
2011,비경활,여자,frequency,41213.0
2011,비경활,전체,share,100.0
2011,비경활,남자,share,41.7
2011,비경활,여자,share,58.2
2012,전체,전체,frequency,502886.0
2012,전체,남자,frequency,244326.0
2012,전체,여자,frequency,258559.0
2012,전체,전체,share,100.0
2012,전체,남자,share,48.5
2012,전체,여자,share,51.4
2012,취업자,전체,frequency,381658.0
2012,취업자,남자,frequency,189166.0
2012,취업자,여자,frequency,192491.0
2012,취업자,전체,share,100.0
2012,취업자,남자,share,49.5
2012,취업자,여자,share,50.4
2012,실업자,전체,frequency,32710.0
2012,실업자,남자,frequency,15722.0
2012,실업자,여자,frequency,16988.0
2012,실업자,전체,share,100.0
2012,실업자,남자,share,48.0
2012,실업자,여자,share,51.9
2012,비경활,전체,frequency,88516.0
2012,비경활,남자,frequency,39437.0
2012,비경활,여자,frequency,49079.0
2012,비경활,전체,share,100.0
2012,비경활,남자,share,44.5
2012,비경활,여자,share,55.4
2013,전체,전체,frequency,491765.0
2013,전체,남자,frequency,236894.0
2013,전체,여자,frequency,254871.0
2013,전체,전체,share,100.0
2013,전체,남자,share,48.1
2013,전체,여자,share,51.8
2013,취업자,전체,frequency,362334.0
2013,취업자,남자,frequency,177563.0
2013,취업자,여자,frequency,184771.0
2013,취업자,전체,share,100.0
2013,취업자,남자,share,49.0
2013,취업자,여자,share,50.9
2013,실업자,전체,frequency,36556.0
2013,실업자,남자,frequency,17858.0
2013,실업자,여자,frequency,18698.0
2013,실업자,전체,share,100.0
2013,실업자,남자,share,48.8
2013,실업자,여자,share,51.1
2013,비경활,전체,frequency,92873.0
2013,비경활,남자,frequency,41472.0
2013,비경활,여자,frequency,51401.0
2013,비경활,전체,share,100.0
2013,비경활,남자,share,44.6
2013,비경활,여자,share,55.3
2014,전체,전체,frequency,494323.0
2014,전체,남자,frequency,236577.0
2014,전체,여자,frequency,257746.0
2014,전체,전체,share,100.0
2014,전체,남자,share,47.8
2014,전체,여자,share,52.1
2014,취업자,전체,frequency,370281.0
2014,취업자,남자,frequency,180428.0
2014,취업자,여자,frequency,189853.0
2014,취업자,전체,share,100.0
2014,취업자,남자,share,48.7
2014,취업자,여자,share,51.2
2014,실업자,전체,frequency,35655.0
2014,실업자,남자,frequency,15760.0
2014,실업자,여자,frequency,19894.0
2014,실업자,전체,share,100.0
2014,실업자,남자,share,44.2
2014,실업자,여자,share,55.7
2014,비경활,전체,frequency,88387.0
2014,비경활,남자,frequency,40389.0
2014,비경활,여자,frequency,47997.0
2014,비경활,전체,share,100.0
2014,비경활,남자,share,45.6
2014,비경활,여자,share,54.3
2015,전체,전체,frequency,515320.0
2015,전체,남자,frequency,248382.0
2015,전체,여자,frequency,266937.0
2015,전체,전체,share,100.0
2015,전체,남자,share,48.1
2015,전체,여자,share,51.8
2015,취업자,전체,frequency,380947.0
2015,취업자,남자,frequency,186442.0
2015,취업자,여자,frequency,194504.0
2015,취업자,전체,share,100.0
2015,취업자,남자,share,48.9
2015,취업자,여자,share,51.0
2015,실업자,전체,frequency,35304.0
2015,실업자,남자,frequency,17505.0
2015,실업자,여자,frequency,17798.0
2015,실업자,전체,share,100.0
2015,실업자,남자,share,49.5
2015,실업자,여자,share,50.4
2015,비경활,전체,frequency,99068.0
2015,비경활,남자,frequency,44434.0
2015,비경활,여자,frequency,54634.0
2015,비경활,전체,share,100.0
2015,비경활,남자,share,44.8
2015,비경활,여자,share,55.1
2016,전체,전체,frequency,520547.0
2016,전체,남자,frequency,250575.0
2016,전체,여자,frequency,269971.0
2016,전체,전체,share,100.0
2016,전체,남자,share,48.1
2016,전체,여자,share,51.8
2016,취업자,전체,frequency,388305.0
2016,취업자,남자,frequency,190008.0
2016,취업자,여자,frequency,198296.0
2016,취업자,전체,share,100.0
2016,취업자,남자,share,48.9
2016,취업자,여자,share,51.0
2016,실업자,전체,frequency,38016.0
2016,실업자,남자,frequency,18518.0
2016,실업자,여자,frequency,19497.0
2016,실업자,전체,share,100.0
2016,실업자,남자,share,48.7
2016,실업자,여자,share,51.2
2016,비경활,전체,frequency,94225.0
2016,비경활,남자,frequency,42048.0
2016,비경활,여자,frequency,52176.0
2016,비경활,전체,share,100.0
2016,비경활,남자,share,44.6
2016,비경활,여자,share,55.3
2017,전체,전체,frequency,512169.0
2017,전체,남자,frequency,246068.0
2017,전체,여자,frequency,266100.0
2017,전체,전체,share,100.0
2017,전체,남자,share,48.0
2017,전체,여자,share,51.9
2017,취업자,전체,frequency,375557.0
2017,취업자,남자,frequency,183726.0
2017,취업자,여자,frequency,191831.0
2017,취업자,전체,share,100.0
2017,취업자,남자,share,48.9
2017,취업자,여자,share,51.0
2017,실업자,전체,frequency,42899.0
2017,실업자,남자,frequency,19363.0
2017,실업자,여자,frequency,23535.0
2017,실업자,전체,share,100.0
2017,실업자,남자,share,45.1
2017,실업자,여자,share,54.8
2017,비경활,전체,frequency,93712.0
2017,비경활,남자,frequency,42979.0
2017,비경활,여자,frequency,50733.0
2017,비경활,전체,share,100.0
2017,비경활,남자,share,45.8
2017,비경활,여자,share,54.1
2018,전체,전체,frequency,494334.0
2018,전체,남자,frequency,238805.0
2018,전체,여자,frequency,255529.0
2018,전체,전체,share,100.0
2018,전체,남자,share,48.3
2018,전체,여자,share,51.6
2018,취업자,전체,frequency,364901.0
2018,취업자,남자,frequency,180336.0
2018,취업자,여자,frequency,184565.0
2018,취업자,전체,share,100.0
2018,취업자,남자,share,49.4
2018,취업자,여자,share,50.5
2018,실업자,전체,frequency,39285.0
2018,실업자,남자,frequency,18090.0
2018,실업자,여자,frequency,21195.0
2018,실업자,전체,share,100.0
2018,실업자,남자,share,46.0
2018,실업자,여자,share,53.9
2018,비경활,전체,frequency,90146.0
2018,비경활,남자,frequency,40378.0
2018,비경활,여자,frequency,49768.0
2018,비경활,전체,share,100.0
2018,비경활,남자,share,44.7
2018,비경활,여자,share,55.2
2019,전체,전체,frequency,486912.0
2019,전체,남자,frequency,236689.0
2019,전체,여자,frequency,250222.0
2019,전체,전체,share,100.0
2019,전체,남자,share,48.6
2019,전체,여자,share,51.3
2019,취업자,전체,frequency,324469.0
2019,취업자,남자,frequency,160331.0
2019,취업자,여자,frequency,164138.0
2019,취업자,전체,share,100.0
2019,취업자,남자,share,49.4
2019,취업자,여자,share,50.5
2019,실업자,전체,frequency,52340.0
2019,실업자,남자,frequency,26393.0
2019,실업자,여자,frequency,25947.0
2019,실업자,전체,share,100.0
2019,실업자,남자,share,50.4
2019,실업자,여자,share,49.5
2019,비경활,전체,frequency,110102.0
2019,비경활,남자,frequency,49965.0
2019,비경활,여자,frequency,60137.0
2019,비경활,전체,share,100.0
2019,비경활,남자,share,45.3
2019,비경활,여자,share,54.6
