year,subgroup,dimension_value,measure_type,value
2007,평균,전체,mean,46.7
2007,평균,1. 상용근로자,mean,48.1
2007,평균,2. 임시근로자,mean,37.9
2007,평균,3. 일용근로자,mean,38.7
2007,평균,4. 고용원이 있는 자영업자,mean,54.6
2007,평균,5. 고용원이 없는 자영업자,mean,41.2
2007,평균,6. 무급가족종사자,mean,50.0
2008,평균,전체,mean,47.1
2008,평균,1. 상용근로자,mean,48.3
2008,평균,2. 임시근로자,mean,39.3
2008,평균,3. 일용근로자,mean,36.7
2008,평균,4. 고용원이 있는 자영업자,mean,57.1
2008,평균,5. 고용원이 없는 자영업자,mean,39.2
2008,평균,6. 무급가족종사자,mean,36.3
2009,평균,전체,mean,46.2
2009,평균,1. 상용근로자,mean,46.8
2009,평균,2. 임시근로자,mean,40.1
2009,평균,3. 일용근로자,mean,38.1
2009,평균,4. 고용원이 있는 자영업자,mean,54.6
2009,평균,5. 고용원이 없는 자영업자,mean,41.7
2009,평균,6. 무급가족종사자,mean,47.5
2010,평균,전체,mean,45.7
2010,평균,1. 상용근로자,mean,47.0
2010,평균,2. 임시근로자,mean,38.0
2010,평균,3. 일용근로자,mean,33.7
2010,평균,4. 고용원이 있는 자영업자,mean,55.3
2010,평균,5. 고용원이 없는 자영업자,mean,36.7
2010,평균,6. 무급가족종사자,mean,41.8
2011,평균,전체,mean,45.3
2011,평균,1. 상용근로자,mean,46.7
2011,평균,2. 임시근로자,mean,38.9
2011,평균,3. 일용근로자,mean,33.7
2011,평균,4. 고용원이 있는 자영업자,mean,52.5
2011,평균,5. 고용원이 없는 자영업자,mean,39.4
2011,평균,6. 무급가족종사자,mean,54.5
2012,평균,전체,mean,44.5
2012,평균,1. 상용근로자,mean,46.0
2012,평균,2. 임시근로자,mean,38.1
2012,평균,3. 일용근로자,mean,30.6
2012,평균,4. 고용원이 있는 자영업자,mean,51.8
2012,평균,5. 고용원이 없는 자영업자,mean,39.1
2012,평균,6. 무급가족종사자,mean,48.8
2013,평균,전체,mean,45.1
2013,평균,1. 상용근로자,mean,46.5
2013,평균,2. 임시근로자,mean,38.3
2013,평균,3. 일용근로자,mean,29.6
2013,평균,4. 고용원이 있는 자영업자,mean,50.5
2013,평균,5. 고용원이 없는 자영업자,mean,37.4
2013,평균,6. 무급가족종사자,mean,48.9
2014,평균,전체,mean,44.6
2014,평균,1. 상용근로자,mean,46.5
2014,평균,2. 임시근로자,mean,38.5
2014,평균,3. 일용근로자,mean,31.3
2014,평균,4. 고용원이 있는 자영업자,mean,47.3
2014,평균,5. 고용원이 없는 자영업자,mean,33.7
2014,평균,6. 무급가족종사자,mean,44.4
2015,평균,전체,mean,44.0
2015,평균,1. 상용근로자,mean,45.6
2015,평균,2. 임시근로자,mean,37.6
2015,평균,3. 일용근로자,mean,30.0
2015,평균,4. 고용원이 있는 자영업자,mean,49.1
2015,평균,5. 고용원이 없는 자영업자,mean,39.3
2015,평균,6. 무급가족종사자,mean,46.3
2016,평균,전체,mean,43.9
2016,평균,1. 상용근로자,mean,45.8
2016,평균,2. 임시근로자,mean,36.5
2016,평균,3. 일용근로자,mean,29.5
2016,평균,4. 고용원이 있는 자영업자,mean,50.1
2016,평균,5. 고용원이 없는 자영업자,mean,37.9
2016,평균,6. 무급가족종사자,mean,43.6
2017,평균,전체,mean,43.1
2017,평균,1. 상용근로자,mean,45.1
2017,평균,2. 임시근로자,mean,35.3
2017,평균,3. 일용근로자,mean,27.0
2017,평균,4. 고용원이 있는 자영업자,mean,52.3
2017,평균,5. 고용원이 없는 자영업자,mean,39.0
2017,평균,6. 무급가족종사자,mean,41.9
2018,평균,전체,mean,42.1
2018,평균,1. 상용근로자,mean,44.0
2018,평균,2. 임시근로자,mean,33.3
2018,평균,3. 일용근로자,mean,25.0
2018,평균,4. 고용원이 있는 자영업자,mean,47.7
2018,평균,5. 고용원이 없는 자영업자,mean,40.1
2018,평균,6. 무급가족종사자,mean,45.1
2019,평균,전체,mean,41.9
2019,평균,1. 상용근로자,mean,44.1
2019,평균,2. 임시근로자,mean,33.0
2019,평균,3. 일용근로자,mean,25.6
2019,평균,4. 고용원이 있는 자영업자,mean,48.4
2019,평균,5. 고용원이 없는 자영업자,mean,38.8
2019,평균,6. 무급가족종사자,mean,39.0
