year,subgroup,dimension_value,measure_type,value
2007,평균,전체,mean,46.8
2007,평균,관리직,mean,47.7
2007,평균,경영·회계·사무 관련직,mean,46.2
2007,평균,금융·보험 관련직,mean,47.4
2007,평균,교육 및 자연과학·사회과학 연구관련직,mean,37.1
2007,평균,법률·경찰·소방·교도 관련직,mean,50.7
2007,평균,보건·의료 관련직,mean,50.0
2007,평균,사회복지 및 종교 관련직,mean,44.3
2007,평균,문화·예술·디자인·방송 관련직,mean,47.7
2007,평균,운전 및 운송 관련직,mean,51.2
2007,평균,영업 및 판매 관련직,mean,48.9
2007,평균,경비 및 청소 관련직,mean,46.1
2007,평균,미용·숙박·여행·오락 스포츠 관련직,mean,47.0
2007,평균,음식서비스 관련직,mean,52.1
2007,평균,건설 관련직,mean,52.4
2007,평균,기계 관련직,mean,50.5
2007,평균,재료관련직,mean,51.3
2007,평균,화학 관련직,mean,47.8
2007,평균,섬유 및 의복 관련직,mean,48.5
2007,평균,전기·전자 관련직,mean,48.9
2007,평균,정보통신 관련직,mean,48.6
2007,평균,식품가공 관련직,mean,50.4
2007,평균,환경·인쇄·목재·가구·공예 및 생산단순직,mean,48.9
2007,평균,농림어업 관련직,mean,49.6
2007,평균,군인,mean,51.0
2008,평균,전체,mean,47.1
2008,평균,관리직,mean,49.5
2008,평균,경영·회계·사무 관련직,mean,46.4
2008,평균,금융·보험 관련직,mean,47.7
2008,평균,교육 및 자연과학·사회과학 연구관련직,mean,39.7
2008,평균,법률·경찰·소방·교도 관련직,mean,52.3
2008,평균,보건·의료 관련직,mean,50.3
2008,평균,사회복지 및 종교 관련직,mean,45.2
2008,평균,문화·예술·디자인·방송 관련직,mean,47.3
2008,평균,운전 및 운송 관련직,mean,49.2
2008,평균,영업 및 판매 관련직,mean,49.6
2008,평균,경비 및 청소 관련직,mean,46.8
2008,평균,미용·숙박·여행·오락 스포츠 관련직,mean,47.7
2008,평균,음식서비스 관련직,mean,52.1
2008,평균,건설 관련직,mean,53.0
2008,평균,기계 관련직,mean,50.9
2008,평균,재료관련직,mean,50.0
2008,평균,화학 관련직,mean,48.6
2008,평균,섬유 및 의복 관련직,mean,49.9
2008,평균,전기·전자 관련직,mean,50.5
2008,평균,정보통신 관련직,mean,48.8
2008,평균,식품가공 관련직,mean,53.0
2008,평균,환경·인쇄·목재·가구·공예 및 생산단순직,mean,48.9
2008,평균,농림어업 관련직,mean,57.1
2008,평균,군인,mean,51.6
2009,평균,전체,mean,46.1
2009,평균,관리직,mean,49.3
2009,평균,경영·회계·사무 관련직,mean,45.5
2009,평균,금융·보험 관련직,mean,46.5
2009,평균,교육 및 자연과학·사회과학 연구관련직,mean,39.6
2009,평균,법률·경찰·소방·교도 관련직,mean,48.5
2009,평균,보건·의료 관련직,mean,48.7
2009,평균,사회복지 및 종교 관련직,mean,44.1
2009,평균,문화·예술·디자인·방송 관련직,mean,47.3
2009,평균,운전 및 운송 관련직,mean,49.6
2009,평균,영업 및 판매 관련직,mean,48.7
2009,평균,경비 및 청소 관련직,mean,48.9
2009,평균,미용·숙박·여행·오락 스포츠 관련직,mean,48.2
2009,평균,음식서비스 관련직,mean,52.5
2009,평균,건설 관련직,mean,49.7
2009,평균,기계 관련직,mean,48.7
2009,평균,재료관련직,mean,46.8
2009,평균,화학 관련직,mean,46.1
2009,평균,섬유 및 의복 관련직,mean,49.8
2009,평균,전기·전자 관련직,mean,47.4
2009,평균,정보통신 관련직,mean,46.8
2009,평균,식품가공 관련직,mean,50.3
2009,평균,환경·인쇄·목재·가구·공예 및 생산단순직,mean,47.0
2009,평균,농림어업 관련직,mean,54.4
2009,평균,군인,mean,48.8
2010,평균,전체,mean,45.7
2010,평균,관리직,mean,51.9
2010,평균,경영·회계·사무 관련직,mean,45.3
2010,평균,금융·보험 관련직,mean,46.8
2010,평균,교육 및 자연과학·사회과학 연구관련직,mean,38.5
2010,평균,법률·경찰·소방·교도 관련직,mean,49.5
2010,평균,보건·의료 관련직,mean,46.9
2010,평균,사회복지 및 종교 관련직,mean,43.3
2010,평균,문화·예술·디자인·방송 관련직,mean,47.0
2010,평균,운전 및 운송 관련직,mean,49.5
2010,평균,영업 및 판매 관련직,mean,48.3
2010,평균,경비 및 청소 관련직,mean,46.8
2010,평균,미용·숙박·여행·오락 스포츠 관련직,mean,47.3
2010,평균,음식서비스 관련직,mean,49.4
2010,평균,건설 관련직,mean,51.0
2010,평균,기계 관련직,mean,49.9
2010,평균,재료관련직,mean,49.3
2010,평균,화학 관련직,mean,46.6
2010,평균,섬유 및 의복 관련직,mean,48.7
2010,평균,전기·전자 관련직,mean,49.5
2010,평균,정보통신 관련직,mean,47.2
2010,평균,식품가공 관련직,mean,50.8
2010,평균,환경·인쇄·목재·가구·공예 및 생산단순직,mean,47.2
2010,평균,농림어업 관련직,mean,45.6
2010,평균,군인,mean,48.9
2011,평균,전체,mean,45.3
2011,평균,관리직,mean,46.4
2011,평균,경영·회계·사무 관련직,mean,45.2
2011,평균,금융·보험 관련직,mean,46.6
2011,평균,교육 및 자연과학·사회과학 연구관련직,mean,38.7
2011,평균,법률·경찰·소방·교도 관련직,mean,50.2
2011,평균,보건·의료 관련직,mean,47.4
2011,평균,사회복지 및 종교 관련직,mean,42.4
2011,평균,문화·예술·디자인·방송 관련직,mean,46.0
2011,평균,운전 및 운송 관련직,mean,49.0
2011,평균,영업 및 판매 관련직,mean,47.9
2011,평균,경비 및 청소 관련직,mean,45.4
2011,평균,미용·숙박·여행·오락 스포츠 관련직,mean,45.2
2011,평균,음식서비스 관련직,mean,48.3
2011,평균,건설 관련직,mean,49.3
2011,평균,기계 관련직,mean,49.2
2011,평균,재료관련직,mean,49.4
2011,평균,화학 관련직,mean,46.7
2011,평균,섬유 및 의복 관련직,mean,49.0
2011,평균,전기·전자 관련직,mean,48.2
2011,평균,정보통신 관련직,mean,46.3
2011,평균,식품가공 관련직,mean,48.9
2011,평균,환경·인쇄·목재·가구·공예 및 생산단순직,mean,46.8
2011,평균,농림어업 관련직,mean,52.2
2011,평균,군인,mean,48.7
2012,평균,전체,mean,44.6
2012,평균,관리직,mean,48.3
2012,평균,경영·회계·사무 관련직,mean,44.6
2012,평균,금융·보험 관련직,mean,45.1
2012,평균,교육 및 자연과학·사회과학 연구관련직,mean,37.4
2012,평균,법률·경찰·소방·교도 관련직,mean,47.9
2012,평균,보건·의료 관련직,mean,47.3
2012,평균,사회복지 및 종교 관련직,mean,42.0
2012,평균,문화·예술·디자인·방송 관련직,mean,45.1
2012,평균,운전 및 운송 관련직,mean,47.0
2012,평균,영업 및 판매 관련직,mean,46.6
2012,평균,경비 및 청소 관련직,mean,47.0
