year,subgroup,dimension_value,measure_type,value
2017,평균,전체,mean,227.2
2017,평균,경영·사무·금융·보험직,mean,244.3
2017,평균,연구직 및 공학 기술직,mean,237.9
2017,평균,교육·법률·사회복지·경찰·소방직 및 군인,mean,193.8
2017,평균,보건·의료직,mean,249.8
2017,평균,예술·디자인·방송·스포츠직,mean,197.5
2017,평균,미용·여행·숙박·음식·경비·청소직,mean,154.3
2017,평균,영업·판매·운전·운송직,mean,225.7
2017,평균,건설·채굴직,mean,278.9
2017,평균,설치·정비·생산직,mean,263.5
2017,평균,농림어업직,mean,269.8
2018,평균,전체,mean,235.7
2018,평균,경영·사무·금융·보험직,mean,251.2
2018,평균,연구직 및 공학 기술직,mean,244.2
2018,평균,교육·법률·사회복지·경찰·소방직 및 군인,mean,203.0
2018,평균,보건·의료직,mean,268.6
2018,평균,예술·디자인·방송·스포츠직,mean,208.6
2018,평균,미용·여행·숙박·음식·경비·청소직,mean,161.7
2018,평균,영업·판매·운전·운송직,mean,226.5
2018,평균,건설·채굴직,mean,256.7
2018,평균,설치·정비·생산직,mean,274.3
2018,평균,농림어업직,mean,328.8
2019,평균,전체,mean,236.4
2019,평균,경영·사무·금융·보험직,mean,246.1
2019,평균,연구직 및 공학 기술직,mean,259.2
2019,평균,교육·법률·사회복지·경찰·소방직 및 군인,mean,205.9
2019,평균,보건·의료직,mean,274.1
2019,평균,예술·디자인·방송·스포츠직,mean,215.5
2019,평균,미용·여행·숙박·음식·경비·청소직,mean,148.3
2019,평균,영업·판매·운전·운송직,mean,206.6
2019,평균,건설·채굴직,mean,302.7
2019,평균,설치·정비·생산직,mean,273.6
2019,평균,농림어업직,mean,249.6
