year,subgroup,dimension_value,measure_type,value
2007,평균,전체,mean,195.8
2007,평균,전문대,mean,182.6
2007,평균,4년제,mean,201.7
2007,평균,교육대,mean,198.1
2008,평균,전체,mean,188.9
2008,평균,전문대,mean,172.3
2008,평균,4년제,mean,195.5
2008,평균,교육대,mean,206.4
2009,평균,전체,mean,190.0
2009,평균,전문대,mean,173.1
2009,평균,4년제,mean,199.9
2009,평균,교육대,mean,197.5
2010,평균,전체,mean,198.1
2010,평균,전문대,mean,186.1
2010,평균,4년제,mean,203.7
2010,평균,교육대,mean,203.2
2011,평균,전체,mean,206.5
2011,평균,전문대,mean,187.8
2011,평균,4년제,mean,215.1
2011,평균,교육대,mean,209.1
2012,평균,전체,mean,202.8
2012,평균,전문대,mean,185.5
2012,평균,4년제,mean,210.6
2012,평균,교육대,mean,212.5
2013,평균,전체,mean,204.6
2013,평균,전문대,mean,185.0
2013,평균,4년제,mean,213.4
2013,평균,교육대,mean,209.6
2014,평균,전체,mean,205.2
2014,평균,전문대,mean,186.4
2014,평균,4년제,mean,213.1
2014,평균,교육대,mean,217.6
2015,평균,전체,mean,207.9
2015,평균,전문대,mean,191.5
2015,평균,4년제,mean,213.9
2015,평균,교육대,mean,219.3
2016,평균,전체,mean,217.0
2016,평균,전문대,mean,201.6
2016,평균,4년제,mean,222.2
2016,평균,교육대,mean,229.8
2017,평균,전체,mean,227.2
2017,평균,전문대,mean,209.8
2017,평균,4년제,mean,231.7
2017,평균,교육대,mean,233.4
2018,평균,전체,mean,235.7
2018,평균,전문대,mean,220.1
2018,평균,4년제,mean,239.9
2018,평균,교육대,mean,238.3
2019,평균,전체,mean,242.6
2019,평균,전문대,mean,214.9
2019,평균,4년제,mean,250.4
2019,평균,교육대,mean,248.3
