year,subgroup,dimension_value,measure_type,value
2007,평균,전체,mean,196.5
2007,평균,1. 상용근로자,mean,203.9
2007,평균,2. 임시근로자,mean,123.3
2007,평균,3. 일용근로자,mean,105.1
2007,평균,4. 고용원이 있는 자영업자,mean,352.9
2007,평균,5. 고용원이 없는 자영업자,mean,206.0
2007,평균,6. 무급가족종사자,mean,130.0
2008,평균,전체,mean,188.9
2008,평균,1. 상용근로자,mean,196.5
2008,평균,2. 임시근로자,mean,113.4
2008,평균,3. 일용근로자,mean,95.0
2008,평균,4. 고용원이 있는 자영업자,mean,382.0
2008,평균,5. 고용원이 없는 자영업자,mean,178.0
2008,평균,6. 무급가족종사자,mean,26.7
2009,평균,전체,mean,192.5
2009,평균,1. 상용근로자,mean,196.1
2009,평균,2. 임시근로자,mean,121.3
2009,평균,3. 일용근로자,mean,106.7
2009,평균,4. 고용원이 있는 자영업자,mean,360.2
2009,평균,5. 고용원이 없는 자영업자,mean,202.4
2009,평균,6. 무급가족종사자,mean,0.0
2010,평균,전체,mean,198.3
2010,평균,1. 상용근로자,mean,206.9
2010,평균,2. 임시근로자,mean,110.1
2010,평균,3. 일용근로자,mean,108.9
2010,평균,4. 고용원이 있는 자영업자,mean,418.0
2010,평균,5. 고용원이 없는 자영업자,mean,194.5
2010,평균,6. 무급가족종사자,mean,0.0
2011,평균,전체,mean,206.5
2011,평균,1. 상용근로자,mean,219.6
2011,평균,2. 임시근로자,mean,123.4
2011,평균,3. 일용근로자,mean,132.6
2011,평균,4. 고용원이 있는 자영업자,mean,378.6
2011,평균,5. 고용원이 없는 자영업자,mean,204.8
2011,평균,6. 무급가족종사자,mean,0.0
2012,평균,전체,mean,205.1
2012,평균,1. 상용근로자,mean,217.8
2012,평균,2. 임시근로자,mean,132.3
2012,평균,3. 일용근로자,mean,101.4
2012,평균,4. 고용원이 있는 자영업자,mean,401.9
2012,평균,5. 고용원이 없는 자영업자,mean,193.6
2012,평균,6. 무급가족종사자,mean,5.4
2013,평균,전체,mean,205.3
2013,평균,1. 상용근로자,mean,215.4
2013,평균,2. 임시근로자,mean,126.1
2013,평균,3. 일용근로자,mean,97.7
2013,평균,4. 고용원이 있는 자영업자,mean,402.4
2013,평균,5. 고용원이 없는 자영업자,mean,189.3
2013,평균,6. 무급가족종사자,mean,0.0
2014,평균,전체,mean,205.3
2014,평균,1. 상용근로자,mean,219.0
2014,평균,2. 임시근로자,mean,137.0
2014,평균,3. 일용근로자,mean,109.7
2014,평균,4. 고용원이 있는 자영업자,mean,334.5
2014,평균,5. 고용원이 없는 자영업자,mean,193.6
2014,평균,6. 무급가족종사자,mean,0.0
2015,평균,전체,mean,208.1
2015,평균,1. 상용근로자,mean,220.2
2015,평균,2. 임시근로자,mean,137.7
2015,평균,3. 일용근로자,mean,107.3
2015,평균,4. 고용원이 있는 자영업자,mean,362.5
2015,평균,5. 고용원이 없는 자영업자,mean,218.9
2015,평균,6. 무급가족종사자,mean,0.0
2016,평균,전체,mean,217.0
2016,평균,1. 상용근로자,mean,233.1
2016,평균,2. 임시근로자,mean,135.9
2016,평균,3. 일용근로자,mean,112.8
2016,평균,4. 고용원이 있는 자영업자,mean,397.2
2016,평균,5. 고용원이 없는 자영업자,mean,199.2
2016,평균,6. 무급가족종사자,mean,0.0
2017,평균,전체,mean,227.2
2017,평균,1. 상용근로자,mean,245.5
2017,평균,2. 임시근로자,mean,135.7
2017,평균,3. 일용근로자,mean,109.0
2017,평균,4. 고용원이 있는 자영업자,mean,444.9
2017,평균,5. 고용원이 없는 자영업자,mean,191.6
2017,평균,6. 무급가족종사자,mean,0.0
2018,평균,전체,mean,235.7
2018,평균,1. 상용근로자,mean,253.4
2018,평균,2. 임시근로자,mean,136.4
2018,평균,3. 일용근로자,mean,116.5
2018,평균,4. 고용원이 있는 자영업자,mean,396.5
2018,평균,5. 고용원이 없는 자영업자,mean,230.6
2018,평균,6. 무급가족종사자,mean,0.0
2019,평균,전체,mean,242.6
2019,평균,1. 상용근로자,mean,264.6
2019,평균,2. 임시근로자,mean,146.3
2019,평균,3. 일용근로자,mean,117.3
2019,평균,4. 고용원이 있는 자영업자,mean,461.8
2019,평균,5. 고용원이 없는 자영업자,mean,196.0
2019,평균,6. 무급가족종사자,mean,0.0
