year,subgroup,dimension_value,measure_type,value
2007,전체,전체,frequency,389163.0
2007,전체,1. 1～4명,frequency,53787.0
2007,전체,2. 5～9명,frequency,48777.0
2007,전체,3. 10～29명,frequency,77506.0
2007,전체,4. 30～49명,frequency,36015.0
2007,전체,5. 50～99명,frequency,42443.0
2007,전체,6. 100～299명,frequency,49225.0
2007,전체,7. 300～499명,frequency,18969.0
2007,전체,8. 500～999명,frequency,19846.0
2007,전체,"9. 1,000명 이상",frequency,42590.0
2007,전체,전체,share,100.0
2007,전체,1. 1～4명,share,13.8
2007,전체,2. 5～9명,share,12.5
2007,전체,3. 10～29명,share,19.9
2007,전체,4. 30～49명,share,9.2
2007,전체,5. 50～99명,share,10.9
2007,전체,6. 100～299명,share,12.6
2007,전체,7. 300～499명,share,4.8
2007,전체,8. 500～999명,share,5.0
2007,전체,"9. 1,000명 이상",share,10.9
2007,인문,전체,frequency,36836.0
2007,인문,1. 1～4명,frequency,5722.0
2007,인문,2. 5～9명,frequency,4512.0
2007,인문,3. 10～29명,frequency,7656.0
2007,인문,4. 30～49명,frequency,3115.0
2007,인문,5. 50～99명,frequency,3936.0
2007,인문,6. 100～299명,frequency,4065.0
2007,인문,7. 300～499명,frequency,2035.0
2007,인문,8. 500～999명,frequency,2232.0
2007,인문,"9. 1,000명 이상",frequency,3561.0
2007,인문,전체,share,100.0
2007,인문,1. 1～4명,share,15.5
2007,인문,2. 5～9명,share,12.2
2007,인문,3. 10～29명,share,20.7
2007,인문,4. 30～49명,share,8.4
2007,인문,5. 50～99명,share,10.6
2007,인문,6. 100～299명,share,11.0
2007,인문,7. 300～499명,share,5.5
2007,인문,8. 500～999명,share,6.0
2007,인문,"9. 1,000명 이상",share,9.6
2007,사회,전체,frequency,104817.0
2007,사회,1. 1～4명,frequency,13127.0
2007,사회,2. 5～9명,frequency,12316.0
2007,사회,3. 10～29명,frequency,21879.0
2007,사회,4. 30～49명,frequency,11293.0
2007,사회,5. 50～99명,frequency,11491.0
2007,사회,6. 100～299명,frequency,13811.0
2007,사회,7. 300～499명,frequency,5680.0
2007,사회,8. 500～999명,frequency,4987.0
2007,사회,"9. 1,000명 이상",frequency,10229.0
2007,사회,전체,share,100.0
2007,사회,1. 1～4명,share,12.5
2007,사회,2. 5～9명,share,11.7
2007,사회,3. 10～29명,share,20.8
2007,사회,4. 30～49명,share,10.7
