raw_row_id,source_id,admission_year,univ_id_raw,univ_name_std,campus_id,recruitment_unit_raw,recruitment_unit_std,recruitment_unit_id,recruitment_unit_strict_key,recruitment_unit_loose_key,grade_dept_id,grade_dept_name_raw,dept_canonical_id,dept_name_canonical,mapping_type,mapping_confidence,raw_percentile_70cut,selectivity_pct_2024,selectivity_source,score_comparability_tier,recruitment_n,competition_rate,additional_admit_last_rank,raw_admission_group,raw_section_title,broad_recruitment_unit_flag,shared_admission_score_flag,valid_for_primary_model,exclusion_reason,admission_rows_per_grade_dept,mapping_cardinality
SRC_0000019_2025_0001_T72_R0,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,인문계열,인문계열,SRC_0000019_2025_0001_T72_R0,인문계열,인문,,,,,broad_recruitment_unit,0.5,95.25,95.25,raw_percentile_70cut,Tier A,69.0,3.29,6.0,‘ 나 ’ 군,정시 일반전형,True,False,False,broad_recruitment_unit_excluded_from_primary,,not_primary
SRC_0000019_2025_0001_T72_R12,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,물리 · 천문학부 물리학전공,물리 · 천문학부 물리학전공,SRC_0000019_2025_0001_T72_R12,물리·천문학부물리학전공,물리천문물리학,,,,,unmatched,0.0,95.25,95.25,raw_percentile_70cut,Tier A,13.0,5.54,3.0,‘ 나 ’ 군,정시 일반전형,False,False,False,unmatched,,not_primary
SRC_0000019_2025_0001_T72_R13,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,물리 · 천문학부 천문학전공,물리 · 천문학부 천문학전공,SRC_0000019_2025_0001_T72_R13,물리·천문학부천문학전공,물리천문천문학,,,,,unmatched,0.0,96.50,96.5,raw_percentile_70cut,Tier A,5.0,9.0,1.0,‘ 나 ’ 군,정시 일반전형,False,False,False,unmatched,,not_primary
SRC_0000019_2025_0001_T72_R17,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,간호대학,간호대학,SRC_0000019_2025_0001_T72_R17,간호대학,간호,,,,,broad_recruitment_unit,0.5,95.75,95.75,raw_percentile_70cut,Tier A,27.0,5.74,15.0,‘ 나 ’ 군,정시 일반전형,True,False,False,broad_recruitment_unit_excluded_from_primary,,not_primary
SRC_0000019_2025_0001_T72_R18,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,경영대학,경영대학,SRC_0000019_2025_0001_T72_R18,경영대학,경영,,,,,broad_recruitment_unit,0.5,96.75,96.75,raw_percentile_70cut,Tier A,56.0,3.11,3.0,‘ 나 ’ 군,정시 일반전형,True,False,False,broad_recruitment_unit_excluded_from_primary,,not_primary
SRC_0000019_2025_0001_T72_R56,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,소비자아동학부 소비자학전공,소비자아동학부 소비자학전공,SRC_0000019_2025_0001_T72_R56,소비자아동학부소비자학전공,소비자아동소비자학,,,,,unmatched,0.0,96.25,96.25,raw_percentile_70cut,Tier A,10.0,7.6,0.0,‘ 나 ’ 군,정시 일반전형,False,False,False,unmatched,,not_primary
SRC_0000019_2025_0001_T72_R57,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,소비자아동학부 아동가족학전공,소비자아동학부 아동가족학전공,SRC_0000019_2025_0001_T72_R57,소비자아동학부아동가족학전공,소비자아동아동가족학,,,,,unmatched,0.0,97.25,97.25,raw_percentile_70cut,Tier A,8.0,4.0,5.0,‘ 나 ’ 군,정시 일반전형,False,False,False,unmatched,,not_primary
SRC_0000019_2025_0001_T72_R61,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,약학계열,약학계열,SRC_0000019_2025_0001_T72_R61,약학계열,약학,,,,,broad_recruitment_unit,0.5,98.50,98.5,raw_percentile_70cut,Tier A,11.0,6.55,8.0,‘ 나 ’ 군,정시 일반전형,True,False,False,broad_recruitment_unit_excluded_from_primary,,not_primary
SRC_0000019_2025_0001_T72_R66,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,자유전공학부,자유전공학부,SRC_0000019_2025_0001_T72_R66,자유전공학부,자유,,,,,broad_recruitment_unit,0.5,97.25,97.25,raw_percentile_70cut,Tier A,50.0,4.04,6.0,‘ 나 ’ 군,정시 일반전형,True,False,False,broad_recruitment_unit_excluded_from_primary,,not_primary
SRC_0000019_2025_0001_T72_R68,SRC_0000019_2025_0001,2024,U0000019,서울대학교,0000019,치의학과,치의학과,SRC_0000019_2025_0001_T72_R68,치의학과,치의,DEP_000201,,DEP_000201,치의,alias_not_present_in_university_grade_list,0.7,98.25,98.25,raw_percentile_70cut,Tier A,12.0,3.67,4.0,‘ 나 ’ 군,정시 일반전형,False,False,False,canonical_department_absent_from_same_university_grade_target,,not_primary
