dept_canonical_id,dept_name_canonical,reference_rows,reference_schools,alias_count,support_level,canonical_qa_status
DEP_000076,무역,72,21,2,medium,pass
DEP_000077,광고홍보,71,21,3,medium,pass
DEP_000078,국제통상,72,21,3,medium,pass
DEP_000079,미술,60,21,6,medium,pass
DEP_000080,식품공,64,21,4,medium,pass
DEP_000081,데이터사이언스,64,21,4,medium,pass
DEP_000082,윤리교육과,56,21,3,medium,pass
DEP_000083,글로벌경영,58,20,3,medium,pass
DEP_000084,방사선,57,20,1,medium,pass
DEP_000085,경찰,57,20,4,medium,pass
DEP_000086,부동산,50,20,2,medium,pass
DEP_000087,통계,66,20,1,medium,pass
DEP_000088,독어독문,60,20,1,medium,pass
DEP_000089,글로벌비즈니스,52,20,4,medium,pass
DEP_000090,소방방재,47,19,3,rare,pass
DEP_000091,군사,55,19,1,medium,pass
DEP_000092,불어불문,64,19,1,medium,pass
DEP_000093,중국,50,19,5,medium,pass
DEP_000094,도시공,52,18,2,medium,pass
DEP_000095,식품생명공,48,18,1,rare,pass
DEP_000096,반도체공,48,18,5,rare,pass
DEP_000097,생명공,52,17,4,medium,pass
DEP_000098,보건행정,46,17,2,rare,pass
DEP_000099,산업공,56,17,3,medium,pass
DEP_000100,경영정보,52,17,3,medium,pass
DEP_000101,조경,46,17,2,rare,pass
DEP_000102,문화콘텐츠,59,17,7,medium,pass
DEP_000103,기계공학,54,16,2,medium,pass
DEP_000104,일본,41,16,2,rare,pass
DEP_000105,성악과,39,16,1,rare,pass
DEP_000106,건설환경공,51,16,2,medium,pass
DEP_000107,사회복지상담,50,16,5,medium,pass
DEP_000108,의류,52,16,3,medium,pass
DEP_000109,무용,42,16,7,rare,pass
DEP_000110,지리교육과,42,16,1,rare,pass
DEP_000111,언어치료,37,15,2,rare,pass
DEP_000112,태권도,46,15,1,rare,pass
DEP_000113,문예창작,38,15,2,rare,pass
DEP_000114,생활체육,34,15,2,rare,pass
DEP_000115,행정학,40,15,2,rare,pass
DEP_000116,호텔경영,39,15,3,rare,pass
DEP_000117,식품영양학,35,15,1,rare,pass
DEP_000118,음악교육과,31,14,3,rare,pass
DEP_000119,회계세무,42,14,3,rare,pass
DEP_000120,전자공학,41,14,2,rare,pass
DEP_000121,제약공,46,14,1,rare,pass
DEP_000122,공연예술,41,14,7,rare,pass
DEP_000123,국어국문학,41,14,2,rare,pass
DEP_000124,호텔관광경영,45,14,7,rare,pass
DEP_000125,한국어교육,39,13,5,rare,pass
DEP_000126,경제학,38,13,2,rare,pass
DEP_000127,음악과,35,13,2,rare,pass
DEP_000128,영어영문학,47,13,2,rare,pass
DEP_000129,컴퓨터교육과,35,13,3,rare,pass
DEP_000130,안경광,29,13,1,rare,pass
DEP_000131,소프트웨어융합,40,13,3,rare,pass
DEP_000132,피아노과,33,13,1,rare,pass
DEP_000133,자율,37,13,4,rare,pass
DEP_000134,건설시스템공,33,12,1,rare,pass
DEP_000135,전기공학,40,12,2,rare,pass
DEP_000136,사회체육,33,12,2,rare,pass
DEP_000137,아동복지,37,12,4,rare,pass
DEP_000138,실용음악과,30,12,1,rare,pass
DEP_000139,한국어문,32,12,3,rare,pass
DEP_000140,신문방송,35,12,1,rare,pass
DEP_000141,자유,24,12,6,rare,pass
DEP_000142,한의,26,11,1,rare,pass
DEP_000143,컴퓨터,38,11,4,rare,pass
DEP_000144,회화과,29,11,1,rare,pass
DEP_000145,메카트로닉스공,36,11,4,rare,pass
DEP_000146,관현악과,31,11,1,rare,pass
DEP_000147,관광,34,11,3,rare,pass
DEP_000148,미술교육과,27,11,3,rare,pass
DEP_000149,회계학,31,11,1,rare,pass
DEP_000150,AI융합,35,11,3,rare,pass
DEP_000151,항공운항,35,11,2,rare,pass
DEP_000152,스포츠지도,32,11,2,rare,pass
DEP_000153,기계자동차공,45,11,5,rare,pass
DEP_000154,뷰티디자인,26,11,3,rare,pass
DEP_000155,한의예과,22,11,2,rare,pass
DEP_000156,미래자동차공,37,11,2,rare,pass
DEP_000157,중국어,34,11,3,rare,pass
DEP_000158,소방행정,26,11,2,rare,pass
DEP_000159,작곡과,33,11,3,rare,pass
DEP_000160,의료경영,36,11,3,rare,pass
DEP_000161,생물교육과,30,11,1,rare,pass
DEP_000162,디지털콘텐츠,29,11,4,rare,pass
DEP_000163,가정교육과,33,11,1,rare,pass
DEP_000164,화학교육과,29,11,1,rare,pass
DEP_000165,물리교육과,26,11,1,rare,pass
DEP_000166,중등특수교육과,38,11,1,rare,pass
DEP_000167,수의,26,10,1,rare,pass
DEP_000168,세무회계,26,10,1,rare,pass
DEP_000169,경제금융,36,10,6,rare,pass
DEP_000170,화학공학,29,10,2,rare,pass
DEP_000171,공공인재,31,10,3,rare,pass
DEP_000172,에너지공,29,10,2,rare,pass
DEP_000173,자동차공,29,10,2,rare,pass
DEP_000174,조선해양공,34,10,3,rare,pass
DEP_000175,스포츠산업,23,10,3,rare,pass
DEP_000176,정보통계,29,10,1,rare,pass
DEP_000177,사이버보안,33,10,2,rare,pass
DEP_000178,영어과,23,10,1,rare,pass
DEP_000179,국제관계,24,10,3,rare,pass
DEP_000180,미디어영상,25,9,2,rare,pass
DEP_000181,AI소프트웨어,42,9,6,rare,pass
DEP_000182,신소재공학,25,9,2,rare,pass
DEP_000183,소프트웨어공,28,9,2,rare,pass
DEP_000184,만화애니메이션,23,9,3,rare,pass
DEP_000185,항공우주공,26,9,2,rare,pass
DEP_000186,정보보호,32,9,3,rare,pass
DEP_000187,환경공학,28,9,1,rare,pass
DEP_000188,뷰티케어,21,9,2,rare,pass
DEP_000189,스포츠레저,24,9,1,rare,pass
DEP_000190,기계시스템공,30,9,4,rare,pass
DEP_000191,의생명과,22,9,2,rare,pass
DEP_000192,법학,23,9,2,rare,pass
DEP_000193,항공관광,29,9,2,rare,pass
DEP_000194,수산생명의,19,9,1,rare,pass
DEP_000195,로봇공,26,9,1,rare,pass
DEP_000196,사회교육과,23,9,2,rare,pass
DEP_000197,기독교,29,9,2,rare,pass
DEP_000198,한문교육과,26,9,1,rare,pass
DEP_000199,지구과학교육과,25,9,1,rare,pass
DEP_000200,수의예과,19,9,1,rare,pass
DEP_000201,치의,19,8,1,rare,pass
DEP_000202,건축건축학,23,8,4,rare,pass
DEP_000203,토목환경공,22,8,1,rare,pass
DEP_000204,과학교육과,19,8,3,rare,pass
DEP_000205,커뮤니케이션디자인,21,8,3,rare,pass
DEP_000206,초등교육,16,8,2,rare,pass
DEP_000207,국제경영,22,8,3,rare,pass
DEP_000208,정보통신공학,18,8,1,rare,pass
DEP_000209,항공정비,23,8,2,rare,pass
DEP_000210,영화영상,20,8,2,rare,pass
DEP_000211,연극영화,20,8,3,rare,pass
DEP_000212,경찰행정학,22,8,1,rare,pass
DEP_000213,실내디자인,20,8,2,rare,pass
DEP_000214,융합디자인,22,8,3,rare,pass
DEP_000215,스포츠의,19,8,1,rare,pass
DEP_000216,스포츠,16,8,3,rare,pass
DEP_000217,보건관리,32,8,3,rare,pass
DEP_000218,응용화,27,8,2,rare,pass
DEP_000219,정보보안,32,8,2,rare,pass
DEP_000220,일반사회교육과,21,8,1,rare,pass
DEP_000221,피아노,20,8,3,rare,pass
DEP_000222,한문,28,8,1,rare,pass
DEP_000223,치의예과,16,8,2,rare,pass
DEP_000224,서양화,20,8,1,rare,pass
DEP_000225,전자전기공,40,7,6,rare,pass
DEP_000226,한국어,21,7,2,rare,pass
DEP_000227,화공생명공,32,7,4,rare,pass
DEP_000228,기악과,20,7,4,rare,pass
DEP_000229,일본어,27,7,2,rare,pass
DEP_000230,국제무역,25,7,2,rare,pass
DEP_000231,컴퓨터소프트웨어,22,7,7,rare,pass
DEP_000232,무용과,17,7,1,rare,pass
DEP_000233,문화예술경영,29,7,3,rare,pass
DEP_000234,토목공학,17,7,1,rare,pass
DEP_000235,소방안전,21,7,2,rare,pass
DEP_000236,연극,17,7,4,rare,pass
DEP_000237,기계설계공,36,7,6,rare,pass
DEP_000238,항공교통물류,19,7,3,rare,pass
DEP_000239,아동보육,17,7,2,rare,pass
DEP_000240,인공지능융합,20,7,3,rare,pass
DEP_000241,레저스포츠,20,7,3,rare,pass
DEP_000242,지리,26,7,2,rare,pass
DEP_000243,외식조리,16,7,2,rare,pass
DEP_000244,안,20,7,2,rare,pass
DEP_000245,생물,20,7,1,rare,pass
DEP_000246,의생명공,20,7,2,rare,pass
DEP_000247,역사,17,7,2,rare,pass
DEP_000248,인공지능공,24,7,4,rare,pass
DEP_000249,생명과학,21,7,1,rare,pass
DEP_000250,초등특수교육과,26,7,1,rare,pass
DEP_000251,융합경영,19,7,3,rare,pass
DEP_000252,연기예술,16,7,3,rare,pass
DEP_000253,원예,23,7,1,rare,pass
DEP_000254,재활상담,20,7,1,rare,pass
DEP_000255,에너지자원공,18,7,1,rare,pass
DEP_000256,국사,19,7,1,rare,pass
DEP_000257,철학,22,7,2,rare,pass
DEP_000258,컴퓨터정보공,23,6,6,rare,pass
DEP_000259,응용통계,22,6,1,rare,pass
DEP_000260,국악과,16,6,1,rare,pass
DEP_000261,산업경영,17,6,2,rare,pass
DEP_000262,안학,14,6,1,rare,pass
DEP_000263,의공,26,6,2,rare,pass
DEP_000264,초등수학교육과,12,6,1,rare,pass
DEP_000265,유아교육,15,6,1,rare,pass
DEP_000266,소비자,22,6,1,rare,pass
DEP_000267,초등음악교육과,12,6,1,rare,pass
DEP_000268,중국언어문화,21,6,3,rare,pass
DEP_000269,초등영어교육과,12,6,1,rare,pass
DEP_000270,동물자원과,17,6,2,rare,pass
DEP_000271,초등윤리교육과,12,6,1,rare,pass
DEP_000272,식품공학,15,6,1,rare,pass
DEP_000273,초등체육교육과,12,6,1,rare,pass
DEP_000274,초등미술교육과,12,6,1,rare,pass
DEP_000275,건축건축공학,15,6,2,rare,pass
DEP_000276,초등컴퓨터교육과,12,6,1,rare,pass
DEP_000277,초등국어교육과,12,6,1,rare,pass
DEP_000278,실내건축디자인,19,6,2,rare,pass
DEP_000279,초등과학교육과,12,6,1,rare,pass
DEP_000280,회화,24,6,6,rare,pass
DEP_000281,지구환경과,19,6,2,rare,pass
DEP_000282,도시계획부동산,17,6,2,rare,pass
DEP_000283,일어일문학,21,6,2,rare,pass
DEP_000284,유아특수교육과,19,6,1,rare,pass
DEP_000285,동물자원,14,6,3,rare,pass
DEP_000286,게임,13,6,2,rare,pass
DEP_000287,반도체시스템공,19,6,1,rare,pass
DEP_000288,호텔외식조리,24,6,2,rare,pass
DEP_000289,게임콘텐츠,14,6,1,rare,pass
DEP_000290,일어교육과,17,6,1,rare,pass
DEP_000291,영상디자인,14,6,2,rare,pass
DEP_000292,자동차공학,15,6,1,rare,pass
DEP_000293,바이오메디컬,17,6,2,rare,pass
DEP_000294,응용수,15,6,2,rare,pass
DEP_000295,정보통신,19,6,3,rare,pass
DEP_000296,뮤지컬,16,6,2,rare,pass
DEP_000297,축구,11,6,1,rare,pass
DEP_000298,사학,17,6,2,rare,pass
DEP_000299,역사문화,18,6,2,rare,pass
DEP_000300,스마트모빌리티,15,6,3,rare,pass
DEP_000301,화장품,12,6,1,rare,pass
DEP_000302,스마트모빌리티공,15,6,2,rare,pass
DEP_000303,안전보건,14,6,2,rare,pass
DEP_000304,컴퓨터과,14,5,2,rare,pass
DEP_000305,전기전자공학,14,5,1,rare,pass
DEP_000306,미디어,18,5,3,rare,pass
DEP_000307,노인복지,19,5,2,rare,pass
DEP_000308,기계시스템공학,15,5,1,rare,pass
DEP_000309,해양경찰,13,5,4,rare,pass
DEP_000310,치기공,14,5,1,rare,pass
DEP_000311,건설환경공학,17,5,2,rare,pass
DEP_000312,경제통상,17,5,2,rare,pass
DEP_000313,실과교육과,10,5,3,rare,pass
DEP_000314,미래융합,35,5,8,rare,pass
DEP_000315,멀티미디어,17,5,3,rare,pass
DEP_000316,국제학,16,5,1,rare,pass
DEP_000317,생명화학공,15,5,1,rare,pass
DEP_000318,국제물류,18,5,2,rare,pass
DEP_000319,특수체육교육과,18,5,2,rare,pass
DEP_000320,IT융합,14,5,3,rare,pass
DEP_000321,고분자공,14,5,1,rare,pass
DEP_000322,교회음악과,13,5,1,rare,pass
DEP_000323,시각영상디자인,14,5,2,rare,pass
DEP_000324,스포츠재활,13,5,2,rare,pass
DEP_000325,실내건축,14,5,1,rare,pass
DEP_000326,조형예술,10,5,2,rare,pass
DEP_000327,산업경영공학,13,5,1,rare,pass
DEP_000328,스포츠건강,12,5,2,rare,pass
DEP_000329,세무,9,5,1,rare,pass
DEP_000330,국제통상학,14,5,1,rare,pass
DEP_000331,기독교교육과,14,5,1,rare,pass
DEP_000332,미디어콘텐츠,13,5,2,rare,pass
DEP_000333,관현악,13,5,1,rare,pass
DEP_000334,일본언어문화,17,5,3,rare,pass
DEP_000335,애니메이션,13,5,2,rare,pass
DEP_000336,무역물류,15,5,1,rare,pass
DEP_000337,실용영어,14,5,1,rare,pass
DEP_000338,에너지화학공,9,5,1,rare,pass
DEP_000339,원예과,13,5,2,rare,pass
DEP_000340,식품자원경제,18,5,1,rare,pass
DEP_000341,경찰법,9,5,1,rare,pass
DEP_000342,초등사회과교육과,10,5,1,rare,pass
DEP_000343,패션산업,11,5,1,rare,pass
DEP_000344,반려동물보건,12,5,1,rare,pass
DEP_000345,미디어문예창작,12,5,2,rare,pass
DEP_000346,보건의료경영,17,5,2,rare,pass
DEP_000347,노어노문,19,5,1,rare,pass
DEP_000348,미용예술,14,5,1,rare,pass
DEP_000349,원자력공,17,5,2,rare,pass
DEP_000350,중국학,16,5,2,rare,pass
DEP_000351,일본어과,16,5,1,rare,pass
DEP_000352,글로벌한국,13,5,1,rare,pass
DEP_000353,호텔관광,11,5,2,rare,pass
DEP_000354,영미언어문화,11,5,2,rare,pass
DEP_000355,산림자원,14,5,1,rare,pass
DEP_000356,중어중문학,17,5,2,rare,pass
DEP_000357,빅데이터,17,5,2,rare,pass
DEP_000358,교육공,14,5,1,rare,pass
DEP_000359,식물의,16,5,1,rare,pass
DEP_000360,아동가족,13,5,1,rare,pass
DEP_000361,환경에너지공,15,5,1,rare,pass
DEP_000362,산업디자인학,13,5,1,rare,pass
DEP_000363,공간디자인,14,5,2,rare,pass
DEP_000364,융합소프트웨어,12,5,3,rare,pass
DEP_000365,식품생명공학,15,5,1,rare,pass
DEP_000366,환경조경,11,5,1,rare,pass
DEP_000367,한국어문화,16,5,4,rare,pass
DEP_000368,신문방송학,14,5,1,rare,pass
DEP_000369,반려동물산업,11,5,2,rare,pass
DEP_000370,중국어문화,13,5,1,rare,pass
DEP_000371,조소,14,5,3,rare,pass
DEP_000372,일본학,12,5,2,rare,pass
DEP_000373,공공행정,17,5,3,rare,pass
DEP_000374,중어중국,12,5,1,rare,pass
DEP_000375,중국어중국,15,5,1,rare,pass
DEP_000376,성악,12,5,1,rare,pass
DEP_000377,문화인류,17,5,1,rare,pass
DEP_000378,보건의료행정,10,5,2,rare,pass
DEP_000379,메카트로닉스공학,13,5,1,rare,pass
DEP_000380,동양화,15,5,1,rare,pass
DEP_000381,창업경영,16,5,2,rare,pass
DEP_000382,고고미술사,13,5,1,rare,pass
DEP_000383,작곡,11,5,1,rare,pass
DEP_000384,미래모빌리티,15,5,1,rare,pass
DEP_000385,수학,15,5,1,rare,pass
DEP_000386,국제개발협력,13,5,4,rare,pass
DEP_000387,글로벌인재,8,5,1,rare,pass
DEP_000388,산업안,12,4,1,rare,pass
DEP_000389,기계제어공,16,4,2,rare,pass
DEP_000390,상담복지,10,4,2,rare,pass
DEP_000391,약학,14,4,3,rare,pass
DEP_000392,반려동물,11,4,2,rare,pass
DEP_000393,휴먼서비스,15,4,2,rare,pass
DEP_000394,미술치료,12,4,2,rare,pass
DEP_000395,항공기계공,12,4,1,rare,pass
DEP_000396,사회과교육과,10,4,3,rare,pass
DEP_000397,재료공,13,4,2,rare,pass
DEP_000398,스페인어,14,4,3,rare,pass
DEP_000399,스포츠경영,12,4,2,rare,pass
DEP_000400,게임공,11,4,1,rare,pass
DEP_000401,뷰티미용,8,4,1,rare,pass
DEP_000402,화학생명공,15,4,1,rare,pass
DEP_000403,기계설계공학,12,4,1,rare,pass
DEP_000404,스페인어과,13,4,1,rare,pass
DEP_000405,법무행정,11,4,2,rare,pass
DEP_000406,운동건강관리,10,4,3,rare,pass
DEP_000407,한국어교육과,14,4,1,rare,pass
DEP_000408,웹툰,11,4,1,rare,pass
DEP_000409,바이오메디컬공,11,4,3,rare,pass
DEP_000410,화학,12,4,1,rare,pass
DEP_000411,금융,13,4,3,rare,pass
DEP_000412,경찰학,11,4,1,rare,pass
DEP_000413,기업경영,11,4,3,rare,pass
DEP_000414,스포츠건강재활,9,4,1,rare,pass
DEP_000415,호텔조리,9,4,2,rare,pass
DEP_000416,호텔외식경영,17,4,2,rare,pass
DEP_000417,스포츠과학,14,4,1,rare,pass
DEP_000418,철도운전시스템,8,4,3,rare,pass
DEP_000419,독일어과,13,4,1,rare,pass
DEP_000420,시스템반도체공,8,4,1,rare,pass
DEP_000421,스포츠건강관리,8,4,1,rare,pass
DEP_000422,뷰티산업,16,4,1,rare,pass
DEP_000423,체육학,10,4,2,rare,pass
DEP_000424,글로벌경제,11,4,1,rare,pass
DEP_000425,AI,14,4,4,rare,pass
DEP_000426,문예창작과,11,4,1,rare,pass
DEP_000427,주거환경,10,4,1,rare,pass
DEP_000428,생물공,10,4,1,rare,pass
DEP_000429,컴퓨터소프트웨어공,11,4,2,rare,pass
DEP_000430,산업디자인과,10,4,1,rare,pass
DEP_000431,데이터과,14,4,2,rare,pass
DEP_000432,의류산업,14,4,1,rare,pass
DEP_000433,조소과,9,4,1,rare,pass
DEP_000434,현대미술,9,4,2,rare,pass
DEP_000435,농업경제,13,4,1,rare,pass
DEP_000436,골프산업,12,4,2,rare,pass
DEP_000437,문화예술,18,4,6,rare,pass
DEP_000438,금융보험,12,4,1,rare,pass
DEP_000439,생화,10,4,1,rare,pass
DEP_000440,정치외교학,11,4,1,rare,pass
DEP_000441,영화,12,4,2,rare,pass
DEP_000442,평생교육,13,4,3,rare,pass
DEP_000443,융합기계공,11,4,2,rare,pass
DEP_000444,식물자원,14,4,2,rare,pass
DEP_000445,지역건설공,8,4,1,rare,pass
DEP_000446,의생명공학,10,4,1,rare,pass
DEP_000447,외식경영,8,4,3,rare,pass
DEP_000448,멀티미디어공,10,4,1,rare,pass
DEP_000449,건축디자인,8,4,2,rare,pass
DEP_000450,스포츠마케팅,13,4,3,rare,pass
DEP_000451,복지경영,10,4,2,rare,pass
DEP_000452,컴퓨터정보통신공,14,4,3,rare,pass
DEP_000453,융합보안,7,4,1,rare,pass
DEP_000454,러시아,13,4,1,rare,pass
DEP_000455,경영정보학,12,4,1,rare,pass
DEP_000456,생명공학,10,4,1,rare,pass
DEP_000457,국제관계학,18,4,1,rare,pass
DEP_000458,시각디자인학,11,4,1,rare,pass
DEP_000459,환경교육과,13,4,1,rare,pass
DEP_000460,산림과,12,4,2,rare,pass
DEP_000461,토목환경공학,9,4,1,rare,pass
DEP_000462,IT융합공,15,4,2,rare,pass
DEP_000463,의료공,10,4,1,rare,pass
DEP_000464,부동산경영,12,4,1,rare,pass
DEP_000465,환경보건,12,4,2,rare,pass
DEP_000466,신소재화학공,9,4,2,rare,pass
DEP_000467,IT경영,9,4,2,rare,pass
DEP_000468,산업안전보건,9,4,2,rare,pass
DEP_000469,독어교육과,10,4,1,rare,pass
DEP_000470,미래자동차,9,4,1,rare,pass
DEP_000471,바이오제약공,13,4,1,rare,pass
DEP_000472,텍스타일디자인,11,4,2,rare,pass
DEP_000473,스마트팜,10,4,1,rare,pass
DEP_000474,디지털헬스케어,14,4,2,rare,pass
DEP_000475,보건안전,8,4,2,rare,pass
DEP_000476,관광경영학,11,4,1,rare,pass
DEP_000477,물리학,10,4,1,rare,pass
DEP_000478,의생명과학,8,4,1,rare,pass
DEP_000479,상담심리학,7,4,1,rare,pass
DEP_000480,제약공학,7,4,2,rare,pass
DEP_000481,기관시스템공,7,3,2,rare,pass
DEP_000482,한약,7,3,1,rare,pass
DEP_000483,초등교육과,10,3,1,rare,pass
DEP_000484,제약학,10,3,3,rare,pass
DEP_000485,건축공간디자인,11,3,2,rare,pass
DEP_000486,사회기반시스템공,16,3,3,rare,pass
DEP_000487,디지털미디어,15,3,2,rare,pass
DEP_000488,전자정보통신공,11,3,1,rare,pass
DEP_000489,시각미디어디자인,6,3,2,rare,pass
DEP_000490,재료공학,11,3,1,rare,pass
DEP_000491,프랑스언어문화,7,3,1,rare,pass
DEP_000492,무역학,8,3,1,rare,pass
DEP_000493,군경상담,10,3,1,rare,pass
DEP_000494,기계항공공,15,3,4,rare,pass
DEP_000495,제약,9,3,3,rare,pass
DEP_000496,경영경영학,8,3,1,rare,pass
DEP_000497,ICT융합공,8,3,2,rare,pass
DEP_000498,디지털미디어디자인,10,3,3,rare,pass
DEP_000499,무용예술,9,3,2,rare,pass
DEP_000500,영상,8,3,1,rare,pass
DEP_000501,영상애니메이션,8,3,2,rare,pass
DEP_000502,게임소프트웨어,11,3,2,rare,pass
DEP_000503,한국학,10,3,1,rare,pass
DEP_000504,디자인과,9,3,1,rare,pass
DEP_000505,철도차량시스템,7,3,2,rare,pass
DEP_000506,공예디자인,9,3,2,rare,pass
DEP_000507,건축토목공,7,3,2,rare,pass
DEP_000508,융합인재,8,3,2,rare,pass
DEP_000509,미디어영상광고,11,3,1,rare,pass
DEP_000510,소방방재안전,6,3,1,rare,pass
DEP_000511,유럽문화,20,3,4,rare,pass
DEP_000512,경영공,8,3,2,rare,pass
DEP_000513,철도경영,7,3,1,rare,pass
DEP_000514,글로벌무역,8,3,1,rare,pass
DEP_000515,미생물,8,3,1,rare,pass
DEP_000516,초등실과교육과,6,3,1,rare,pass
DEP_000517,공예과,12,3,1,rare,pass
DEP_000518,의상디자인,12,3,2,rare,pass
DEP_000519,시각정보디자인,8,3,2,rare,pass
DEP_000520,일본어일본,14,3,1,rare,pass
DEP_000521,바이오의약,8,3,2,rare,pass
DEP_000522,바이오융합,8,3,3,rare,pass
DEP_000523,국제어문,8,3,2,rare,pass
DEP_000524,디자인융합,7,3,2,rare,pass
DEP_000525,환경안,10,3,1,rare,pass
DEP_000526,공연영상,8,3,2,rare,pass
DEP_000527,웹툰애니메이션,6,3,1,rare,pass
DEP_000528,지질환경과,8,3,1,rare,pass
DEP_000529,수리과,10,3,2,rare,pass
DEP_000530,항공보안,6,3,2,rare,pass
DEP_000531,예술치료,9,3,2,rare,pass
DEP_000532,행정복지,12,3,3,rare,pass
DEP_000533,언어청각치료,6,3,1,rare,pass
DEP_000534,유통물류,7,3,1,rare,pass
DEP_000535,언론정보,9,3,2,rare,pass
DEP_000536,미디어디자인,9,3,2,rare,pass
DEP_000537,한국음악,5,3,2,rare,pass
DEP_000538,도시계획,6,3,1,rare,pass
DEP_000539,산업시스템공,10,3,2,rare,pass
DEP_000540,나노신소재공,8,3,1,rare,pass
DEP_000541,시각・영상디자인,8,3,2,rare,pass
DEP_000542,융합생명공,11,3,1,rare,pass
DEP_000543,산업공학,10,3,2,rare,pass
DEP_000544,한국음악과,8,3,1,rare,pass
DEP_000545,의공학,10,3,1,rare,pass
DEP_000546,도시행정,8,3,1,rare,pass
DEP_000547,패션의류,6,3,1,rare,pass
DEP_000548,글로벌관광,8,3,3,rare,pass
DEP_000549,전자융합공,9,3,2,rare,pass
DEP_000550,경호,9,3,2,rare,pass
DEP_000551,언어,9,3,1,rare,pass
DEP_000552,운동처방,7,3,1,rare,pass
DEP_000553,경기지도,6,3,1,rare,pass
DEP_000554,고분자공학,6,3,1,rare,pass
DEP_000555,심리학,7,3,1,rare,pass
DEP_000556,화학생명과,7,3,3,rare,pass
DEP_000557,게임공학,10,3,1,rare,pass
DEP_000558,언론영상,9,3,3,rare,pass
DEP_000559,산업보안,9,3,1,rare,pass
DEP_000560,회계세무학,11,3,1,rare,pass
DEP_000561,동양화과,10,3,1,rare,pass
DEP_000562,영미어문,8,3,2,rare,pass
DEP_000563,기술교육과,9,3,1,rare,pass
DEP_000564,문헌정보학,11,3,2,rare,pass
DEP_000565,스마트자동차,9,3,1,rare,pass
