dept_canonical_id,dept_name_canonical,reference_rows,reference_schools,alias_count,support_level,canonical_qa_status
DEP_000001,경영,527,131,8,common,pass
DEP_000002,사회복지,422,130,6,common,pass
DEP_000003,간호,331,113,7,common,pass
DEP_000004,컴퓨터공,345,89,7,common,pass
DEP_000005,식품영양,215,75,4,medium,pass
DEP_000006,행정,213,69,2,medium,pass
DEP_000007,영어영문,207,64,2,medium,pass
DEP_000008,유아교육과,169,64,1,medium,pass
DEP_000009,건축,195,64,8,medium,pass
DEP_000010,기계공,226,63,8,medium,pass
DEP_000011,전자공,222,61,8,medium,pass
DEP_000012,국어국문,167,54,4,medium,pass
DEP_000013,경제,179,53,2,medium,pass
DEP_000014,화,155,53,2,medium,pass
DEP_000015,수,146,47,1,medium,pass
DEP_000016,법,144,46,4,medium,pass
DEP_000017,수학교육과,111,46,3,medium,pass
DEP_000018,신소재공,150,45,2,medium,pass
DEP_000019,영어교육과,121,45,3,medium,pass
DEP_000020,물리치료,135,44,1,medium,pass
DEP_000021,생명과,128,44,4,medium,pass
DEP_000022,경찰행정,111,43,4,medium,pass
DEP_000023,상담심리,115,42,2,medium,pass
DEP_000024,전기공,130,42,2,medium,pass
DEP_000025,건축공,121,42,2,medium,pass
DEP_000026,국어교육과,115,42,3,medium,pass
DEP_000027,교육,127,41,4,medium,pass
DEP_000028,음악,116,40,8,medium,pass
DEP_000029,화학공,121,39,5,medium,pass
DEP_000030,사,127,39,1,medium,pass
DEP_000031,약,108,37,6,medium,pass
DEP_000032,물리,116,37,1,medium,pass
DEP_000033,신,99,37,2,medium,pass
DEP_000034,철,116,37,1,medium,pass
DEP_000035,의,74,37,5,medium,pass
DEP_000036,소프트웨어,125,36,5,medium,pass
DEP_000037,미디어커뮤니케이션,109,35,4,medium,pass
DEP_000038,정치외교,120,35,4,medium,pass
DEP_000039,체육,103,34,7,medium,pass
DEP_000040,산업디자인,85,34,3,medium,pass
DEP_000041,사회,99,33,1,medium,pass
DEP_000042,작업치료,91,32,1,medium,pass
DEP_000043,중어중문,99,32,2,medium,pass
DEP_000044,환경공,89,32,4,medium,pass
DEP_000045,경영학,105,31,4,medium,pass
DEP_000046,스포츠과,81,31,4,medium,pass
DEP_000047,체육교육과,78,31,3,medium,pass
DEP_000048,디자인,113,31,8,medium,pass
DEP_000049,토목공,73,31,2,medium,pass
DEP_000050,전기전자공,82,29,2,medium,pass
DEP_000051,치위생,94,29,1,medium,pass
DEP_000052,심리,100,29,2,medium,pass
DEP_000053,문헌정보,95,29,2,medium,pass
DEP_000054,인공지능,85,29,4,medium,pass
DEP_000055,의예과,56,29,2,medium,pass
DEP_000056,응급구조,66,28,1,medium,pass
DEP_000057,시각디자인,84,28,2,medium,pass
DEP_000058,정보통신공,74,28,4,medium,pass
DEP_000059,관광경영,83,28,3,medium,pass
DEP_000060,컴퓨터공학,77,27,1,medium,pass
DEP_000061,임상병리,90,26,1,medium,pass
DEP_000062,국제,87,26,8,medium,pass
DEP_000063,건축학,65,25,5,medium,pass
DEP_000064,산업경영공,80,25,2,medium,pass
DEP_000065,건축공학,72,25,2,medium,pass
DEP_000066,패션디자인,74,25,4,medium,pass
DEP_000067,항공서비스,64,24,3,medium,pass
DEP_000068,회계,73,23,6,medium,pass
DEP_000069,아동,66,23,4,medium,pass
DEP_000070,실용음악,59,22,3,medium,pass
DEP_000071,특수교육과,72,22,4,medium,pass
DEP_000072,사회복지학,57,22,2,medium,pass
DEP_000073,일어일문,63,22,2,medium,pass
DEP_000074,역사교육과,57,22,1,medium,pass
DEP_000075,영어,57,21,5,medium,pass
