source_row_id,raw_row_id,source_id,univ_id,admission_year,raw_table_index,raw_row_index,raw_section_title,raw_header_json,raw_cells_json,raw_admission_group,raw_recruitment_unit,raw_recruitment_n,raw_competition_rate,raw_additional_rank,raw_score_70cut,raw_score_max,raw_percentile_70cut,raw_parse_warning,univ_name_std,adiga_univ_code_str,seed_status,source_url,http_status,parse_status,raw_html_exists,recruitment_unit_len,recruitment_unit_leading_trailing_space_flag,recruitment_unit_multi_space_flag,recruitment_unit_newline_flag,recruitment_unit_html_entity_flag,recruitment_unit_annotation_flag,recruitment_unit_description_like_flag,recruitment_unit_text_anomaly_flag,recruitment_n_num,competition_rate_num,additional_admit_last_rank_num,univ_score_70cut_num,univ_score_max_num,percentile_70cut_num,univ_score_ratio_pct,range_check,logic_check,numeric_qa_status,has_recruitment_n,has_competition_rate,has_additional_rank,has_univ_score_70cut,has_univ_score_max,has_percentile_70cut,has_univ_score_ratio,admission_group_clean,selection_family,selection_review_flag,raw_header_col_n,raw_cell_col_n,parser_header_width_anomaly_flag,parser_missing_required_header_flag,parser_header_only_row_flag,parser_description_table_candidate_flag,parser_anomaly_candidate_flag,score_comparability_tier,score_comparability_note,recruitment_unit_structure,campus_id,raw_percentile_70cut_num_from_source,valid_percentile_range_flag,raw_recruitment_unit_std,recruitment_unit_strict_key,recruitment_unit_loose_key,excluded_special_or_nonregular_flag,regular_signal_flag,general_csat_candidate_flag,broad_recruitment_unit_flag,score_comparability_tier_actual,selectivity_pct_2024,selectivity_source
9,SRC_0000019_2025_0001_T72_R0,SRC_0000019_2025_0001,U0000019,2024,72,0,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""인문계열"", ""69"", ""3.29:1"", ""6"", ""403.0"", ""-"", ""95.25""]",‘ 나 ’ 군,인문계열,69,3.29:1,6,403.0,-,95.25,,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,69.0,3.29,6.0,403.0,,95.25,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,broad_track,0000019,95.25,True,인문계열,인문계열,인문,False,True,True,True,Tier A,95.25,raw_percentile_70cut
10,SRC_0000019_2025_0001_T72_R1,SRC_0000019_2025_0001,U0000019,2024,72,1,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""역사학부"", ""10"", ""5:1"", ""0"", ""401.6"", ""-"", ""96.75""]",‘ 나 ’ 군,역사학부,10,5:1,0,401.6,-,96.75,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,10.0,5.0,0.0,401.6,,96.75,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,division_like,0000019,96.75,True,역사학부,역사학부,역사,False,True,True,False,Tier A,96.75,raw_percentile_70cut
11,SRC_0000019_2025_0001_T72_R2,SRC_0000019_2025_0001,U0000019,2024,72,2,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""정치외교학부"", ""18"", ""3.89:1"", ""1"", ""407.1"", ""-"", ""97.50""]",‘ 나 ’ 군,정치외교학부,18,3.89:1,1,407.1,-,97.50,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,6,False,False,False,False,False,False,False,18.0,3.89,1.0,407.1,,97.5,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,division_like,0000019,97.5,True,정치외교학부,정치외교학부,정치외교,False,True,True,False,Tier A,97.5,raw_percentile_70cut
12,SRC_0000019_2025_0001_T72_R3,SRC_0000019_2025_0001,U0000019,2024,72,3,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""경제학부"", ""54"", ""2.98:1"", ""6"", ""409.2"", ""-"", ""98.25""]",‘ 나 ’ 군,경제학부,54,2.98:1,6,409.2,-,98.25,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,54.0,2.98,6.0,409.2,,98.25,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,division_like,0000019,98.25,True,경제학부,경제학부,경제,False,True,True,False,Tier A,98.25,raw_percentile_70cut
13,SRC_0000019_2025_0001_T72_R4,SRC_0000019_2025_0001,U0000019,2024,72,4,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""사회학과"", ""10"", ""5.50:1"", ""0"", ""403.9"", ""-"", ""97.75""]",‘ 나 ’ 군,사회학과,10,5.50:1,0,403.9,-,97.75,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,10.0,5.5,0.0,403.9,,97.75,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,department_like,0000019,97.75,True,사회학과,사회학과,사회,False,True,True,False,Tier A,97.75,raw_percentile_70cut
15,SRC_0000019_2025_0001_T72_R6,SRC_0000019_2025_0001,U0000019,2024,72,6,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""심리학과"", ""9"", ""5.11:1"", ""2"", ""404.9"", ""-"", ""97.25""]",‘ 나 ’ 군,심리학과,9,5.11:1,2,404.9,-,97.25,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,9.0,5.11,2.0,404.9,,97.25,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,department_like,0000019,97.25,True,심리학과,심리학과,심리,False,True,True,False,Tier A,97.25,raw_percentile_70cut
16,SRC_0000019_2025_0001_T72_R7,SRC_0000019_2025_0001,U0000019,2024,72,7,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""지리학과"", ""9"", ""3.78:1"", ""0"", ""403.6"", ""-"", ""97.50""]",‘ 나 ’ 군,지리학과,9,3.78:1,0,403.6,-,97.50,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,9.0,3.78,0.0,403.6,,97.5,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,department_like,0000019,97.5,True,지리학과,지리학과,지리,False,True,True,False,Tier A,97.5,raw_percentile_70cut
17,SRC_0000019_2025_0001_T72_R8,SRC_0000019_2025_0001,U0000019,2024,72,8,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""사회복지학과"", ""6"", ""6.50:1"", ""0"", ""400.9"", ""-"", ""95""]",‘ 나 ’ 군,사회복지학과,6,6.50:1,0,400.9,-,95,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,6,False,False,False,False,False,False,False,6.0,6.5,0.0,400.9,,95.0,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,department_like,0000019,95.0,True,사회복지학과,사회복지학과,사회복지,False,True,True,False,Tier A,95.0,raw_percentile_70cut
18,SRC_0000019_2025_0001_T72_R9,SRC_0000019_2025_0001,U0000019,2024,72,9,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""언론정보학과"", ""7"", ""5.43:1"", ""0"", ""405.7"", ""-"", ""94.75""]",‘ 나 ’ 군,언론정보학과,7,5.43:1,0,405.7,-,94.75,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,6,False,False,False,False,False,False,False,7.0,5.43,0.0,405.7,,94.75,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,department_like,0000019,94.75,True,언론정보학과,언론정보학과,언론정보,False,True,True,False,Tier A,94.75,raw_percentile_70cut
19,SRC_0000019_2025_0001_T72_R10,SRC_0000019_2025_0001,U0000019,2024,72,10,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""수리과학부"", ""10"", ""5.90:1"", ""0"", ""420.2"", ""-"", ""98.50""]",‘ 나 ’ 군,수리과학부,10,5.90:1,0,420.2,-,98.50,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,5,False,False,False,False,False,False,False,10.0,5.9,0.0,420.2,,98.5,,PASS,PASS,PASS,True,True,True,True,False,True,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier A,70% 백분위와 핵심 수치가 있어 잠정 주 분석 후보,division_like,0000019,98.5,True,수리과학부,수리과학부,수리과,False,True,True,False,Tier A,98.5,raw_percentile_70cut
