univ_name_std,dept_name_std,major_group,regular_terms_observed,dept_strict_key,dept_loose_key,dept_canonical_id,dept_name_canonical,grade_canonical_match_status
가야대학교(김해),간호,간호,2,간호,간호,DEP_000003,간호,strict_alias_matched
가야대학교(김해),경영물류,경영경제,2,경영물류,경영물류,DEP_003703,경영물류,strict_alias_matched
가야대학교(김해),경찰소방,법행정경찰소방,2,경찰소방,경찰소방,DEP_000623,경찰소방,strict_alias_matched
가야대학교(김해),귀금속주얼리,기타,2,귀금속주얼리,귀금속주얼리,DEP_003886,귀금속주얼리,strict_alias_matched
가야대학교(김해),물리치료,보건의료,2,물리치료,물리치료,DEP_000020,물리치료,strict_alias_matched
가야대학교(김해),방사선,보건의료,2,방사선,방사선,DEP_000084,방사선,strict_alias_matched
가야대학교(김해),부동산금융재테크,경영경제,2,부동산금융재테크,부동산금융재테크,DEP_003762,부동산금융재테크,strict_alias_matched
가야대학교(김해),사회복지상담,사회복지상담심리,2,사회복지상담,사회복지상담,DEP_000107,사회복지상담,strict_alias_matched
가야대학교(김해),스포츠재활복지,보건의료,2,스포츠재활복지,스포츠재활복지,DEP_000739,스포츠재활복지,strict_alias_matched
가야대학교(김해),안경광,보건의료,2,안경광,안경광,DEP_000130,안경광,strict_alias_matched
가야대학교(김해),외식조리영양,관광호텔조리,2,외식조리영양,외식조리영양,DEP_000724,외식조리영양,strict_alias_matched
가야대학교(김해),유아교육과,교육,2,유아교육과,유아교육과,DEP_000008,유아교육과,strict_alias_matched
가야대학교(김해),작업치료,보건의료,2,작업치료,작업치료,DEP_000042,작업치료,strict_alias_matched
가야대학교(김해),특수교육과,교육,2,특수교육과,특수교육과,DEP_000071,특수교육과,strict_alias_matched
가천대학교,AI・소프트웨어,컴퓨터AI,2,ai·소프트웨어,ai소프트웨어,DEP_001106,AI・소프트웨어,strict_alias_matched
가천대학교,간호,간호,2,간호,간호,DEP_000003,간호,strict_alias_matched
가천대학교,건축,건축토목환경,2,건축,건축,DEP_000009,건축,strict_alias_matched
가천대학교,건축공학,건축토목환경,2,건축공학,건축공학,DEP_000065,건축공학,strict_alias_matched
가천대학교,건축학,건축토목환경,2,건축학,건축학,DEP_000063,건축학,strict_alias_matched
가천대학교,게임・영상,컴퓨터AI,2,게임·영상,게임영상,DEP_001721,게임・영상,strict_alias_matched
가천대학교,경영,경영경제,2,경영,경영,DEP_000001,경영,strict_alias_matched
가천대학교,경영학,경영경제,2,경영학,경영학,DEP_000045,경영학,strict_alias_matched
가천대학교,경제,경영경제,2,경제,경제,DEP_000013,경제,strict_alias_matched
가천대학교,경찰・안보,법행정경찰소방,1,경찰·안보,경찰안보,DEP_004196,경찰・안보,strict_alias_matched
가천대학교,경찰행정,법행정경찰소방,2,경찰행정,경찰행정,DEP_000022,경찰행정,strict_alias_matched
가천대학교,관광경영,경영경제,2,관광경영,관광경영,DEP_000059,관광경영,strict_alias_matched
가천대학교,글로벌경영학,경영경제,2,글로벌경영학,글로벌경영학,DEP_000704,글로벌경영학,strict_alias_matched
가천대학교,금융・빅데이터,경영경제,2,금융·빅데이터,금융빅데이터,DEP_004221,금융・빅데이터,strict_alias_matched
가천대학교,금융수,경영경제,2,금융수,금융수,DEP_001483,금융수,strict_alias_matched
가천대학교,기계・스마트・산업공,공학,2,기계·스마트·산업공,기계스마트산업공,DEP_001140,기계・스마트・산업공,strict_alias_matched
가천대학교,기계공,공학,2,기계공,기계공,DEP_000010,기계공,strict_alias_matched
가천대학교,도시계획・조경,건축토목환경,2,도시계획·조경,도시계획조경,DEP_004293,도시계획・조경,strict_alias_matched
가천대학교,도시계획학,건축토목환경,2,도시계획학,도시계획학,DEP_001629,도시계획학,strict_alias_matched
가천대학교,동양어문,기타,2,동양어문,동양어문,DEP_001410,동양어문,strict_alias_matched
가천대학교,물리,기타,2,물리,물리,DEP_000032,물리,strict_alias_matched
가천대학교,물리치료,보건의료,2,물리치료,물리치료,DEP_000020,물리치료,strict_alias_matched
가천대학교,미디어커뮤니케이션,기타,2,미디어커뮤니케이션,미디어커뮤니케이션,DEP_000037,미디어커뮤니케이션,strict_alias_matched
가천대학교,미래자동차,공학,2,미래자동차,미래자동차,DEP_000470,미래자동차,strict_alias_matched
가천대학교,미술·디자인,예체능디자인,2,미술·디자인,미술디자인,,,not_in_reference_dictionary
가천대학교,바이오나노,생명식품농림,2,바이오나노,바이오나노,DEP_001561,바이오나노,strict_alias_matched
가천대학교,바이오의료기기,보건의료,2,바이오의료기기,바이오의료기기,DEP_001814,바이오의료기기,strict_alias_matched
가천대학교,반도체・디스플레이,공학,2,반도체·디스플레이,반도체디스플레이,DEP_002206,반도체・디스플레이,strict_alias_matched
가천대학교,반도체・전자공,공학,2,반도체·전자공,반도체전자공,DEP_000975,반도체・전자공,strict_alias_matched
가천대학교,반도체공,공학,2,반도체공,반도체공,DEP_000096,반도체공,strict_alias_matched
가천대학교,반도체설계,공학,2,반도체설계,반도체설계,DEP_002615,반도체설계,strict_alias_matched
가천대학교,방사선,보건의료,2,방사선,방사선,DEP_000084,방사선,strict_alias_matched
가천대학교,법,법행정경찰소방,2,법,법,DEP_000016,법,strict_alias_matched
가천대학교,사회복지,사회복지상담심리,2,사회복지,사회복지,DEP_000002,사회복지,strict_alias_matched
가천대학교,산업경영공,경영경제,2,산업경영공,산업경영공,DEP_000064,산업경영공,strict_alias_matched
가천대학교,생명과,생명식품농림,2,생명과,생명과,DEP_000021,생명과,strict_alias_matched
가천대학교,설비·소방공,법행정경찰소방,2,설비·소방공,설비소방공,DEP_001263,설비·소방공,strict_alias_matched
가천대학교,스마트시티,기타,2,스마트시티,스마트시티,DEP_001016,스마트시티,strict_alias_matched
가천대학교,스마트시티융합,기타,2,스마트시티융합,스마트시티융합,DEP_002855,스마트시티융합,strict_alias_matched
가천대학교,식품생명공,생명식품농림,2,식품생명공,식품생명공,DEP_000095,식품생명공,strict_alias_matched
가천대학교,식품생물공,생명식품농림,2,식품생물공,식품생물공,DEP_000991,식품생물공,strict_alias_matched
가천대학교,식품영양,생명식품농림,2,식품영양,식품영양,DEP_000005,식품영양,strict_alias_matched
가천대학교,신소재공,공학,2,신소재공,신소재공,DEP_000018,신소재공,strict_alias_matched
가천대학교,실내건축학,건축토목환경,2,실내건축학,실내건축학,DEP_002114,실내건축학,strict_alias_matched
가천대학교,심리,사회복지상담심리,2,심리,심리,DEP_000052,심리,strict_alias_matched
가천대학교,약,보건의료,2,약,약,DEP_000031,약,strict_alias_matched
가천대학교,연기예술,기타,2,연기예술,연기예술,DEP_000252,연기예술,strict_alias_matched
가천대학교,영미어문,기타,2,영미어문,영미어문,DEP_000562,영미어문,strict_alias_matched
가천대학교,운동재활,보건의료,2,운동재활,운동재활,DEP_001991,운동재활,strict_alias_matched
가천대학교,운동재활복지,보건의료,2,운동재활복지,운동재활복지,DEP_001035,운동재활복지,strict_alias_matched
가천대학교,유럽어문,기타,2,유럽어문,유럽어문,DEP_001866,유럽어문,strict_alias_matched
가천대학교,유아교육,교육,2,유아교육,유아교육,DEP_000265,유아교육,strict_alias_matched
가천대학교,음악,예체능디자인,2,음악,음악,DEP_000028,음악,strict_alias_matched
가천대학교,응급구조,보건의료,2,응급구조,응급구조,DEP_000056,응급구조,strict_alias_matched
가천대학교,응용통계,기타,2,응용통계,응용통계,DEP_000259,응용통계,strict_alias_matched
가천대학교,의,보건의료,2,의,의,DEP_000035,의,strict_alias_matched
가천대학교,의공,기타,2,의공,의공,DEP_000263,의공,strict_alias_matched
가천대학교,의료경영,보건의료,2,의료경영,의료경영,DEP_000160,의료경영,strict_alias_matched
가천대학교,의료산업경영,보건의료,2,의료산업경영,의료산업경영,DEP_002522,의료산업경영,strict_alias_matched
가천대학교,의예과,보건의료,1,의예과,의예과,DEP_000055,의예과,strict_alias_matched
가천대학교,의용생체공,기타,2,의용생체공,의용생체공,DEP_003627,의용생체공,strict_alias_matched
가천대학교,전기공,공학,2,전기공,전기공,DEP_000024,전기공,strict_alias_matched
가천대학교,전자공,공학,2,전자공,전자공,DEP_000011,전자공,strict_alias_matched
가천대학교,조경학,건축토목환경,2,조경학,조경학,DEP_000579,조경학,strict_alias_matched
가천대학교,첨단의료기기,보건의료,2,첨단의료기기,첨단의료기기,DEP_003251,첨단의료기기,strict_alias_matched
가천대학교,체육,예체능디자인,2,체육,체육,DEP_000039,체육,strict_alias_matched
가천대학교,치위생,보건의료,2,치위생,치위생,DEP_000051,치위생,strict_alias_matched
가천대학교,컴퓨터공,컴퓨터AI,2,컴퓨터공,컴퓨터공,DEP_000004,컴퓨터공,strict_alias_matched
가천대학교,클라우드공,기타,2,클라우드공,클라우드공,DEP_003879,클라우드공,strict_alias_matched
가천대학교,토목환경공,건축토목환경,2,토목환경공,토목환경공,DEP_000203,토목환경공,strict_alias_matched
가천대학교,패션산업,예체능디자인,2,패션산업,패션산업,DEP_000343,패션산업,strict_alias_matched
가천대학교,한국어문,언어인문,2,한국어문,한국어문,DEP_000139,한국어문,strict_alias_matched
가천대학교,한국학,기타,2,한국학,한국학,DEP_000503,한국학,strict_alias_matched
가천대학교,한의,보건의료,2,한의,한의,DEP_000142,한의,strict_alias_matched
가천대학교,한의예과,보건의료,2,한의예과,한의예과,DEP_000155,한의예과,strict_alias_matched
가천대학교,행정,법행정경찰소방,2,행정,행정,DEP_000006,행정,strict_alias_matched
가천대학교,화,생명식품농림,2,화,화,DEP_000014,화,strict_alias_matched
가천대학교,화공생명공,공학,2,화공생명공,화공생명공,DEP_000227,화공생명공,strict_alias_matched
가천대학교,화공생명배터리공,공학,2,화공생명배터리공,화공생명배터리공,DEP_003174,화공생명배터리공,strict_alias_matched
가천대학교,회계세무학,경영경제,2,회계세무학,회계세무학,DEP_000560,회계세무학,strict_alias_matched
가톨릭관동대학교,CG디자인,예체능디자인,2,cg디자인,cg디자인,DEP_002669,CG디자인,strict_alias_matched
가톨릭관동대학교,간호,간호,2,간호,간호,DEP_000003,간호,strict_alias_matched
가톨릭관동대학교,건축공학,건축토목환경,2,건축공학,건축공학,DEP_000065,건축공학,strict_alias_matched
가톨릭관동대학교,건축학,건축토목환경,2,건축학,건축학,DEP_000063,건축학,strict_alias_matched
가톨릭관동대학교,경기지도학,기타,2,경기지도학,경기지도학,DEP_003541,경기지도학,strict_alias_matched
가톨릭관동대학교,경영,경영경제,2,경영,경영,DEP_000001,경영,strict_alias_matched
가톨릭관동대학교,경영학,경영경제,2,경영학,경영학,DEP_000045,경영학,strict_alias_matched
가톨릭관동대학교,경찰,법행정경찰소방,2,경찰,경찰,DEP_000085,경찰,strict_alias_matched
가톨릭관동대학교,경찰행정학,법행정경찰소방,2,경찰행정학,경찰행정학,DEP_000212,경찰행정학,strict_alias_matched
가톨릭관동대학교,공공행정학,법행정경찰소방,1,공공행정학,공공행정학,DEP_000660,공공행정학,strict_alias_matched
가톨릭관동대학교,관광경영,경영경제,2,관광경영,관광경영,DEP_000059,관광경영,strict_alias_matched
가톨릭관동대학교,관광경영학,경영경제,1,관광경영학,관광경영학,DEP_000476,관광경영학,strict_alias_matched
가톨릭관동대학교,광고홍보,기타,2,광고홍보,광고홍보,DEP_000077,광고홍보,strict_alias_matched
