univ_name_std,actual_a_residual_mean_pctp,actual_a_residual_median_pctp,actual_admission_dept_rows,selectivity_mean_2024,a_rate_mean_2024,official_employment_rate_pct,health_employment_rate_pct,overall_advancement_rate_pct,graduate_school_rate_pct
한국외국어대학교,-21.776381893343668,-21.776381893343668,2,89.5,22.571009970381382,64.47827465905488,55.8198541071995,6.382408152319657,6.087422901582194
수원대학교,-13.766154069903019,-9.34815683399733,15,83.19040742296919,30.51822357021971,65.44117647058823,53.39366515837104,4.926624737945493,4.8742138364779874
단국대학교,-10.977074217971959,-11.490185383577561,28,83.58035714285714,34.48454732564236,59.50704225352113,49.25176056338028,7.651313285116101,7.575180814617434
성신여자대학교,-10.251836735982602,-11.210758030305385,23,69.14739130434782,33.92059386486778,60.38415366146459,45.91836734693878,10.053191489361703,9.9468085106383
서울여자대학교,-9.032363767381256,-9.516389918838797,34,91.06794117647058,37.69342991870886,62.07171314741036,52.589641434262944,9.645390070921986,9.432624113475176
삼육대학교,-8.149929977576873,-9.388133058305154,16,84.315125,36.460455296245556,64.90924805531547,53.50043215211755,5.0,4.538461538461538
홍익대학교,-8.018332006685492,-9.125324029694088,26,86.93153846153845,39.532270996084435,65.58500914076782,56.62705667276051,7.453651153991676,7.340143776012107
충북대학교,-7.146863338994242,-7.430050753291148,76,70.79138345864662,35.69140694405771,56.82656826568265,52.43952439524395,11.473720371006529,11.267605633802818
세종대학교,-6.788583902328321,-4.987694221103151,4,81.75375,35.72031093748949,61.47308781869688,51.41643059490085,14.34487951807229,14.156626506024098
아주대학교,-6.257550000438689,-7.705410250924665,33,82.45878787878787,37.852018513929536,69.26478717523493,63.847429519071305,15.415549597855229,15.236818588025022
