univ_name_std,dept_canonical_id,dept_name_canonical,campus_id,campus_ambiguous_flag,recruitment_unit_raw,recruitment_unit_std,recruitment_unit_id,selectivity_pct_2024,selectivity_source,score_comparability_tier,recruitment_n,competition_rate,additional_admit_last_rank,source_rows_n,admission_groups,source_conflict_flag,mapping_type,mapping_confidence,mapping_cardinality,shared_admission_score_flag,primary_sample_flag,analysis_sample_tier_ab_flag
가천대학교,DEP_000001,경영,0000063,False,경영학부,경영학부,SRC_0000063_2025_0034_T6_R29,82.3,raw_percentile_70cut,Tier B,86.0,7.45,207.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000002,사회복지,0000063,False,사회복지학과,사회복지학과,SRC_0000063_2025_0034_T6_R19,81.6,raw_percentile_70cut,Tier B,16.0,9.56,45.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000003,간호,0000063,False,간호학과,간호학과,SRC_0000063_2025_0034_T6_R27,88.92,raw_percentile_70cut,Tier B,61.0,4.25,60.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000005,식품영양,0000063,False,식품영양학과,식품영양학과,SRC_0000063_2025_0034_T6_R41,84.25,raw_percentile_70cut,Tier B,16.0,9.81,17.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000006,행정,0000063,False,행정학과,행정학과,SRC_0000063_2025_0034_T6_R6,81.85,raw_percentile_70cut,Tier B,18.0,10.56,47.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000009,건축,0000063,False,건축학부,건축학부,SRC_0000063_2025_0034_T6_R34,83.87,raw_percentile_70cut,Tier B,53.0,7.34,117.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000013,경제,0000063,False,경제학과,경제학과,SRC_0000063_2025_0034_T6_R0,82.15,raw_percentile_70cut,Tier B,17.0,9.76,48.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000014,화,0000063,False,화학과,화학과,SRC_0000063_2025_0034_T6_R40,84.18,raw_percentile_70cut,Tier B,17.0,6.76,35.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000016,법,0000063,False,법학과,법학과,SRC_0000063_2025_0034_T6_R5,81.2,raw_percentile_70cut,Tier B,46.0,6.39,113.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000018,신소재공,0000063,False,신소재공학과,신소재공학과,SRC_0000063_2025_0034_T6_R37,81.4,raw_percentile_70cut,Tier B,18.0,7.17,69.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000020,물리치료,0000063,False,물리치료학과,물리치료학과,SRC_0000063_2025_0034_T6_R51,86.4,raw_percentile_70cut,Tier B,14.0,8.5,33.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000021,생명과,0000063,False,생명과학과,생명과학과,SRC_0000063_2025_0034_T6_R10,84.18,raw_percentile_70cut,Tier B,17.0,9.65,52.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000022,경찰행정,0000063,False,경찰행정학과,경찰행정학과,SRC_0000063_2025_0034_T6_R7,83.7,raw_percentile_70cut,Tier B,16.0,7.56,25.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000024,전기공,0000063,False,전기공학과,전기공학과,SRC_0000063_2025_0034_T6_R12,85.32,raw_percentile_70cut,Tier B,29.0,5.72,65.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000031,약,0000063,False,약학과,약학과,SRC_0000063_2025_0034_T6_R16,96.85,raw_percentile_70cut,Tier B,15.0,6.8,29.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000032,물리,0000063,False,물리학과,물리학과,SRC_0000063_2025_0034_T6_R11,82.12,raw_percentile_70cut,Tier B,17.0,6.53,47.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000037,미디어커뮤니케이션,0000063,False,미디어커뮤니케이션학과,미디어커뮤니케이션학과,SRC_0000063_2025_0034_T6_R31,82.55,raw_percentile_70cut,Tier B,21.0,8.19,65.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000039,체육,0000063,False,체육학부 ( 체육 ) | 체육학부 ( 태권도 ),체육학부 ( 체육 ) | 체육학부 ( 태권도 ),SRC_0000063_2025_0034_T6_R58 | SRC_0000063_2025_0034_T6_R59,70.75,raw_percentile_70cut,Tier B,20.0,11.85,12.0,2,다군,True,alias_1to1,0.95,many_admission_to_one_grade,False,False,True
가천대학교,DEP_000051,치위생,0000063,False,치위생학과,치위생학과,SRC_0000063_2025_0034_T6_R48,79.84,raw_percentile_70cut,Tier B,15.0,6.0,37.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000052,심리,0000063,False,심리학과,심리학과,SRC_0000063_2025_0034_T6_R18,83.05,raw_percentile_70cut,Tier B,18.0,8.28,38.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000055,의예과,0000063,False,의예과,의예과,SRC_0000063_2025_0034_T6_R17,98.8,raw_percentile_70cut,Tier B,15.0,5.929999999999999,17.0,1,가군,False,exact_1to1,1.0,one_to_one,False,False,True
가천대학교,DEP_000056,응급구조,0000063,False,응급구조학과,응급구조학과,SRC_0000063_2025_0034_T6_R49,82.54,raw_percentile_70cut,Tier B,10.0,6.3,23.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000059,관광경영,0000063,False,관광경영학과,관광경영학과,SRC_0000063_2025_0034_T6_R1,81.5,raw_percentile_70cut,Tier B,17.0,7.12,48.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000084,방사선,0000063,False,방사선학과,방사선학과,SRC_0000063_2025_0034_T6_R50,87.15,raw_percentile_70cut,Tier B,14.0,7.14,24.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000095,식품생명공,0000063,False,식품생명공학과,식품생명공학과,SRC_0000063_2025_0034_T6_R38,84.4,raw_percentile_70cut,Tier B,16.0,6.94,36.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000139,한국어문,0000063,False,한국어문학과,한국어문학과,SRC_0000063_2025_0034_T6_R3,81.6,raw_percentile_70cut,Tier B,18.0,6.56,28.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000155,한의예과,0000063,False,한의예과,한의예과,SRC_0000063_2025_0034_T6_R15,98.79999999999998,raw_percentile_70cut,Tier B,21.0,7.57,45.0,1,가군,False,exact_1to1,1.0,one_to_one,False,False,True
가천대학교,DEP_000203,토목환경공,0000063,False,토목환경공학과,토목환경공학과,SRC_0000063_2025_0034_T6_R23,83.53,raw_percentile_70cut,Tier B,18.0,7.33,52.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000259,응용통계,0000063,False,응용통계학과,응용통계학과,SRC_0000063_2025_0034_T6_R2,82.3,raw_percentile_70cut,Tier B,16.0,6.69,29.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000263,의공,0000063,False,의공학과,의공학과,SRC_0000063_2025_0034_T6_R45,84.65,raw_percentile_70cut,Tier B,19.0,9.74,45.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000265,유아교육,0000063,False,유아교육학과,유아교육학과,SRC_0000063_2025_0034_T6_R20,81.25,raw_percentile_70cut,Tier B,22.0,6.45,54.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000343,패션산업,0000063,False,패션산업학과,패션산업학과,SRC_0000063_2025_0034_T6_R32,82.15,raw_percentile_70cut,Tier B,13.0,10.31,24.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_000975,반도체・전자공,0000063,False,반도체 · 전자공학부,반도체 · 전자공학부,SRC_0000063_2025_0034_T6_R28,84.85,raw_percentile_70cut,Tier B,102.0,5.4,139.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_001016,스마트시티,0000063,False,스마트시티학과,스마트시티학과,SRC_0000063_2025_0034_T6_R25,84.08,raw_percentile_70cut,Tier B,19.0,7.529999999999999,46.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_001263,설비·소방공,0000063,False,설비 · 소방공학과,설비 · 소방공학과,SRC_0000063_2025_0034_T6_R21,83.78,raw_percentile_70cut,Tier B,16.0,12.56,14.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_001561,바이오나노,0000063,False,바이오나노학과,바이오나노학과,SRC_0000063_2025_0034_T6_R39,84.75,raw_percentile_70cut,Tier B,16.0,7.38,44.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_001991,운동재활,0000063,False,운동재활학과,운동재활학과,SRC_0000063_2025_0034_T6_R46,82.08,raw_percentile_70cut,Tier B,14.0,8.93,38.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_002522,의료산업경영,0000063,False,의료산업경영학과,의료산업경영학과,SRC_0000063_2025_0034_T6_R30,82.45,raw_percentile_70cut,Tier B,17.0,9.35,46.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_003174,화공생명배터리공,0000063,False,화공생명배터리공학부,화공생명배터리공학부,SRC_0000063_2025_0034_T6_R22,84.9,raw_percentile_70cut,Tier B,82.0,5.46,98.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_003879,클라우드공,0000063,False,클라우드공학과,클라우드공학과,SRC_0000063_2025_0034_T6_R42,90.95,raw_percentile_70cut,Tier B,9.0,11.22,19.0,1,다군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_004221,금융・빅데이터,0000063,False,금융 · 빅데이터학부,금융 · 빅데이터학부,SRC_0000063_2025_0034_T6_R8,83.6,raw_percentile_70cut,Tier B,40.0,7.45,113.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가천대학교,DEP_004293,도시계획・조경,0000063,False,도시계획 · 조경학부,도시계획 · 조경학부,SRC_0000063_2025_0034_T6_R9,82.77,raw_percentile_70cut,Tier B,33.0,7.58,84.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
가톨릭대학교,DEP_000012,국어국문,0000046,False,국어국문학과,국어국문학과,SRC_0000046_2025_0030_T10_R0,77.67,raw_percentile_70cut,Tier B,38.0,5.34,77.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000003,간호,0000003,False,간호학과,간호학과,SRC_0000003_2025_0047_T7_R28,81.0,raw_percentile_70cut,Tier B,28.0,4.29,30.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000004,컴퓨터공,0000003,False,컴퓨터공학과,컴퓨터공학과,SRC_0000003_2025_0047_T7_R58,74.75,raw_percentile_70cut,Tier B,39.0,3.74,34.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000009,건축,0000003,False,건축학과 (5 년제 ),건축학과 (5 년제 ),SRC_0000003_2025_0047_T7_R7,77.13,raw_percentile_70cut,Tier B,6.0,5.669999999999999,9.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000011,전자공,0000003,False,전자공학과,전자공학과,SRC_0000003_2025_0047_T7_R57,78.0,raw_percentile_70cut,Tier B,9.0,4.22,5.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000015,수,0000003,False,수학과,수학과,SRC_0000003_2025_0047_T7_R52,73.88,raw_percentile_70cut,Tier B,7.0,5.29,10.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000017,수학교육과,0000003,False,수학교육과,수학교육과,SRC_0000003_2025_0047_T7_R44,72.0,raw_percentile_70cut,Tier B,10.0,5.5,12.0,1,나군,False,exact_1to1,1.0,one_to_one,False,False,True
강원대학교,DEP_000019,영어교육과,0000003,False,영어교육과,영어교육과,SRC_0000003_2025_0047_T7_R37,76.0,raw_percentile_70cut,Tier B,10.0,4.7,4.0,1,나군,False,exact_1to1,1.0,one_to_one,False,False,True
강원대학교,DEP_000021,생명과,0000003,False,생명과학과,생명과학과,SRC_0000003_2025_0047_T7_R51,73.25,raw_percentile_70cut,Tier B,6.0,5.17,7.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000026,국어교육과,0000003,False,국어교육과,국어교육과,SRC_0000003_2025_0047_T7_R35,74.38,raw_percentile_70cut,Tier B,14.0,4.43,18.0,1,나군,False,exact_1to1,1.0,one_to_one,False,False,True
강원대학교,DEP_000027,교육,0000003,False,교육학과,교육학과,SRC_0000003_2025_0047_T7_R34,76.5,raw_percentile_70cut,Tier B,6.0,7.5,4.0,1,나군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000031,약,0000003,False,약학과,약학과,SRC_0000003_2025_0047_T7_R22,97.37999999999998,raw_percentile_70cut,Tier B,15.0,6.67,28.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
강원대학교,DEP_000037,미디어커뮤니케이션,0000003,False,미디어커뮤니케이션학과,미디어커뮤니케이션학과,SRC_0000003_2025_0047_T7_R16,77.88,raw_percentile_70cut,Tier B,5.0,8.2,14.0,1,가군,False,alias_1to1,0.95,one_to_one,False,False,True
