metric,value
canonical_admission_rows,3096
general_csat_candidate_rows,2026
general_csat_candidate_universities,38
candidate_tier_a_rows,104
candidate_tier_b_rows,1922
excluded_special_or_nonregular_rows,297
excluded_invalid_percentile_rows,-2302
