raw_dept_name,alias_key_strict,alias_key_loose,dept_canonical_id,dept_name_canonical,strict_canonical_n,loose_canonical_n,alias_collision_flag,loose_collision_flag,auto_match_allowed
경영,경영,경영,DEP_000001,경영,1,3,False,True,True
경영전공,경영전공,경영,DEP_000001,경영,1,3,False,True,True
경영학과,경영학과,경영,DEP_000001,경영,1,3,False,True,True
경영학과(경영학전공),경영학과(경영학전공),경영,DEP_000001,경영,1,3,False,True,True
경영학과(글로벌테크노경영전공),경영학과(글로벌테크노경영전공),경영,DEP_000001,경영,1,3,False,True,True
경영학부,경영학부,경영,DEP_000001,경영,1,3,False,True,True
경영학부 (IT경영전공),경영학부(it경영전공),경영,DEP_000001,경영,1,3,False,True,True
경영학부(경영전공),경영학부(경영전공),경영,DEP_000001,경영,1,3,False,True,True
사회복지,사회복지,사회복지,DEP_000002,사회복지,1,1,False,False,True
사회복지전공,사회복지전공,사회복지,DEP_000002,사회복지,1,1,False,False,True
사회복지학과,사회복지학과,사회복지,DEP_000002,사회복지,1,1,False,False,True
사회복지학부,사회복지학부,사회복지,DEP_000002,사회복지,1,1,False,False,True
"사회복지학부(사회복지미시전공, 사회복지거시전공)","사회복지학부(사회복지미시전공,사회복지거시전공)",사회복지,DEP_000002,사회복지,1,1,False,False,True
사회복지학부(사회복지서비스전공),사회복지학부(사회복지서비스전공),사회복지,DEP_000002,사회복지,1,1,False,False,True
사회복지학부(사회복지정책전공),사회복지학부(사회복지정책전공),사회복지,DEP_000002,사회복지,1,1,False,False,True
간호,간호,간호,DEP_000003,간호,1,1,False,False,True
간호전공,간호전공,간호,DEP_000003,간호,1,1,False,False,True
간호학과,간호학과,간호,DEP_000003,간호,1,1,False,False,True
간호학과(4년제),간호학과(4년제),간호,DEP_000003,간호,1,1,False,False,True
간호학과(김해),간호학과(김해),간호,DEP_000003,간호,1,1,False,False,True
간호학과(야간),간호학과(야간),간호,DEP_000003,간호,1,1,False,False,True
간호학과(특별과정),간호학과(특별과정),간호,DEP_000003,간호,1,1,False,False,True
간호학부,간호학부,간호,DEP_000003,간호,1,1,False,False,True
컴퓨터공,컴퓨터공,컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학과,컴퓨터공학과,컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학부,컴퓨터공학부,컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학부(빅데이터전공),컴퓨터공학부(빅데이터전공),컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학부(소프트웨어전공),컴퓨터공학부(소프트웨어전공),컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학부(스마트보안전공),컴퓨터공학부(스마트보안전공),컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학부(컴퓨터공학전공),컴퓨터공학부(컴퓨터공학전공),컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
컴퓨터공학부(컴퓨터소프트웨어전공),컴퓨터공학부(컴퓨터소프트웨어전공),컴퓨터공,DEP_000004,컴퓨터공,1,1,False,False,True
식품영양,식품영양,식품영양,DEP_000005,식품영양,1,1,False,False,True
식품영양전공,식품영양전공,식품영양,DEP_000005,식품영양,1,1,False,False,True
식품영양학과,식품영양학과,식품영양,DEP_000005,식품영양,1,1,False,False,True
식품영양학부,식품영양학부,식품영양,DEP_000005,식품영양,1,1,False,False,True
식품영양학부(식품영양학전공),식품영양학부(식품영양학전공),식품영양,DEP_000005,식품영양,1,1,False,False,True
행정,행정,행정,DEP_000006,행정,1,1,False,False,True
행정학과,행정학과,행정,DEP_000006,행정,1,1,False,False,True
행정학부,행정학부,행정,DEP_000006,행정,1,1,False,False,True
영어영문,영어영문,영어영문,DEP_000007,영어영문,1,1,False,False,True
영어영문학과,영어영문학과,영어영문,DEP_000007,영어영문,1,1,False,False,True
영어영문학부,영어영문학부,영어영문,DEP_000007,영어영문,1,1,False,False,True
유아교육과,유아교육과,유아교육과,DEP_000008,유아교육과,1,1,False,False,True
건축,건축,건축,DEP_000009,건축,1,2,False,True,True
건축학과,건축학과,건축,DEP_000009,건축,1,2,False,True,True
건축학과(4),건축학과(4),건축,DEP_000009,건축,1,2,False,True,True
건축학과(4년제),건축학과(4년제),건축,DEP_000009,건축,1,2,False,True,True
건축학과(5),건축학과(5),건축,DEP_000009,건축,1,2,False,True,True
건축학과(5년),건축학과(5년),건축,DEP_000009,건축,1,2,False,True,True
건축학과(5년제),건축학과(5년제),건축,DEP_000009,건축,1,2,False,True,True
건축학과(건축공학전공),건축학과(건축공학전공),건축,DEP_000009,건축,1,2,False,True,True
건축학부,건축학부,건축,DEP_000009,건축,1,2,False,True,True
기계공,기계공,기계공,DEP_000010,기계공,1,1,False,False,True
기계공학과,기계공학과,기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부,기계공학부,기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부(기계공학전공),기계공학부(기계공학전공),기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부(기계설계공학전공),기계공학부(기계설계공학전공),기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부(기계시스템공학전공),기계공학부(기계시스템공학전공),기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부(냉동공조공학전공),기계공학부(냉동공조공학전공),기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부(스마트팩토리전공),기계공학부(스마트팩토리전공),기계공,DEP_000010,기계공,1,1,False,False,True
기계공학부(자동차공학전공),기계공학부(자동차공학전공),기계공,DEP_000010,기계공,1,1,False,False,True
전자공,전자공,전자공,DEP_000011,전자공,1,1,False,False,True
전자공학과,전자공학과,전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부,전자공학부,전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부(나노전자공학전공),전자공학부(나노전자공학전공),전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부(시스템반도체전공),전자공학부(시스템반도체전공),전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부(융합IT공학전공),전자공학부(융합it공학전공),전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부(인공지능전공),전자공학부(인공지능전공),전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부(임베디드시스템전공),전자공학부(임베디드시스템전공),전자공,DEP_000011,전자공,1,1,False,False,True
전자공학부(전자공학전공),전자공학부(전자공학전공),전자공,DEP_000011,전자공,1,1,False,False,True
국어국문,국어국문,국어국문,DEP_000012,국어국문,1,1,False,False,True
국어국문학과,국어국문학과,국어국문,DEP_000012,국어국문,1,1,False,False,True
국어국문학부,국어국문학부,국어국문,DEP_000012,국어국문,1,1,False,False,True
국어국문학부(고전번역전공),국어국문학부(고전번역전공),국어국문,DEP_000012,국어국문,1,1,False,False,True
국어국문학부(국어국문학전공),국어국문학부(국어국문학전공),국어국문,DEP_000012,국어국문,1,1,False,False,True
경제,경제,경제,DEP_000013,경제,1,1,False,False,True
경제학과,경제학과,경제,DEP_000013,경제,1,1,False,False,True
경제학부,경제학부,경제,DEP_000013,경제,1,1,False,False,True
화,화,화,DEP_000014,화,1,1,False,False,True
화학과,화학과,화,DEP_000014,화,1,1,False,False,True
화학부,화학부,화,DEP_000014,화,1,1,False,False,True
수,수,수,DEP_000015,수,1,1,False,False,True
수학과,수학과,수,DEP_000015,수,1,1,False,False,True
법,법,법,DEP_000016,법,1,1,False,False,True
법학과,법학과,법,DEP_000016,법,1,1,False,False,True
법학부,법학부,법,DEP_000016,법,1,1,False,False,True
법학부(공공안전법학전공),법학부(공공안전법학전공),법,DEP_000016,법,1,1,False,False,True
법학부(법학전공),법학부(법학전공),법,DEP_000016,법,1,1,False,False,True
수학교육과,수학교육과,수학교육과,DEP_000017,수학교육과,1,1,False,False,True
수학교육과(심화과정),수학교육과(심화과정),수학교육과,DEP_000017,수학교육과,1,1,False,False,True
