source_row_id,raw_row_id,source_id,univ_id,admission_year,raw_table_index,raw_row_index,raw_section_title,raw_header_json,raw_cells_json,raw_admission_group,raw_recruitment_unit,raw_recruitment_n,raw_competition_rate,raw_additional_rank,raw_score_70cut,raw_score_max,raw_percentile_70cut,raw_parse_warning,univ_name_std,adiga_univ_code_str,seed_status,source_url,http_status,parse_status,raw_html_exists,recruitment_unit_len,recruitment_unit_leading_trailing_space_flag,recruitment_unit_multi_space_flag,recruitment_unit_newline_flag,recruitment_unit_html_entity_flag,recruitment_unit_annotation_flag,recruitment_unit_description_like_flag,recruitment_unit_text_anomaly_flag,recruitment_n_num,competition_rate_num,additional_admit_last_rank_num,univ_score_70cut_num,univ_score_max_num,percentile_70cut_num,univ_score_ratio_pct,range_check,logic_check,numeric_qa_status,has_recruitment_n,has_competition_rate,has_additional_rank,has_univ_score_70cut,has_univ_score_max,has_percentile_70cut,has_univ_score_ratio,admission_group_clean,selection_family,selection_review_flag,raw_header_col_n,raw_cell_col_n,parser_header_width_anomaly_flag,parser_missing_required_header_flag,parser_header_only_row_flag,parser_description_table_candidate_flag,parser_anomaly_candidate_flag,score_comparability_tier,score_comparability_note,recruitment_unit_structure,campus_id,raw_percentile_70cut_num_from_source,valid_percentile_range_flag,raw_recruitment_unit_std,recruitment_unit_strict_key,recruitment_unit_loose_key,excluded_special_or_nonregular_flag,regular_signal_flag,general_csat_candidate_flag,broad_recruitment_unit_flag,score_comparability_tier_actual,selectivity_pct_2024,selectivity_source
0,SRC_0000019_2025_0001_T71_R0,SRC_0000019_2025_0001,U0000019,2024,71,0,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""인문계열"", ""23"", ""2.48:1"", ""2"", ""401.9"", ""-"", ""96.25""]",‘나’군,인문계열,23,2.48:1,2,401.9,-,96.25,,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,23.0,2.48,2.0,401.9,,96.25,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,broad_track,0000019,96.25,True,인문계열,인문계열,인문,True,False,False,True,Tier B,96.25,raw_percentile_70cut
1,SRC_0000019_2025_0001_T71_R1,SRC_0000019_2025_0001,U0000019,2024,71,1,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""정치외교학부"", ""10"", ""3.10:1"", ""0"", ""405.7"", ""-"", ""98.25""]",‘나’군,정치외교학부,10,3.10:1,0,405.7,-,98.25,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,6,False,False,False,False,False,False,False,10.0,3.1,0.0,405.7,,98.25,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,division_like,0000019,98.25,True,정치외교학부,정치외교학부,정치외교,True,False,False,False,Tier B,98.25,raw_percentile_70cut
2,SRC_0000019_2025_0001_T71_R2,SRC_0000019_2025_0001,U0000019,2024,71,2,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""경제학부"", ""20"", ""1.95:1"", ""3"", ""404.5"", ""-"", ""98""]",‘나’군,경제학부,20,1.95:1,3,404.5,-,98,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,20.0,1.95,3.0,404.5,,98.0,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,division_like,0000019,98.0,True,경제학부,경제학부,경제,True,False,False,False,Tier B,98.0,raw_percentile_70cut
3,SRC_0000019_2025_0001_T71_R3,SRC_0000019_2025_0001,U0000019,2024,71,3,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""인류학과"", ""7"", ""4.57:1"", ""0"", ""401.1"", ""-"", ""97.25""]",‘나’군,인류학과,7,4.57:1,0,401.1,-,97.25,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,7.0,4.57,0.0,401.1,,97.25,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,department_like,0000019,97.25,True,인류학과,인류학과,인류,True,False,False,False,Tier B,97.25,raw_percentile_70cut
4,SRC_0000019_2025_0001_T71_R4,SRC_0000019_2025_0001,U0000019,2024,71,4,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""광역"", ""46"", ""2.87:1"", ""2"", ""414.1"", ""-"", ""96.75""]",‘나’군,광역,46,2.87:1,2,414.1,-,96.75,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,2,False,False,False,False,False,False,False,46.0,2.87,2.0,414.1,,96.75,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,broad_track,0000019,96.75,True,광역,광역,광역,True,False,False,True,Tier B,96.75,raw_percentile_70cut
5,SRC_0000019_2025_0001_T71_R5,SRC_0000019_2025_0001,U0000019,2024,71,5,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""약학계열"", ""10"", ""2.80:1"", ""1"", ""416.7"", ""-"", ""97.75""]",‘나’군,약학계열,10,2.80:1,1,416.7,-,97.75,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,10.0,2.8,1.0,416.7,,97.75,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,broad_track,0000019,97.75,True,약학계열,약학계열,약학,True,False,False,True,Tier B,97.75,raw_percentile_70cut
6,SRC_0000019_2025_0001_T71_R6,SRC_0000019_2025_0001,U0000019,2024,71,6,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""의예과"", ""10"", ""3.60:1"", ""0"", ""434.1"", ""-"", ""99""]",‘나’군,의예과,10,3.60:1,0,434.1,-,99,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,3,False,False,False,False,False,False,False,10.0,3.6,0.0,434.1,,99.0,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,department_like,0000019,99.0,True,의예과,의예과,의예과,True,False,False,False,Tier B,99.0,raw_percentile_70cut
7,SRC_0000019_2025_0001_T71_R7,SRC_0000019_2025_0001,U0000019,2024,71,7,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""첨단융합학부"", ""20"", ""3.70:1"", ""1"", ""409.2"", ""-"", ""96.50""]",‘나’군,첨단융합학부,20,3.70:1,1,409.2,-,96.50,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,6,False,False,False,False,False,False,False,20.0,3.7,1.0,409.2,,96.5,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,division_like,0000019,96.5,True,첨단융합학부,첨단융합학부,첨단융합,True,False,False,False,Tier B,96.5,raw_percentile_70cut
8,SRC_0000019_2025_0001_T71_R8,SRC_0000019_2025_0001,U0000019,2024,71,8,정시 지역균형전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘나’군"", ""치의학과"", ""10"", ""2.90:1"", ""0"", ""424.7"", ""-"", ""97.25""]",‘나’군,치의학과,10,2.90:1,0,424.7,-,97.25,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,10.0,2.9,0.0,424.7,,97.25,,PASS,PASS,PASS,True,True,True,True,False,True,False,나군,balanced_or_recommendation,True,8,8,False,False,False,False,False,Tier B,70% 백분위는 있으나 전형/품질/핵심필드 검토 필요,department_like,0000019,97.25,True,치의학과,치의학과,치의,True,False,False,False,Tier B,97.25,raw_percentile_70cut
14,SRC_0000019_2025_0001_T72_R5,SRC_0000019_2025_0001,U0000019,2024,72,5,정시 일반전형,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""인류학과"", ""1"", ""18:1"", ""0"", ""Θ"", ""-"", ""Θ""]",‘ 나 ’ 군,인류학과,1,18:1,0,Θ,-,Θ,1개 선두 컬럼 rowspan 승계,서울대학교,19,unique_target,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,200,success,True,4,False,False,False,False,False,False,False,1.0,18.0,0.0,,,,,PASS,PASS,WARN,True,True,True,False,False,False,False, 나  군,regular_csat,False,8,8,False,False,False,False,False,Tier D,입결 점수 필드 부족,department_like,0000019,,False,인류학과,인류학과,인류,False,True,False,False,Tier D_no_usable_percentile,,excluded_raw_percentile_70cut_out_of_range_or_missing
