raw_dept_name,alias_key_strict,alias_key_loose,dept_canonical_id,dept_name_canonical,strict_canonical_n,loose_canonical_n,alias_collision_flag,loose_collision_flag,auto_match_allowed
A.I.,a.i.,ai,DEP_004038,A.I.,1,2,False,True,True
A.I.전공,a.i.전공,ai,DEP_004038,A.I.,1,2,False,True,True
AI,ai,ai,DEP_000425,AI,1,2,False,True,True
AI학과,ai학과,ai,DEP_000425,AI,1,2,False,True,True
AI학부,ai학부,ai,DEP_000425,AI,1,2,False,True,True
AI학부(AI소프트웨어전공),ai학부(ai소프트웨어전공),ai,DEP_000425,AI,1,2,False,True,True
AI학부(AI엔터테인먼트전공),ai학부(ai엔터테인먼트전공),ai,DEP_000425,AI,1,2,False,True,True
AI・빅데이터,ai·빅데이터,ai빅데이터,DEP_000690,AI・빅데이터,1,2,False,True,True
AI・빅데이터학과,ai·빅데이터학과,ai빅데이터,DEP_000690,AI・빅데이터,1,2,False,True,True
AI빅데이터,ai빅데이터,ai빅데이터,DEP_002507,AI빅데이터,1,2,False,True,True
AI빅데이터전공,ai빅데이터전공,ai빅데이터,DEP_002507,AI빅데이터,1,2,False,True,True
AI・소프트웨어,ai·소프트웨어,ai소프트웨어,DEP_001106,AI・소프트웨어,1,2,False,True,True
AI・소프트웨어학부(소프트웨어전공),ai·소프트웨어학부(소프트웨어전공),ai소프트웨어,DEP_001106,AI・소프트웨어,1,2,False,True,True
AI・소프트웨어학부(인공지능전공),ai·소프트웨어학부(인공지능전공),ai소프트웨어,DEP_001106,AI・소프트웨어,1,2,False,True,True
AI소프트웨어,ai소프트웨어,ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI소프트웨어학과,ai소프트웨어학과,ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI소프트웨어학부,ai소프트웨어학부,ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI소프트웨어학부(인공지능공학전공),ai소프트웨어학부(인공지능공학전공),ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI소프트웨어학부(정보보안전공),ai소프트웨어학부(정보보안전공),ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI소프트웨어학부(정보통신공학전공),ai소프트웨어학부(정보통신공학전공),ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI소프트웨어학부(컴퓨터공학전공),ai소프트웨어학부(컴퓨터공학전공),ai소프트웨어,DEP_000181,AI소프트웨어,1,2,False,True,True
AI・컴퓨터공,ai·컴퓨터공,ai컴퓨터공,DEP_003294,AI・컴퓨터공,1,2,False,True,True
AI・컴퓨터공학과,ai·컴퓨터공학과,ai컴퓨터공,DEP_003294,AI・컴퓨터공,1,2,False,True,True
AI컴퓨터공,ai컴퓨터공,ai컴퓨터공,DEP_002184,AI컴퓨터공,1,2,False,True,True
AI컴퓨터공학과,ai컴퓨터공학과,ai컴퓨터공,DEP_002184,AI컴퓨터공,1,2,False,True,True
e-비즈니스,e-비즈니스,e비즈니스,DEP_003885,e-비즈니스,1,2,False,True,True
e-비즈니스학과,e-비즈니스학과,e비즈니스,DEP_003885,e-비즈니스,1,2,False,True,True
e비즈니스,e비즈니스,e비즈니스,DEP_003715,e비즈니스,1,2,False,True,True
e비즈니스학과,e비즈니스학과,e비즈니스,DEP_003715,e비즈니스,1,2,False,True,True
IT,it,it,DEP_001050,IT,1,2,False,True,True
IT전공,it전공,it,DEP_001050,IT,1,2,False,True,True
IT계열,it계열,it,DEP_004323,IT계열,1,2,False,True,True
K-Culture,k-culture,kculture,DEP_003491,K-Culture,2,2,True,True,False
K-Culture학과,k-culture학과,kculture,DEP_003491,K-Culture,2,2,True,True,False
K-culture,k-culture,kculture,DEP_001988,K-culture,2,2,True,True,False
K-culture학과,k-culture학과,kculture,DEP_001988,K-culture,2,2,True,True,False
K-뷰티,k-뷰티,k뷰티,DEP_002916,K-뷰티,1,2,False,True,True
K-뷰티학과,k-뷰티학과,k뷰티,DEP_002916,K-뷰티,1,2,False,True,True
K뷰티,k뷰티,k뷰티,DEP_002279,K뷰티,1,2,False,True,True
K뷰티학부,k뷰티학부,k뷰티,DEP_002279,K뷰티,1,2,False,True,True
건축,건축,건축,DEP_000009,건축,1,2,False,True,True
건축학과,건축학과,건축,DEP_000009,건축,1,2,False,True,True
