feature_block,feature,dtype,missing_rate,unique_n,constant,near_constant,inf_n,skewness,outlier_rate_iqr,min,max,category_cardinality,rare_category_rate_lt5
goms,goms_profile_start_year,Int16,0.014875813521051932,1,True,True,0,0.0,0.0,2017.0,2017.0,,
goms,goms_profile_end_year,Int16,0.014875813521051932,1,True,True,0,0.0,0.0,2019.0,2019.0,,
goms,goms_profile_years_n,Int16,0.014875813521051932,1,True,True,0,0.0,0.0,3.0,3.0,,
goms,goms_aggregation_method,category,0.014875813521051932,1,True,True,0,,,,,1.0,0.0
goms,goms_recent_employment_rate_pct,Float32,0.014875813521051932,7,False,False,0,1.3197464227965359,0.05716597006876095,64.40062713623047,83.63194274902344,,
goms,goms_recent_firm_300plus_pct,Float32,0.014875813521051932,7,False,False,0,-0.4421516641719086,0.07321019280032358,4.769505023956299,34.586936950683594,,
goms,goms_recent_public_nonprofit_pct,Float32,0.014875813521051932,7,False,False,0,1.5850931392734664,0.07321019280032358,16.41835594177246,62.42374801635742,,
goms,goms_recent_permanent_pct,Float32,0.014875813521051932,7,False,False,0,-0.6415661302407676,0.0,63.287960052490234,88.36591339111328,,
goms,goms_recent_unstable_pct,Float32,0.014875813521051932,7,False,False,0,0.29715908261067703,0.0,10.131061553955078,26.0556640625,,
goms,goms_recent_self_employed_pct,Float32,0.014875813521051932,7,False,False,0,1.2677819191452568,0.14722933800728058,1.1710143089294434,10.322768211364746,,
goms,goms_recent_industry_hhi,Float32,0.014875813521051932,7,False,False,0,2.298986720138832,0.13037616286908454,0.08301936089992523,0.6168563365936279,,
goms,goms_recent_industry_top3_pct,Float32,0.014875813521051932,7,False,False,0,1.1236424613692468,0.13037616286908454,33.00703811645508,86.04969787597656,,
goms,goms_recent_professional_highskill_pct,Float32,0.014875813521051932,7,False,False,0,0.4242365042038893,0.0,23.923974990844727,88.55696868896484,,
goms,goms_recent_mean_income_10kkrw,Float32,0.014875813521051932,7,False,False,0,-0.5702709905003804,0.0,189.76112365722656,261.694091796875,,
goms,goms_recent_weekly_work_hours,Float32,0.014875813521051932,7,False,False,0,-0.293614056074291,0.0,39.00833511352539,44.96006774902344,,
goms,goms_recent_hourly_income_proxy,Float32,0.014875813521051932,7,False,False,0,-1.0018386892671174,0.0,1.1207419633865356,1.3403993844985962,,
goms,goms_income_trend_per_year,Float32,0.014875813521051932,7,False,False,0,0.34431814981334613,0.0,3.1109890937805176,5.240109443664551,,
goms,goms_hours_trend_per_year,Float32,0.014875813521051932,7,False,False,0,-0.4042963985551677,0.2637184845624916,-0.5456044673919678,-0.31758248805999756,,
goms,goms_firm_300plus_trend_per_year,Float32,0.014875813521051932,7,False,False,0,-0.37810732162885835,0.0,-0.19010989367961884,0.21868132054805756,,
goms,goms_permanent_trend_per_year,Float32,0.014875813521051932,7,False,False,0,-0.213554027486597,0.0,-0.7362634539604187,-0.1532965898513794,,
goms,goms_latest_2019_mean_income_10kkrw,Float32,0.014875813521051932,7,False,False,0,-0.46943867346017987,0.0,192.6999969482422,271.79998779296875,,
goms,goms_latest_2019_weekly_work_hours,Float32,0.014875813521051932,7,False,False,0,-0.5542549367950999,0.0,37.599998474121094,44.79999923706055,,
goms,goms_latest_2019_firm_300plus_pct,Float32,0.014875813521051932,7,False,False,0,-0.48333206057238637,0.07321019280032358,4.699999809265137,37.20000076293945,,
goms,goms_latest_2019_permanent_pct,Float32,0.014875813521051932,7,False,False,0,-0.48094263421476635,0.0,63.099998474121094,89.69999694824219,,
goms,goms_mapping_confidence,category,0.014875813521051932,1,True,True,0,,,,,1.0,0.0
goms,goms_row_qa_status,category,0.014875813521051932,1,True,True,0,,,,,1.0,0.0
