target_group,target,split,non_null_n,school_n,major_n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,skewness,kurtosis,zero_ratio,hundred_ratio,unique_n,within_school_var,between_school_var,icc_approx
grade,a_rate_pct,train,7529,140,7,41.94975662231445,17.30177116394043,0.0,0.0,13.083333396911636,32.57882308959961,39.97598648071289,50.14860534667969,73.70250244140621,92.94736480712893,100.0,0.37477296590805054,1.2885257005691528,0.03280648160446274,0.007570726524106787,6778,211.25244140625,127.98833465576172,0.37727874620934726
grade,a_rate_pct,validation,1514,30,7,41.106956481933594,15.499285697937012,0.0,0.0,20.0,32.4217004776001,39.06777381896973,49.062209129333496,69.05766830444335,87.98867141723626,100.0,0.4645269215106964,1.9102517366409302,0.023778071334214,0.0066050198150594455,1423,148.4541473388672,83.29933166503906,0.35943077110672
