feature_block,feature,dtype,missing_rate,unique_n,constant,near_constant,inf_n,skewness,outlier_rate_iqr,min,max,category_cardinality,rare_category_rate_lt5
structure,campus_branch,string,0.0,2,False,False,0,,,,,2.0,0.0
structure,degree_course_conflict_flag,bool,0.0,1,True,True,0,0.0,0.0,0.0,0.0,,
structure,school_type,string,0.16296984991366714,5,False,False,0,,,,,5.0,0.2
structure,degree_course,string,0.16296984991366714,1,True,False,0,,,,,1.0,0.0
structure,region_sido,string,0.16296984991366714,16,False,False,0,,,,,16.0,0.0625
structure,region_sigungu,string,0.16296984991366714,95,False,False,0,,,,,95.0,0.08421052631578947
structure,field_middle_name,string,0.16296984991366714,35,False,False,0,,,,,35.0,0.0
structure,field_small_name,string,0.16296984991366714,121,False,False,0,,,,,121.0,0.024793388429752067
structure,admission_capacity_n,Int32,0.16296984991366714,213,False,False,0,20.005644341980357,0.03919390669628689,0.0,4500.0,,
structure,recruitment_n,Int32,0.16296984991366714,234,False,False,0,19.92820717918462,0.04300222151697874,0.0,4815.0,,
structure,applicants_n,Int32,0.16296984991366714,1069,False,False,0,6.066660734582068,0.07188194224055855,0.0,9213.0,,
structure,admits_n,Int32,0.16296984991366714,229,False,False,0,6.55992556835747,0.04284354173278324,0.0,1069.0,,
structure,enrolled_students_n,Int32,0.16296984991366714,752,False,False,0,16.543101653374674,0.05934623928911457,0.0,13106.0,,
structure,graduates_n,Int32,0.16296984991366714,231,False,False,0,21.22384433099323,0.04538241827991114,0.0,3259.0,,
structure,fulltime_faculty_n,Int32,0.16296984991366714,78,False,False,0,19.953064276448647,0.055220564900031736,0.0,583.0,,
structure,nonfulltime_faculty_n,Int32,0.16296984991366714,96,False,False,0,22.16351875452102,0.06918438590923516,0.0,751.0,,
structure,competition_ratio,Float32,0.506308938770089,2946,False,False,0,4.606525131767749,0.047080979284369114,0.0,121.57691955566406,,
structure,admission_yield_ratio,Float32,0.506308938770089,690,False,False,0,28.9028396987467,0.22518159806295399,0.0,14.399999618530273,,
structure,admit_per_applicant_ratio,Float32,0.5044494620799574,2930,False,False,0,2.866967645215806,0.062181720718306084,0.0,1.3095238208770752,,
structure,female_student_share_pct,Float32,0.17332979147297117,3754,False,False,0,0.3723674701806281,0.0,0.0,100.0,,
structure,international_student_share_pct,Float32,0.17332979147297117,1485,False,False,0,6.115344280981392,0.15697300771208225,0.0,100.0,,
structure,student_faculty_ratio,Float32,0.38756807012883515,2611,False,False,0,17.871214332678964,0.04836261114725656,0.0,1613.5,,
structure,fulltime_faculty_share_pct,Float32,0.38756807012883515,509,False,False,0,0.2671086119982263,0.0,0.0,100.0,,
structure,log_enrolled_students,Float32,0.16296984991366714,752,False,False,0,-1.008436003730162,0.05506188511583624,0.0,9.480901718139648,,
structure,log_graduates,Float32,0.16296984991366714,231,False,False,0,-0.514204606572452,0.0,0.0,8.089482307434082,,
structure,has_selectivity,boolean,0.0,2,False,False,0,0.5378783206957686,0.0,0.0,1.0,,
structure,selectivity_proxy_pct,Float32,0.6298313189002523,1246,False,False,0,-1.1562374045435493,0.04449228561176893,0.10000000149011612,99.0,,
structure,hc_major_group_7,string,0.16296984991366714,7,False,False,0,,,,,7.0,0.0
structure,major_group_7,str,0.014875813521051932,7,False,False,0,,,,,7.0,0.0
structure,has_major_group_7_high_medium,boolean,0.0,2,False,True,0,-8.016478039191922,0.0,0.0,1.0,,
