feature_block,feature,dtype,missing_rate,unique_n,constant,near_constant,inf_n,skewness,outlier_rate_iqr,min,max,category_cardinality
ctx24,ctx24_reference_sample_n,Float32,0.014875813521051932,7,False,False,0,0.023242101981220068,0.0,15498.0,72776.0,
ctx24,ctx24_mean_income_10kkrw,Float32,0.014875813521051932,7,False,False,0,-0.7352797200193476,0.0,234.6999969482422,328.1000061035156,
ctx24,ctx24_median_income_10kkrw,Float32,0.014875813521051932,7,False,False,0,0.08812464170772759,0.0,217.5,290.0,
ctx24,ctx24_income_300plus_pct,Float32,0.014875813521051932,7,False,False,0,-0.3067579866601333,0.0,13.426554679870605,46.69533920288086,
ctx24,ctx24_income_400plus_pct,Float32,0.014875813521051932,7,False,False,0,-0.1721430070753941,0.0,4.8919477462768555,23.57233238220215,
ctx24,ctx24_large_company_pct,Float32,0.014875813521051932,7,False,False,0,-0.18322617777691208,0.0,1.6036404371261597,21.148454666137695,
ctx24,ctx24_mid_company_pct,Float32,0.014875813521051932,7,False,False,0,-0.26432714257626255,0.0,0.9928456544876099,11.050346374511719,
ctx24,ctx24_small_company_pct,Float32,0.014875813521051932,7,False,False,0,-0.7106467495635275,0.07321019280032358,15.931087493896484,70.78858184814453,
ctx24,ctx24_large_mid_company_pct,Float32,0.014875813521051932,7,False,False,0,-0.20983339004932078,0.0,2.5964860916137695,32.19880294799805,
ctx24,ctx24_public_nonprofit_pct,Float32,0.014875813521051932,7,False,False,0,0.6333212285982617,0.0,13.89469051361084,48.722415924072266,
ctx24,ctx24_cert_rate_pct,Float32,0.014875813521051932,7,False,False,0,-0.20447557063712002,0.0,25.100000381469727,60.900001525878906,
ctx24,ctx24_cert_per_person,Float32,0.014875813521051932,7,False,False,0,0.2039153598625992,0.0,0.41395336389541626,1.425703525543213,
ctx24,ctx24_log10_mean_income,Float32,0.014875813521051932,7,False,False,0,-0.8772115114805406,0.0,2.3705132007598877,2.5160062313079834,
