major_group_7,outcome,model_family,old_n,strict_n,old_ame_10pp,strict_ame_10pp,absolute_change,sign_change,old_ci_low,old_ci_high,strict_ci_low,strict_ci_high,ci_overlap,branch,control_set,grade_signal
ENG,HEALTH_EMPLOYMENT,ols_cluster,491,491,0.010461742157069772,0.010461742157069773,1.734723475976807e-18,False,-0.004025597683223942,0.02494908199736349,-0.004025597683223942,0.02494908199736349,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
HUM,HEALTH_EMPLOYMENT,ols_cluster,297,297,0.024821842298451857,0.024821842298451857,0.0,False,0.008400789348224646,0.041242895248679065,0.008400789348224646,0.041242895248679065,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
MED,HEALTH_EMPLOYMENT,ols_cluster,201,201,-0.009352578016001182,-0.009352578016001182,0.0,False,-0.028290654571167924,0.00958549853916556,-0.028290654571167924,0.00958549853916556,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
NAT,HEALTH_EMPLOYMENT,ols_cluster,369,369,0.003276546738909352,0.003276546738909352,0.0,False,-0.015153420880764813,0.021706514358583517,-0.015153420880764813,0.021706514358583517,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
SOC,HEALTH_EMPLOYMENT,ols_cluster,441,441,0.01015920698916861,0.01015920698916861,0.0,False,-0.0015892835368080391,0.021907697515145257,-0.0015892835368080394,0.021907697515145257,True,SELECTIVITY,B_CORE_B_SCALE_Q,RAW_A
ART,GRAD_SCHOOL_PROGRESSION,fractional_logit,646,646,0.0061742609083145,0.006174260908314511,1.1275702593849246e-17,False,0.0005149794066556,0.016800437111055,0.0005149794066556401,0.016800437111055083,True,STRUCTURE,B_CORE,RAW_A
EDU,GRAD_SCHOOL_PROGRESSION,fractional_logit,602,602,0.005315531275911,0.005315531275911081,8.153200337090993e-17,False,0.0016401970154029,0.0121173583490054,0.0016401970154029256,0.012117358349005443,True,STRUCTURE,B_CORE,RAW_A
ENG,GRAD_SCHOOL_PROGRESSION,fractional_logit,911,911,0.045698291458772,0.04569829145877204,4.163336342344337e-17,False,0.0162284551217071,0.0912135459790856,0.01622845512170717,0.0912135459790856,True,STRUCTURE,B_CORE,RAW_A
HUM,GRAD_SCHOOL_PROGRESSION,fractional_logit,535,535,0.0137323879019224,0.013732387901922407,6.938893903907228e-18,False,0.0040904085648781,0.0316457185901555,0.004090408564878187,0.03164571859015556,True,STRUCTURE,B_CORE,RAW_A
MED,GRAD_SCHOOL_PROGRESSION,fractional_logit,374,374,0.0038010818605338,0.003801081860533882,8.196568423990414e-17,False,-0.0005926394501188,0.0730711929884181,-0.0005926394501188857,0.07307119298841813,True,STRUCTURE,B_CORE,RAW_A
NAT,GRAD_SCHOOL_PROGRESSION,fractional_logit,583,583,0.0367302540297154,0.0367302540297154,0.0,False,0.0116894463053065,0.0698756275232869,0.01168944630530656,0.06987562752328697,True,STRUCTURE,B_CORE,RAW_A
SOC,GRAD_SCHOOL_PROGRESSION,fractional_logit,848,848,0.0116902917730498,0.011690291773049801,1.734723475976807e-18,False,0.0051742957375792,0.02329864679287,0.0051742957375792336,0.023298646792870078,True,STRUCTURE,B_CORE,RAW_A
