major_group_7,employment_ame,employment_ci_low,employment_ci_high,employment_n,progression_ame,progression_ci_low,progression_ci_high,progression_n,difference
ART,-0.004299113454136146,-0.01468159585746101,0.007325005065178493,646,0.006174260908314511,0.0005149794066556401,0.016800437111055083,646,0.010473374362450657
EDU,0.015633493230044156,0.0002561632199639525,0.031025696339146494,602,0.005315531275911081,0.0016401970154029256,0.012117358349005443,602,-0.010317961954133075
ENG,0.019293907647504778,0.008277506239436771,0.028754622238991417,911,0.04569829145877204,0.01622845512170717,0.0912135459790856,911,0.026404383811267265
HUM,0.020456479593155625,0.009140299686019334,0.03121201780224488,535,0.013732387901922407,0.004090408564878187,0.03164571859015556,535,-0.006724091691233218
MED,-0.005656646888103524,-0.03139036907773802,0.011755224077464163,374,0.003801081860533882,-0.0005926394501188857,0.07307119298841813,374,0.009457728748637406
NAT,-0.004780071627994119,-0.018357682287781438,0.008952698144171229,583,0.0367302540297154,0.01168944630530656,0.06987562752328697,583,0.04151032565770952
SOC,0.007144458729515359,-0.0024091301844460316,0.016208018620907514,848,0.011690291773049801,0.0051742957375792336,0.023298646792870078,848,0.0045458330435344425
