branch,control_set,sample_id,primary_model,major_group_7,outcome,outcome_prop,outcome_pct,grade_signal,grade_signal_column,model_family,beta,se,ci_low,ci_high,odds_ratio_10pp,ame_10pp,ame_ci_low_10pp,ame_ci_high_10pp,ols_pp_10pp,row_n,school_n,rank,rank_full,converged,status,model_warning,formula
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ART,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,-0.018085573635639732,0.024421508481771784,-0.06595085070805189,0.029779703436772418,0.9820769888639831,-0.004299113454136146,-0.01468159585746101,0.007325005065178493,,646,138,25,True,True,OK,school_type: rare_levels=2 | region_sido: rare_levels=2,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,EDU,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.06549597587866647,0.03284207041293678,0.0011267006915818695,0.1298652510657511,1.067688440797021,0.015633493230044156,0.0002561632199639525,0.031025696339146494,,602,117,25,True,True,OK,school_type: rare_levels=2 | campus_branch: rare_levels=1,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ENG,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.08255716800139586,0.02475453902941942,0.03403916304984268,0.13107517295294902,1.0860607595873892,0.019293907647504778,0.008277506239436771,0.028754622238991417,,911,130,25,True,True,OK,school_type: rare_levels=3,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,HUM,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.08303601365356159,0.02319420574527872,0.03757620574280329,0.12849582156431988,1.086580939593133,0.020456479593155625,0.009140299686019334,0.03121201780224488,,535,106,24,True,True,OK,school_type: rare_levels=1 | region_sido: rare_levels=2,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,MED,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,-0.02902625868488705,0.05482195839788935,-0.13647532270670334,0.07842280533692925,0.9713909566826722,-0.005656646888103524,-0.03139036907773802,0.011755224077464163,,374,115,24,True,True,OK,school_type: rare_levels=2 | region_sido: rare_levels=2 | campus_branch: rare_levels=1,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,NAT,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,-0.019227066885410298,0.028541922266466933,-0.07516820657722732,0.03671407280640672,0.9809565941935734,-0.004780071627994119,-0.018357682287781438,0.008952698144171229,,583,111,25,True,True,OK,school_type: rare_levels=2,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,SOC,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.02970471786757244,0.02020328629094654,-0.00989299563203459,0.06930243136717947,1.0301503040603976,0.007144458729515359,-0.0024091301844460316,0.016208018620907514,,848,148,26,True,True,OK,school_type: rare_levels=2,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct
