topic_id,topic_group,topic_name,measure,classification_version,weighted,status,started_at,attempt,file_path,suggested_filename,file_size,sha256,year_start,year_end,verified_subject_type,expected_subject_type,finished_at
GOMS_022,근로소득,성별 월평균 근로소득,mean,all,True,success,2026-07-12T09:08:26.796790+00:00,1,raw_downloads/mean/GOMS_022_성별_월평균_근로소득_mean.xls,data.xls,3226,0da6584ae8d4878189d3348c82eae5aeb6e16efac31fdf346f2ab5860ce98cbf,2007,2019,4-1,4-1,2026-07-12T09:08:33.608742+00:00
GOMS_023,근로소득,학교유형별 월평균 근로소득,mean,all,True,success,2026-07-12T09:08:33.665057+00:00,1,raw_downloads/mean/GOMS_023_학교유형별_월평균_근로소득_mean.xls,data.xls,3858,e840c5f2f2c31ad3f2235c645442a59225df67a539a16ef3e2a9e5117d73c570,2007,2019,4-2,4-2,2026-07-12T09:08:40.943878+00:00
GOMS_024,근로소득,전공계열별 월평균 근로소득,mean,all,True,success,2026-07-12T09:08:41.006290+00:00,1,raw_downloads/mean/GOMS_024_전공계열별_월평균_근로소득_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,4-3,4-3,2026-07-12T09:08:48.146650+00:00
GOMS_025,근로소득,산업별 월평균 근로소득,mean,all,True,success,2026-07-12T09:08:48.222423+00:00,1,raw_downloads/mean/GOMS_025_산업별_월평균_근로소득_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,4-4,4-4,2026-07-12T09:08:55.072129+00:00
GOMS_026,근로소득,직업별 월평균 근로소득(~2016),mean,pre_2017,True,success,2026-07-12T09:08:55.172492+00:00,1,raw_downloads/mean/GOMS_026_직업별_월평균_근로소득2016_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2016,4-5,4-5,2026-07-12T09:09:02.215380+00:00
GOMS_027,근로소득,직업별 월평균 근로소득(2017~),mean,post_2017,True,success,2026-07-12T09:09:02.329361+00:00,1,raw_downloads/mean/GOMS_027_직업별_월평균_근로소득2017_mean.xls,data.xls,3512,ee9e1b97ec94bf4a8fcb10e505571071a4ac5de9576bba8ea4c7531e3c41961d,2017,2019,4-9,4-9,2026-07-12T09:09:09.235416+00:00
GOMS_028,근로소득,사업체 규모별 월평균 근로소득,mean,all,True,success,2026-07-12T09:09:09.304611+00:00,1,raw_downloads/mean/GOMS_028_사업체_규모별_월평균_근로소득_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,4-6,4-6,2026-07-12T09:09:16.331246+00:00
GOMS_029,근로소득,사업체 유형별 월평균 근로소득,mean,all,True,success,2026-07-12T09:09:16.442783+00:00,1,raw_downloads/mean/GOMS_029_사업체_유형별_월평균_근로소득_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,4-7,4-7,2026-07-12T09:09:23.642144+00:00
GOMS_030,근로소득,종사상지위별 월평균 근로소득,mean,all,True,success,2026-07-12T09:09:23.757499+00:00,1,raw_downloads/mean/GOMS_030_종사상지위별_월평균_근로소득_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,4-8,4-8,2026-07-12T09:09:31.116811+00:00
GOMS_031,근로시간,성별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:09:31.199902+00:00,1,raw_downloads/mean/GOMS_031_성별_주당_평균_근로시간_mean.xls,data.xls,3187,ced6774f3ffdabccab7ce09203d951e1bd8088a6b6ff4a8cbb4181ffc4413f6f,2007,2019,5-1,5-1,2026-07-12T09:09:38.549070+00:00
GOMS_032,근로시간,학교유형별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:09:38.624180+00:00,1,raw_downloads/mean/GOMS_032_학교유형별_주당_평균_근로시간_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,5-2,5-2,2026-07-12T09:09:45.956379+00:00
GOMS_033,근로시간,전공계열별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:09:46.057019+00:00,1,raw_downloads/mean/GOMS_033_전공계열별_주당_평균_근로시간_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,5-3,5-3,2026-07-12T09:09:53.496470+00:00
GOMS_034,근로시간,산업별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:09:53.591728+00:00,1,raw_downloads/mean/GOMS_034_산업별_주당_평균_근로시간_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,5-4,5-4,2026-07-12T09:10:01.486310+00:00
GOMS_035,근로시간,직업별 주당 평균 근로시간(~2016),mean,pre_2017,True,success,2026-07-12T09:10:01.584074+00:00,1,raw_downloads/mean/GOMS_035_직업별_주당_평균_근로시간2016_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2016,5-5,5-5,2026-07-12T09:10:08.728368+00:00
GOMS_036,근로시간,직업별 주당 평균 근로시간(2017~),mean,post_2017,True,success,2026-07-12T09:10:08.819071+00:00,1,raw_downloads/mean/GOMS_036_직업별_주당_평균_근로시간2017_mean.xls,data.xls,3479,0930121d9d96e9d5dd9a72d1d9e2cabffa86deb7bff08bfc9ca1ecfbf766eaa4,2017,2019,5-9,5-9,2026-07-12T09:10:15.714622+00:00
GOMS_037,근로시간,사업체 규모별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:10:15.788962+00:00,1,raw_downloads/mean/GOMS_037_사업체_규모별_주당_평균_근로시간_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,5-6,5-6,2026-07-12T09:10:22.648303+00:00
GOMS_038,근로시간,사업체 유형별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:10:22.745940+00:00,1,raw_downloads/mean/GOMS_038_사업체_유형별_주당_평균_근로시간_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,5-7,5-7,2026-07-12T09:10:29.748596+00:00
GOMS_039,근로시간,종사상지위별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:10:29.827593+00:00,1,raw_downloads/mean/GOMS_039_종사상지위별_주당_평균_근로시간_mean.xls,data.xls,78145,14ee43e8893278b61bd188e4821379ac1c8f82b0a9cdefee800ee5a8baff3952,2007,2019,5-8,5-8,2026-07-12T09:10:36.924511+00:00
