topic_id,topic_group,topic_name,measure,classification_version,weighted,status,started_at,attempt,file_path,suggested_filename,file_size,sha256,year_start,year_end,verified_subject_type,expected_subject_type,finished_at
GOMS_025,근로소득,산업별 월평균 근로소득,mean,all,True,success,2026-07-12T09:36:02.449074+00:00,1,raw_downloads/mean/GOMS_025_산업별_월평균_근로소득_mean.xls,data.xls,15642,8df79319cf7549994c10d50a79612887689aae517d626cac424b8f0b8a418f29,2007,2019,4-4,4-4,2026-07-12T09:36:59.854655+00:00
GOMS_026,근로소득,직업별 월평균 근로소득(~2016),mean,pre_2017,True,success,2026-07-12T09:36:59.934935+00:00,1,raw_downloads/mean/GOMS_026_직업별_월평균_근로소득2016_mean.xls,data.xls,14151,5d7fd9cf69baf23f0d3eb222ec6de9c710606666cf2c182190c60a5f2fc09b8b,2007,2016,4-5,4-5,2026-07-12T09:37:47.376646+00:00
GOMS_034,근로시간,산업별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:37:47.466906+00:00,1,raw_downloads/mean/GOMS_034_산업별_주당_평균_근로시간_mean.xls,data.xls,15366,c4f6427e1c399746e678185cf03348a709e7ec592763937afb4342ac83ea26b7,2007,2019,5-4,5-4,2026-07-12T09:38:44.959713+00:00
GOMS_035,근로시간,직업별 주당 평균 근로시간(~2016),mean,pre_2017,True,success,2026-07-12T09:38:45.037461+00:00,1,raw_downloads/mean/GOMS_035_직업별_주당_평균_근로시간2016_mean.xls,data.xls,13901,a26482934215bf7999738f85ecc9b3d8900ec05ceac489dfd2021b1a6158a4d0,2007,2016,5-5,5-5,2026-07-12T09:39:32.295570+00:00
