column,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,missing_n,missing_pct,zero_n,zero_pct,negative_n,inf_n,nunique
rank,420.0,15.5,8.66576398211922,1.0,1.0,2.0,3.9000000000000057,8.0,15.5,23.0,27.100000000000023,29.0,30.0,30.0,0,0.0,0,0.0,0,0,30
vif,420.0,5.910299285599723,16.898137989378174,1.0815702451457956,1.0976925489392395,1.1588826201178013,1.3176317245520277,1.7109648582513999,2.261185618740151,3.0601918880687844,4.72041839352703,24.09535869126473,87.29818957464633,134.63906341390071,0,0.0,0,0.0,0,0,240
