position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
1,column,str,151,0,0.0,151,1.0,False,False,False,0.006622516556291391
2,dtype_actual,str,151,0,0.0,10,0.06622516556291391,False,False,False,0.37748344370860926
3,semantic_role,str,151,0,0.0,16,0.10596026490066225,False,False,False,0.18543046357615894
4,feature_block,str,151,0,0.0,12,0.07947019867549669,False,False,False,0.2185430463576159
5,measurement_level,str,151,0,0.0,5,0.033112582781456956,False,False,False,0.2913907284768212
6,grain,str,151,0,0.0,1,0.006622516556291391,False,True,False,1.0
7,unit,str,151,0,0.0,10,0.06622516556291391,False,False,False,0.23178807947019867
8,source_dataset,str,151,0,0.0,5,0.033112582781456956,False,False,False,0.33774834437086093
9,source_column,str,151,0,0.0,150,0.9933774834437086,False,False,False,0.013245033112582781
10,derivation_formula,str,53,98,64.90066225165563,12,0.22641509433962265,False,False,False,0.6490066225165563
11,null_policy,str,151,0,0.0,5,0.033112582781456956,False,False,False,0.3509933774834437
12,zero_policy,str,151,0,0.0,4,0.026490066225165563,False,False,False,0.5695364238410596
13,valid_min,float64,92,59,39.0728476821192,41,0.44565217391304346,False,False,True,0.39072847682119205
14,valid_max,float64,92,59,39.0728476821192,63,0.6847826086956522,False,False,True,0.39072847682119205
15,is_identifier,bool,151,0,0.0,2,0.013245033112582781,False,False,True,0.8211920529801324
16,is_target_candidate,bool,151,0,0.0,2,0.013245033112582781,False,False,True,0.9205298013245033
17,is_denominator,bool,151,0,0.0,2,0.013245033112582781,False,False,False,0.9006622516556292
18,is_context,bool,151,0,0.0,2,0.013245033112582781,False,False,False,0.5298013245033113
19,is_quality_metadata,bool,151,0,0.0,2,0.013245033112582781,False,False,False,0.7814569536423841
20,model_default_active,bool,151,0,0.0,2,0.013245033112582781,False,False,False,0.5165562913907285
21,review_required,bool,151,0,0.0,2,0.013245033112582781,False,False,False,0.9139072847682119
22,notes,str,151,0,0.0,12,0.07947019867549669,False,False,False,0.7350993377483444
